city,material,available_quantity,processing_capacity,imports,exports,future_availability
Coimbatore,paper,1174.59,600.4,71.31,11.29,1286.03
Erode,battery,1106.98,327.69,142.13,15.94,1211.94
Tiruppur,textile,851.46,445.78,150.05,137.71,838.77
Coimbatore,paper,172.77,402.09,42.24,98.79,55.36
Salem,paper,464.4,333.95,96.12,9.69,525.7
Tiruppur,plastic,522.89,642.5,61.48,24.31,635.87
Tiruppur,metal,145.16,889.0,114.8,28.9,153.2
Tiruppur,plastic,602.43,986.76,81.58,113.69,622.23
Tiruppur,textile,123.04,133.14,35.43,6.98,134.61
Salem,plastic,664.5,774.92,183.5,89.85,799.74
Chennai,plastic,327.25,284.54,57.77,44.84,376.76
Salem,plastic,822.46,656.32,78.05,21.47,889.95
Chennai,battery,403.94,834.75,193.92,17.82,672.17
Chennai,plastic,728.45,532.04,89.9,118.78,751.31
Salem,metal,453.18,630.93,84.53,68.43,492.9
Coimbatore,paper,679.56,505.82,182.99,48.2,900.11
Erode,paper,578.25,857.88,156.09,14.6,729.98
Erode,metal,763.93,412.67,49.73,89.05,746.44
Chennai,paper,259.16,411.1,180.39,73.72,273.01
Erode,metal,742.23,301.46,166.14,55.04,842.72
Tiruppur,textile,579.9,285.7,79.21,78.0,577.66
Erode,battery,95.21,819.47,129.3,16.86,202.6
Tiruppur,plastic,736.87,987.63,111.95,138.99,699.89
Coimbatore,paper,474.25,516.28,152.02,10.32,654.26
Chennai,paper,173.25,502.67,111.2,40.16,199.83
Tiruppur,textile,259.63,607.57,169.73,17.93,341.2
Erode,paper,595.07,419.59,133.28,74.54,663.1
Salem,metal,691.4,627.88,117.25,59.92,780.74
Coimbatore,battery,459.51,987.86,125.1,39.4,532.19
Erode,paper,1028.44,179.1,163.11,13.07,1214.37
Tiruppur,battery,993.99,746.61,111.66,74.11,1038.07
Erode,paper,285.84,971.19,145.08,33.93,406.71
Tiruppur,metal,932.95,178.56,106.16,140.14,975.87
Erode,battery,732.97,432.31,96.31,84.55,681.72
Coimbatore,paper,342.84,713.35,154.44,91.37,416.25
Chennai,plastic,1028.34,771.38,87.62,140.28,1005.74
Salem,textile,210.74,815.74,48.31,28.73,221.8
Erode,textile,986.76,698.68,109.38,57.03,1026.95
Chennai,textile,396.58,772.85,105.52,38.67,506.07
Tiruppur,metal,675.09,915.82,128.61,21.95,789.17
Coimbatore,paper,963.13,658.07,111.36,134.61,965.47
Salem,textile,224.43,380.55,57.21,112.87,171.99
Coimbatore,textile,1058.28,407.87,166.04,21.04,1181.78
Salem,textile,196.61,457.56,161.49,26.74,365.42
Coimbatore,battery,787.32,724.55,113.12,41.51,817.43
Erode,paper,258.84,917.61,120.84,63.12,346.0
Salem,metal,724.16,555.3,126.18,7.63,840.21
Salem,battery,1121.94,608.62,142.36,138.76,1089.97
Salem,metal,129.26,169.59,29.81,126.86,53.42
Chennai,plastic,180.22,986.36,169.39,23.08,440.78
Erode,plastic,905.89,285.02,159.68,92.54,996.61
Chennai,paper,668.0,927.87,75.81,55.31,673.39
Chennai,battery,570.31,226.77,43.51,77.26,611.66
Erode,plastic,466.75,622.53,130.13,6.9,544.21
Salem,plastic,220.96,473.16,26.22,149.55,120.88
Tiruppur,plastic,406.43,457.59,91.09,120.97,356.39
Tiruppur,textile,484.38,852.91,121.62,47.64,462.78
Chennai,metal,653.05,496.69,86.14,86.15,637.63
Erode,battery,479.31,343.67,132.36,64.27,530.68
Salem,metal,1047.04,467.19,114.83,41.81,1121.21
Tiruppur,textile,255.33,687.47,55.25,19.42,227.67
Chennai,paper,1136.07,226.97,87.21,51.98,1181.7
Tiruppur,textile,80.51,263.29,120.78,66.11,102.96
Coimbatore,plastic,990.06,407.64,59.29,60.06,919.25
Erode,textile,520.82,596.84,92.86,47.7,593.26
Salem,metal,928.15,226.1,175.01,75.68,1032.62
Tiruppur,metal,75.84,341.81,112.91,96.85,98.66
Tiruppur,battery,534.96,219.05,181.11,105.23,653.6
Erode,metal,712.99,346.65,115.29,99.46,753.11
Coimbatore,paper,287.38,109.9,36.01,135.5,199.41
Salem,textile,814.79,257.83,183.74,65.72,977.03
Salem,metal,535.34,418.48,192.14,31.73,702.37
Erode,textile,1012.64,493.47,183.95,109.62,1076.95
Chennai,metal,506.15,958.68,35.65,75.14,480.05
Chennai,battery,1017.76,861.77,191.49,27.43,1104.45
Tiruppur,metal,595.37,409.95,76.79,64.86,641.87
Tiruppur,battery,991.97,819.47,141.99,44.46,1161.55
Coimbatore,paper,465.12,182.42,184.29,24.84,621.22
Salem,battery,892.06,825.91,135.17,105.38,949.78
Tiruppur,metal,612.84,299.09,197.66,141.89,705.44
Erode,plastic,271.49,203.75,90.13,120.32,247.32
Salem,battery,416.97,846.02,17.03,91.46,322.99
Coimbatore,battery,850.73,405.89,147.71,14.48,970.05
Tiruppur,paper,959.33,386.88,128.92,133.47,894.06
Chennai,metal,1188.89,100.21,45.24,60.67,1199.81
Chennai,battery,1197.62,415.64,155.77,63.28,1393.56
Salem,plastic,933.51,475.99,90.06,111.95,895.3
Tiruppur,battery,587.41,367.3,172.04,108.76,579.08
Erode,plastic,175.89,452.47,33.64,143.68,94.5
Erode,textile,347.83,629.7,196.64,133.21,448.68
Coimbatore,plastic,904.86,158.49,86.3,126.48,874.01
Erode,battery,639.59,307.6,43.54,36.97,671.15
Erode,textile,774.24,294.69,108.47,91.6,763.08
Tiruppur,textile,349.27,563.72,103.33,149.47,299.21
Erode,textile,667.52,633.65,120.22,18.27,812.01
Tiruppur,battery,363.9,529.01,18.43,128.57,250.66
Tiruppur,textile,895.49,353.25,58.0,5.74,939.32
Chennai,textile,106.1,579.34,192.8,20.87,318.87
Chennai,metal,675.35,878.04,149.44,80.58,745.82
Salem,plastic,230.94,244.36,73.46,39.61,223.02
Erode,battery,1155.51,518.92,177.02,5.75,1353.54
Chennai,textile,905.03,244.68,165.41,125.66,934.63
Erode,battery,1178.36,668.63,59.36,96.93,1140.95
Erode,battery,197.72,355.01,13.5,67.67,127.74
Erode,textile,957.13,256.38,156.46,142.36,1021.06
Tiruppur,paper,127.45,623.95,75.72,95.03,82.99
Erode,paper,78.27,119.91,71.49,75.85,90.88
Chennai,battery,835.79,501.31,61.99,149.58,683.04
Erode,textile,393.13,855.95,156.84,38.36,412.66
Chennai,battery,1048.26,966.91,15.95,111.03,870.07
Coimbatore,paper,883.09,771.25,48.07,130.88,774.78
Salem,metal,1044.01,525.89,193.96,31.9,1221.49
Chennai,metal,925.18,663.6,34.94,9.72,970.95
Salem,metal,759.15,816.88,101.49,22.01,855.5
Salem,plastic,280.6,542.44,22.2,89.39,179.33
Erode,metal,967.19,379.33,96.49,6.68,1049.21
Chennai,textile,920.62,957.38,182.49,110.02,962.12
Chennai,plastic,328.35,988.0,37.07,77.34,355.74
Coimbatore,metal,425.43,565.94,26.69,55.84,435.77
Tiruppur,textile,140.37,457.23,35.22,87.29,132.79
Coimbatore,metal,242.6,194.11,130.92,107.44,294.14
Tiruppur,plastic,109.77,587.17,144.72,131.29,163.48
Chennai,battery,1079.04,592.83,165.29,70.59,1202.32
Chennai,plastic,238.6,494.75,147.72,91.03,281.87
Chennai,metal,428.37,523.16,151.41,131.42,545.73
Erode,battery,235.92,118.78,134.12,53.19,294.82
Salem,metal,513.75,298.51,89.5,34.52,707.96
Salem,plastic,1048.51,754.45,151.11,66.7,1077.77
Salem,paper,96.13,880.33,119.95,68.6,81.58
Erode,metal,609.67,886.08,181.13,66.15,754.01
Erode,paper,491.42,519.23,168.84,39.19,550.14
Coimbatore,paper,1095.39,261.71,55.13,145.85,1019.24
Erode,plastic,334.32,883.67,94.61,79.65,336.16
Tiruppur,paper,731.89,247.17,84.31,145.56,706.96
Tiruppur,paper,200.5,972.84,96.22,39.23,201.44
Chennai,metal,566.09,702.45,37.69,70.17,560.07
Tiruppur,paper,486.26,644.98,77.78,82.36,486.86
Tiruppur,plastic,861.19,501.73,174.2,85.93,926.22
Coimbatore,plastic,660.84,942.95,17.48,22.71,657.61
Erode,textile,151.84,192.98,121.09,104.79,146.49
Chennai,battery,69.99,390.82,194.89,89.12,65.28
Chennai,metal,444.05,579.02,33.89,24.24,420.73
Erode,plastic,890.45,240.55,54.57,144.69,823.08
Coimbatore,plastic,1013.83,950.15,139.82,77.09,1119.89
Tiruppur,paper,180.08,815.96,184.55,92.09,286.38
Erode,textile,713.76,413.72,40.26,92.72,697.42
Tiruppur,textile,949.74,610.31,150.31,132.38,949.74
Erode,paper,817.73,827.06,154.83,120.68,909.92
Tiruppur,textile,423.27,429.82,85.27,105.84,390.94
Salem,textile,566.0,313.79,80.92,37.95,616.6
Coimbatore,metal,583.02,441.81,174.03,80.27,645.28
Salem,textile,985.83,198.03,38.31,81.36,936.03
Chennai,metal,872.81,569.11,166.25,67.48,898.05
Erode,paper,1147.86,689.22,82.21,33.59,1133.6
Erode,paper,345.29,356.39,68.39,121.44,287.95
Chennai,metal,751.88,744.54,61.8,64.96,742.68
Salem,metal,969.75,266.13,66.1,120.04,908.64
Erode,metal,1105.42,482.07,26.54,123.28,1030.13
Chennai,textile,741.85,837.27,178.0,38.07,779.32
Tiruppur,metal,250.99,424.7,182.12,116.64,243.65
Salem,metal,891.75,866.06,137.57,122.38,923.82
Chennai,paper,222.16,481.55,39.07,39.11,218.51
Erode,plastic,255.21,381.04,53.75,34.9,323.26
Chennai,metal,345.42,668.81,21.11,25.56,370.98
Coimbatore,battery,559.12,501.21,147.66,7.29,629.76
Salem,battery,743.7,403.5,182.05,117.03,845.15
Salem,battery,511.37,430.26,75.28,94.49,433.21
Erode,plastic,1006.64,702.64,23.29,97.82,960.51
Chennai,paper,422.98,399.7,137.2,149.15,340.99
Coimbatore,plastic,1194.8,501.72,73.38,89.17,1238.02
Coimbatore,plastic,995.08,101.11,67.16,147.28,946.21
Chennai,textile,187.8,976.75,13.81,111.89,55.82
Erode,paper,767.12,180.21,153.5,23.52,932.63
Salem,paper,865.06,132.54,67.59,43.15,857.81
Chennai,plastic,686.87,374.97,85.43,69.84,691.71
Salem,metal,643.03,927.45,104.42,148.86,581.27
Tiruppur,metal,670.69,665.16,138.12,82.21,747.48
Chennai,paper,991.55,390.28,14.35,27.3,1010.65
Coimbatore,plastic,601.26,382.35,125.21,25.18,706.69
Erode,paper,627.95,458.8,37.81,58.29,630.32
Salem,textile,1126.92,888.49,62.77,128.46,1063.66
Erode,battery,762.53,685.18,38.88,13.9,777.91
Coimbatore,battery,917.39,657.55,66.5,67.4,983.57
Tiruppur,battery,135.82,804.43,60.42,30.78,207.65
Salem,plastic,317.54,298.72,43.01,100.08,328.94
Coimbatore,textile,1069.59,504.81,46.98,58.33,1112.6
Erode,textile,934.7,109.93,89.07,74.79,934.73
Erode,metal,833.12,270.73,127.6,51.91,927.54
Erode,metal,124.31,138.37,80.57,43.55,209.76
Chennai,textile,1021.01,188.27,102.77,26.76,1149.59
Chennai,plastic,756.19,873.61,84.55,143.65,658.27
Tiruppur,plastic,167.47,692.82,189.14,122.29,225.42
Coimbatore,metal,341.02,803.05,166.78,76.84,413.86
Chennai,plastic,756.02,159.99,108.5,26.77,841.74
Erode,textile,93.73,771.59,135.22,121.31,185.13
Chennai,plastic,1149.98,763.76,77.12,48.0,1233.12
Chennai,paper,458.07,470.92,114.43,125.43,417.51
Coimbatore,paper,1083.74,804.24,53.29,146.52,951.75
Tiruppur,plastic,1153.8,530.43,180.2,51.72,1242.66
Salem,paper,595.49,202.56,102.34,138.44,665.75
Coimbatore,battery,100.3,199.73,123.72,18.78,224.2
Chennai,paper,496.95,247.32,62.02,139.61,417.3
Tiruppur,textile,378.79,834.35,173.66,127.74,516.64
Tiruppur,metal,781.48,298.96,195.9,113.49,805.68
Chennai,battery,359.73,585.6,148.31,20.65,497.93
Erode,paper,990.45,292.16,106.11,126.9,983.56
Erode,plastic,634.61,367.79,117.35,104.89,723.68
Salem,plastic,925.29,244.06,97.7,6.35,1053.91
Tiruppur,paper,164.05,461.34,162.01,34.59,249.78
Coimbatore,textile,893.03,654.39,45.72,56.53,894.74
Coimbatore,metal,1015.96,849.41,12.1,113.68,979.84
Erode,plastic,830.14,780.64,169.97,73.2,878.71
Erode,paper,880.38,897.58,122.68,61.77,941.55
Erode,textile,83.43,250.2,44.45,61.21,110.79
Erode,battery,124.58,621.99,116.68,86.3,143.45
Coimbatore,metal,742.47,120.64,71.2,97.29,736.86
Salem,metal,863.83,809.75,108.28,68.83,866.5
Salem,plastic,549.12,179.74,51.92,91.74,517.84
Tiruppur,paper,620.59,260.43,140.32,148.71,638.16
Salem,battery,900.98,955.28,48.56,87.0,894.85
Erode,plastic,1119.06,804.32,20.67,128.65,1086.48
Coimbatore,battery,483.45,515.56,101.37,68.1,523.76
Coimbatore,paper,107.32,913.52,182.78,118.13,186.91
Salem,plastic,232.74,649.2,35.72,113.95,170.42
Salem,metal,374.52,335.54,56.93,136.41,300.5
Coimbatore,metal,1021.51,341.33,39.71,128.7,938.33
Chennai,plastic,447.81,383.67,156.65,17.53,564.93
Coimbatore,battery,1157.9,604.15,188.0,12.58,1263.01
Tiruppur,textile,1178.49,330.88,134.29,33.72,1255.25
Tiruppur,battery,405.0,952.33,193.8,31.54,530.22
Tiruppur,plastic,1177.59,304.67,86.76,83.67,1173.29
Tiruppur,plastic,754.84,303.53,170.91,67.15,876.79
Tiruppur,metal,162.2,875.79,97.43,113.65,106.2
Salem,paper,459.37,980.26,160.86,77.1,581.04
Coimbatore,paper,920.26,567.45,48.93,132.29,820.58
Salem,paper,343.82,951.97,116.43,113.86,428.68
Chennai,paper,669.51,548.03,30.04,100.23,690.17
Tiruppur,battery,487.48,798.05,193.25,34.55,563.8
Salem,plastic,714.23,671.12,161.6,62.42,822.45
Coimbatore,metal,564.74,602.04,41.55,93.95,547.84
Chennai,plastic,737.83,130.05,79.1,111.23,693.46
Chennai,textile,556.37,653.77,25.86,132.95,450.37
Tiruppur,textile,1181.73,701.13,130.59,29.06,1346.8
Coimbatore,battery,236.57,111.35,116.35,81.47,297.53
Erode,battery,265.52,872.36,165.62,83.42,362.39
Chennai,paper,411.5,524.05,166.11,71.59,501.92
Chennai,paper,435.49,256.39,145.28,124.77,355.2
Tiruppur,textile,533.14,914.82,150.54,32.73,599.55
Tiruppur,textile,977.13,859.36,58.26,9.51,1116.54
Erode,metal,423.87,717.69,23.23,30.36,398.65
Chennai,paper,1046.34,293.98,78.47,14.93,1133.47
Tiruppur,textile,519.55,783.32,181.69,38.75,675.19
Chennai,battery,694.51,199.89,94.94,71.75,751.29
Salem,textile,678.65,442.36,195.59,21.05,829.09
Coimbatore,plastic,386.05,919.69,153.25,121.71,413.52
Salem,textile,1157.23,754.0,67.9,125.26,1129.54
Erode,textile,128.59,336.98,18.76,87.24,42.72
Salem,plastic,998.22,166.82,53.01,110.89,910.83
Salem,metal,817.98,633.9,179.54,31.87,972.33
Erode,plastic,378.08,486.26,60.88,119.43,403.26
Salem,textile,738.83,203.44,27.83,136.9,668.43
Salem,battery,1003.68,891.08,118.64,80.03,960.84
Salem,plastic,441.94,248.34,42.41,142.48,310.92
Salem,plastic,858.03,313.69,107.35,20.11,933.72
Salem,metal,362.3,525.61,196.93,44.0,407.11
Tiruppur,metal,466.13,525.24,18.67,25.3,449.59
Chennai,textile,595.43,631.78,112.03,128.85,485.56
Tiruppur,battery,1020.51,356.42,97.94,68.59,1027.71
Tiruppur,plastic,989.18,356.11,165.46,82.08,1012.13
Chennai,plastic,84.12,707.88,18.52,70.34,98.93
Erode,textile,346.9,707.15,66.38,109.17,272.18
Salem,metal,879.6,876.59,10.4,109.05,763.99
Salem,plastic,574.67,432.15,32.99,65.75,567.83
Salem,plastic,131.66,172.16,77.41,141.55,122.7
Coimbatore,battery,732.71,109.12,130.86,137.43,778.21
Tiruppur,paper,247.63,674.09,150.79,81.85,341.71
Salem,battery,566.18,175.95,85.88,136.97,556.38
Tiruppur,plastic,888.55,687.06,170.66,105.41,1036.61
Tiruppur,textile,1041.0,631.26,52.99,60.71,999.74
Chennai,paper,716.16,783.42,28.79,134.0,607.42
Coimbatore,paper,545.11,228.33,179.12,55.15,653.52
Salem,battery,79.26,681.24,131.01,54.39,149.11
Tiruppur,plastic,828.69,645.2,79.27,36.59,839.25
Salem,plastic,171.05,250.62,194.68,38.13,328.86
Erode,paper,164.2,287.98,185.87,65.05,303.84
Chennai,metal,410.19,232.36,102.69,23.86,470.41
Salem,textile,595.11,499.71,199.02,84.08,758.24
Erode,textile,747.91,236.43,15.88,145.76,736.51
Erode,textile,1008.7,496.4,67.44,42.6,952.28
Chennai,metal,116.29,408.2,61.35,145.13,10.0
Salem,textile,560.65,663.61,102.89,63.26,633.94
Tiruppur,battery,1062.36,661.07,118.18,95.0,1065.39
Salem,textile,596.88,588.72,53.27,144.78,447.95
Erode,metal,880.46,580.05,175.29,23.94,1015.53
Tiruppur,paper,586.8,131.02,194.23,142.62,651.01
Coimbatore,paper,605.92,877.19,121.86,59.42,627.6
Chennai,battery,1106.54,426.04,147.89,134.7,1090.32
Chennai,metal,559.97,641.91,122.37,121.96,567.72
Salem,textile,555.02,862.27,179.69,14.06,720.31
Chennai,battery,85.41,974.38,51.94,111.43,126.7
Erode,paper,975.1,350.88,50.03,143.83,902.01
Chennai,battery,280.75,995.18,27.06,5.34,296.91
Erode,plastic,129.38,105.1,188.05,124.18,177.21
Tiruppur,plastic,1022.81,652.24,26.83,75.71,966.6
Chennai,battery,681.5,668.88,119.64,106.17,661.44
Erode,textile,166.08,882.05,139.53,21.38,262.93
Salem,metal,133.84,462.59,66.11,38.7,189.52
Chennai,battery,75.33,624.93,170.02,84.6,142.46
Tiruppur,plastic,877.76,880.24,96.25,124.11,787.67
Salem,paper,835.01,317.74,145.65,124.27,867.04
Salem,textile,1104.31,748.59,86.27,28.0,1224.22
Coimbatore,metal,997.34,749.55,61.59,63.35,1027.39
Tiruppur,metal,587.01,406.33,188.69,16.99,800.57
Salem,battery,1000.72,216.94,117.35,130.65,1026.05
Chennai,textile,535.74,439.58,187.9,102.9,627.56
Tiruppur,metal,98.64,608.17,186.73,127.42,120.04
Erode,textile,1056.84,264.53,62.9,23.79,1114.42
Salem,plastic,392.76,194.83,158.55,98.4,446.63
Salem,plastic,597.36,199.88,130.54,116.76,590.88
Tiruppur,paper,1037.8,267.42,114.89,65.29,1050.0
Chennai,plastic,965.68,778.62,16.83,62.24,984.04
Salem,metal,897.66,977.13,19.92,103.92,924.68
Erode,paper,99.46,700.18,166.43,118.39,102.84
Erode,paper,164.85,719.24,55.96,137.1,106.35
Coimbatore,battery,616.79,463.86,110.88,91.29,672.97
Erode,battery,1059.29,137.49,85.55,115.53,952.98
Tiruppur,paper,1172.42,213.0,13.22,116.67,1054.18
Tiruppur,metal,259.0,491.96,73.1,54.56,239.44
Tiruppur,paper,51.56,369.82,132.83,146.26,71.03
Chennai,plastic,679.01,846.79,125.17,47.22,735.73
Chennai,textile,312.47,321.94,101.97,113.38,283.18
Salem,metal,719.54,991.19,55.44,81.96,751.16
Salem,plastic,285.73,753.06,127.75,134.93,339.24
Tiruppur,metal,412.42,348.61,196.51,81.45,578.01
Salem,paper,669.63,154.57,141.1,105.06,728.96
Coimbatore,textile,621.91,307.23,18.47,65.27,621.71
Erode,metal,831.56,168.62,62.19,122.01,736.39
Coimbatore,metal,257.35,512.74,116.57,130.27,286.56
Salem,plastic,207.55,995.48,110.17,61.82,253.89
Salem,plastic,276.46,956.29,199.02,108.2,369.44
Chennai,textile,552.55,634.2,23.89,95.24,496.12
Coimbatore,paper,1003.8,758.91,77.46,106.26,998.67
Coimbatore,textile,1032.36,795.78,68.9,38.65,1057.13
Chennai,plastic,237.1,608.58,156.61,77.34,344.21
Coimbatore,battery,102.97,827.27,43.8,79.63,57.8
Chennai,textile,332.68,462.49,179.98,5.06,664.91
Tiruppur,battery,501.33,778.84,184.5,142.88,477.09
Chennai,metal,460.69,808.79,57.69,86.79,493.63
Coimbatore,plastic,270.33,926.42,29.34,78.36,165.29
Chennai,plastic,94.77,132.42,43.29,130.68,10.0
Chennai,textile,644.2,782.9,63.67,56.19,740.94
Coimbatore,textile,532.37,802.33,100.5,77.14,574.13
Tiruppur,battery,732.87,129.53,130.85,57.83,746.24
Coimbatore,battery,632.96,468.47,164.07,126.19,726.44
Coimbatore,paper,224.33,888.29,112.43,45.96,242.61
Erode,textile,500.6,592.03,111.08,90.61,513.26
Tiruppur,metal,280.64,283.22,11.92,68.43,199.27
Chennai,paper,1161.87,301.86,135.98,112.57,1173.95
Coimbatore,textile,869.51,835.1,44.51,58.79,906.25
Chennai,paper,1182.59,778.82,84.71,90.64,1149.72
Coimbatore,metal,73.77,342.12,108.34,43.98,148.42
Coimbatore,plastic,465.97,954.29,130.11,23.84,637.79
Tiruppur,battery,474.67,939.63,167.23,106.1,549.84
Chennai,plastic,190.34,212.61,171.59,54.97,290.39
Salem,paper,230.93,206.99,155.3,102.3,263.23
Erode,plastic,408.78,534.25,106.27,61.15,435.94
Coimbatore,plastic,1165.8,493.9,54.64,107.21,1126.73
Chennai,plastic,664.43,586.66,91.62,49.78,659.61
Chennai,battery,506.04,218.54,174.41,27.8,650.47
Salem,paper,383.55,884.27,137.81,120.52,431.61
Chennai,metal,1007.75,915.48,12.31,102.73,855.86
Salem,plastic,681.19,358.87,68.29,56.18,624.79
Tiruppur,paper,515.21,161.52,158.91,46.43,677.76
Tiruppur,battery,829.17,164.9,49.03,60.31,792.73
Chennai,textile,166.58,350.07,62.5,67.64,176.74
Tiruppur,metal,567.63,979.39,29.59,84.43,514.77
Coimbatore,metal,719.51,284.0,108.74,15.74,829.56
Chennai,metal,644.31,766.15,129.83,84.69,652.67
Chennai,textile,1114.35,161.5,91.77,105.89,1119.84
Chennai,paper,155.91,598.04,131.91,107.05,226.11
Tiruppur,plastic,822.86,625.2,109.89,41.18,801.3
Coimbatore,textile,250.19,205.36,95.33,93.78,186.74
Erode,paper,771.61,447.05,187.89,83.59,940.28
Chennai,plastic,303.56,753.15,127.28,112.21,347.7
Coimbatore,metal,904.25,394.34,179.11,17.22,1015.84
Tiruppur,paper,1040.52,835.53,107.42,68.57,1167.81
Coimbatore,paper,284.63,688.59,165.49,12.25,462.16
Salem,plastic,296.57,343.73,57.04,14.07,416.26
Coimbatore,plastic,823.8,173.03,190.78,126.58,874.47
Chennai,paper,1122.62,589.83,48.05,94.43,1115.35
Chennai,metal,541.62,285.6,161.95,53.37,690.12
Salem,paper,1102.55,873.84,16.65,119.17,1045.0
Chennai,paper,1008.69,549.49,111.65,25.94,1083.74
Salem,metal,998.45,363.14,94.34,8.18,1085.76
Erode,battery,614.76,934.4,30.02,115.84,442.56
Coimbatore,plastic,349.27,243.54,40.49,15.22,398.96
Chennai,textile,1000.46,501.58,163.11,6.15,1110.67
Salem,paper,559.8,598.04,58.43,112.67,483.39
Erode,paper,777.05,436.17,61.58,38.61,825.65
Tiruppur,textile,1089.09,169.88,167.49,55.59,1266.13
Tiruppur,paper,1037.58,773.52,93.45,93.53,1042.28
Erode,textile,522.76,749.74,83.11,75.96,601.68
Erode,metal,661.67,810.49,66.39,83.5,623.57
Tiruppur,battery,892.28,893.5,33.08,97.02,784.55
Coimbatore,paper,407.65,250.24,56.31,43.8,429.58
Salem,battery,690.41,474.2,91.5,83.43,747.35
Tiruppur,textile,625.13,470.76,175.4,96.56,751.46
Erode,plastic,620.06,939.81,93.43,147.16,520.54
Coimbatore,plastic,830.73,795.69,190.77,117.59,905.37
Tiruppur,battery,129.4,526.83,116.53,96.12,100.47
Tiruppur,paper,851.87,777.37,98.36,131.75,856.19
Tiruppur,battery,196.49,356.96,111.0,79.03,212.18
Chennai,battery,137.05,449.04,162.67,135.76,218.66
