supplier_id,industry,city,delivery_delay_days,quality_score,fulfilled_orders,cancelled_orders,late_shipments,contract_breaches,rating,reliability_class
GC-SUP-1032,construction,Salem,7,81.8,144,2,16,0,4.3,1
GC-SUP-1033,manufacturing,Erode,2,93.7,292,26,33,0,5.0,1
GC-SUP-1034,manufacturing,Tiruppur,11,82.8,490,4,60,2,1.7,0
GC-SUP-1035,textiles,Salem,11,73.0,55,4,5,2,1.0,0
GC-SUP-1036,agriculture,Tiruppur,4,95.5,311,20,30,2,1.4,0
GC-SUP-1037,textiles,Chennai,1,77.3,232,21,2,1,2.1,0
GC-SUP-1038,packaging,Coimbatore,14,75.4,395,25,16,0,3.9,1
GC-SUP-1039,construction,Coimbatore,6,70.6,315,24,23,0,3.2,1
GC-SUP-1040,agriculture,Coimbatore,6,74.6,182,0,7,1,2.3,0
GC-SUP-1041,agriculture,Coimbatore,1,71.5,456,21,50,0,3.6,1
GC-SUP-1042,packaging,Erode,5,79.0,351,5,14,1,1.7,0
GC-SUP-1043,construction,Salem,11,97.3,112,3,5,0,5.0,2
GC-SUP-1044,agriculture,Chennai,6,56.8,153,12,17,1,1.8,0
GC-SUP-1045,electronics,Salem,9,53.8,238,20,22,2,1.0,0
GC-SUP-1046,textiles,Salem,4,52.9,131,0,14,1,1.0,0
GC-SUP-1047,textiles,Erode,4,81.3,198,6,4,1,2.5,0
GC-SUP-1048,construction,Chennai,11,77.7,444,36,85,0,3.6,0
GC-SUP-1049,textiles,Salem,4,73.2,227,15,20,2,1.0,0
GC-SUP-1050,agriculture,Tiruppur,13,71.3,32,1,1,1,1.9,0
GC-SUP-1051,packaging,Coimbatore,2,74.7,266,23,4,0,3.8,1
GC-SUP-1052,agriculture,Coimbatore,0,92.5,169,11,32,0,4.8,0
GC-SUP-1053,agriculture,Chennai,0,97.1,339,28,12,2,2.0,0
GC-SUP-1054,manufacturing,Coimbatore,12,54.6,44,0,7,0,2.5,0
GC-SUP-1055,agriculture,Coimbatore,4,67.1,84,7,3,0,3.7,1
GC-SUP-1056,construction,Erode,8,76.9,366,8,23,2,1.0,0
GC-SUP-1057,packaging,Tiruppur,6,78.4,160,4,11,0,4.0,1
GC-SUP-1058,construction,Tiruppur,2,55.1,282,16,19,0,3.0,0
GC-SUP-1059,textiles,Salem,11,97.0,412,11,8,2,1.7,0
GC-SUP-1060,agriculture,Salem,2,74.2,153,4,4,2,1.2,0
GC-SUP-1061,construction,Salem,4,88.8,66,6,12,0,5.0,0
GC-SUP-1062,packaging,Coimbatore,6,98.8,131,4,2,2,2.7,0
GC-SUP-1063,agriculture,Tiruppur,9,91.0,410,37,6,1,3.2,0
GC-SUP-1064,construction,Coimbatore,8,90.3,131,1,4,0,3.9,2
GC-SUP-1065,agriculture,Tiruppur,14,94.5,310,3,35,1,2.7,0
GC-SUP-1066,agriculture,Chennai,12,68.5,176,9,25,2,1.0,0
GC-SUP-1067,construction,Coimbatore,11,78.0,157,11,7,0,3.5,1
GC-SUP-1068,textiles,Tiruppur,2,78.6,199,16,24,0,4.0,1
GC-SUP-1069,construction,Salem,2,84.1,450,17,46,0,4.2,1
GC-SUP-1070,textiles,Tiruppur,4,84.1,268,15,22,0,4.2,1
GC-SUP-1071,agriculture,Erode,7,58.3,173,7,27,0,2.7,0
GC-SUP-1072,textiles,Salem,10,84.2,154,8,0,0,4.4,2
GC-SUP-1073,construction,Erode,13,53.7,399,17,68,2,1.0,0
GC-SUP-1074,textiles,Coimbatore,9,95.7,251,12,4,2,2.3,0
GC-SUP-1075,packaging,Tiruppur,10,79.1,72,0,5,2,1.0,0
GC-SUP-1076,electronics,Tiruppur,12,53.1,114,2,0,0,2.7,0
GC-SUP-1077,construction,Erode,4,87.1,92,0,13,0,4.4,1
GC-SUP-1078,manufacturing,Tiruppur,2,63.5,269,0,48,1,1.3,0
GC-SUP-1079,packaging,Coimbatore,1,73.3,268,26,49,0,3.5,0
GC-SUP-1080,manufacturing,Salem,4,54.3,260,24,16,2,1.0,0
GC-SUP-1081,electronics,Salem,1,67.2,107,1,14,2,1.0,0
GC-SUP-1082,electronics,Coimbatore,3,76.8,490,23,78,1,2.7,0
GC-SUP-1083,construction,Erode,3,72.5,410,9,16,0,3.8,1
GC-SUP-1084,packaging,Erode,1,66.1,244,10,47,2,1.0,0
GC-SUP-1085,agriculture,Tiruppur,2,92.8,164,4,17,1,2.8,0
GC-SUP-1086,construction,Erode,5,55.9,242,11,25,1,1.3,0
GC-SUP-1087,construction,Chennai,8,54.5,56,0,5,2,1.0,0
GC-SUP-1088,manufacturing,Chennai,14,68.5,346,25,35,0,3.5,1
GC-SUP-1089,agriculture,Coimbatore,11,68.1,225,1,44,1,1.6,0
GC-SUP-1090,manufacturing,Chennai,7,56.5,12,0,2,1,1.2,0
GC-SUP-1091,electronics,Tiruppur,6,68.5,211,6,16,2,1.0,0
GC-SUP-1092,manufacturing,Coimbatore,13,55.9,154,12,19,0,3.2,0
GC-SUP-1093,construction,Coimbatore,14,78.6,479,33,7,0,4.2,1
GC-SUP-1094,agriculture,Chennai,9,63.9,15,1,1,1,1.7,0
GC-SUP-1095,manufacturing,Erode,8,61.6,159,4,5,1,1.0,0
GC-SUP-1096,agriculture,Chennai,13,64.0,104,7,8,2,1.0,0
GC-SUP-1097,electronics,Salem,14,90.0,378,29,50,1,3.4,0
GC-SUP-1098,textiles,Coimbatore,14,76.2,35,2,4,0,3.6,1
GC-SUP-1099,electronics,Salem,0,86.1,149,14,0,1,2.4,0
GC-SUP-1000,manufacturing,Erode,13,57.6,365,12,2,0,2.6,0
GC-SUP-1001,construction,Coimbatore,11,59.9,177,1,19,0,2.1,0
GC-SUP-1002,construction,Tiruppur,0,55.7,408,23,37,2,1.0,0
GC-SUP-1003,construction,Salem,11,70.0,382,10,8,1,2.1,0
GC-SUP-1004,agriculture,Chennai,2,95.4,329,21,59,0,4.9,0
GC-SUP-1005,manufacturing,Salem,13,90.4,174,4,18,2,1.4,0
GC-SUP-1006,manufacturing,Coimbatore,13,67.6,246,9,24,1,1.8,0
GC-SUP-1007,manufacturing,Chennai,12,64.8,32,2,6,0,3.8,0
GC-SUP-1008,textiles,Tiruppur,0,69.2,459,13,52,2,1.0,0
GC-SUP-1009,electronics,Chennai,7,84.0,24,2,4,0,4.8,0
GC-SUP-1010,agriculture,Chennai,3,98.9,450,32,26,2,1.8,0
GC-SUP-1011,packaging,Coimbatore,4,93.0,362,12,30,2,1.5,0
GC-SUP-1012,agriculture,Erode,7,79.6,24,0,4,0,4.3,0
GC-SUP-1013,packaging,Chennai,14,79.3,429,35,25,2,1.0,0
GC-SUP-1014,electronics,Erode,3,58.9,339,5,22,2,1.0,0
GC-SUP-1015,packaging,Erode,7,74.8,482,32,59,2,1.0,0
GC-SUP-1016,agriculture,Salem,3,95.0,142,7,4,2,1.9,0
GC-SUP-1017,packaging,Tiruppur,5,53.8,471,39,40,1,1.0,0
GC-SUP-1018,electronics,Tiruppur,13,61.6,355,35,53,2,1.1,0
GC-SUP-1019,construction,Tiruppur,4,66.4,445,25,40,2,1.0,0
GC-SUP-1020,agriculture,Tiruppur,9,95.1,395,6,33,2,1.2,0
GC-SUP-1021,agriculture,Chennai,2,62.2,34,2,3,1,1.5,0
GC-SUP-1022,construction,Tiruppur,0,88.2,159,9,27,1,2.5,0
GC-SUP-1023,agriculture,Tiruppur,0,77.3,351,27,62,0,4.1,0
GC-SUP-1024,textiles,Tiruppur,12,69.5,444,18,61,1,3.0,0
GC-SUP-1025,packaging,Tiruppur,13,85.0,203,16,29,1,2.3,0
GC-SUP-1026,electronics,Salem,0,66.4,64,6,2,1,2.2,0
GC-SUP-1027,agriculture,Tiruppur,6,98.0,297,17,6,0,4.4,2
GC-SUP-1028,textiles,Tiruppur,6,62.4,480,7,53,0,2.9,0
GC-SUP-1029,textiles,Salem,14,85.3,300,23,13,1,3.0,0
GC-SUP-1030,electronics,Salem,3,82.7,478,13,94,2,1.0,0
GC-SUP-1031,packaging,Tiruppur,14,80.6,20,1,1,2,1.7,0
GC-SUP-1032,agriculture,Salem,4,66.9,265,8,33,0,3.4,1
GC-SUP-1033,manufacturing,Salem,7,55.6,167,13,22,0,2.7,0
GC-SUP-1034,packaging,Chennai,0,63.2,49,1,8,2,1.0,0
GC-SUP-1035,manufacturing,Salem,9,75.8,118,1,22,0,3.3,0
GC-SUP-1036,electronics,Coimbatore,4,89.9,50,5,1,0,4.5,2
GC-SUP-1037,agriculture,Erode,9,56.9,36,0,6,1,1.0,0
GC-SUP-1038,electronics,Coimbatore,11,81.0,318,6,9,0,3.9,2
GC-SUP-1039,manufacturing,Coimbatore,13,52.3,319,10,0,2,1.0,0
GC-SUP-1040,construction,Salem,2,62.0,158,10,7,2,1.0,0
GC-SUP-1041,electronics,Coimbatore,6,82.5,255,21,4,0,3.8,2
GC-SUP-1042,packaging,Salem,14,62.9,236,19,42,0,4.2,0
GC-SUP-1043,packaging,Tiruppur,9,73.2,82,8,7,0,3.6,1
GC-SUP-1044,textiles,Tiruppur,12,83.7,51,0,6,2,1.4,0
GC-SUP-1045,agriculture,Chennai,13,50.3,21,2,4,2,1.0,0
GC-SUP-1046,electronics,Tiruppur,12,88.7,66,6,0,2,1.7,0
GC-SUP-1047,textiles,Erode,5,81.2,209,17,24,2,1.6,0
GC-SUP-1048,electronics,Coimbatore,8,96.3,56,1,6,0,4.9,1
GC-SUP-1049,packaging,Erode,6,64.6,185,7,22,0,2.7,0
GC-SUP-1050,packaging,Salem,6,72.3,452,41,16,1,1.6,0
GC-SUP-1051,agriculture,Erode,1,93.4,180,7,25,2,1.9,0
GC-SUP-1052,agriculture,Tiruppur,3,88.7,418,12,81,0,4.5,0
GC-SUP-1053,manufacturing,Coimbatore,6,72.6,43,2,6,0,4.0,1
GC-SUP-1054,construction,Coimbatore,2,53.4,311,19,28,1,2.2,0
GC-SUP-1055,agriculture,Tiruppur,9,54.5,368,19,4,0,2.5,0
GC-SUP-1056,manufacturing,Tiruppur,2,72.9,385,29,67,1,1.4,0
GC-SUP-1057,agriculture,Salem,10,96.5,70,4,10,1,2.8,0
GC-SUP-1058,manufacturing,Chennai,13,80.1,162,6,3,2,1.5,0
GC-SUP-1059,manufacturing,Erode,2,75.1,339,33,56,1,2.1,0
GC-SUP-1060,textiles,Tiruppur,9,88.2,271,4,4,1,2.8,0
GC-SUP-1061,packaging,Coimbatore,13,98.8,12,1,2,1,3.0,0
GC-SUP-1062,construction,Erode,14,51.7,77,5,4,1,1.0,0
GC-SUP-1063,electronics,Salem,12,93.5,418,33,75,1,2.8,0
GC-SUP-1064,textiles,Tiruppur,4,86.0,235,23,14,1,3.2,0
GC-SUP-1065,packaging,Coimbatore,5,97.1,185,12,27,0,4.5,1
GC-SUP-1066,construction,Tiruppur,1,74.3,233,18,2,1,2.7,0
GC-SUP-1067,textiles,Chennai,7,62.0,68,2,8,0,3.2,0
GC-SUP-1068,electronics,Erode,8,95.6,365,26,37,2,2.2,0
GC-SUP-1069,packaging,Coimbatore,10,61.2,48,1,3,1,1.5,0
GC-SUP-1070,manufacturing,Erode,12,62.7,459,31,12,1,1.9,0
GC-SUP-1071,packaging,Salem,7,90.1,335,18,29,2,1.0,0
GC-SUP-1072,packaging,Tiruppur,1,66.8,69,6,13,0,3.2,0
GC-SUP-1073,electronics,Tiruppur,11,53.3,403,0,21,1,1.2,0
GC-SUP-1074,electronics,Coimbatore,1,98.5,184,11,35,2,2.1,0
GC-SUP-1075,construction,Chennai,0,65.9,88,2,10,1,1.6,0
GC-SUP-1076,packaging,Coimbatore,13,73.0,13,0,2,0,3.7,0
GC-SUP-1077,construction,Erode,10,60.8,139,13,19,1,2.0,0
GC-SUP-1078,electronics,Chennai,2,96.6,245,23,27,0,4.8,1
GC-SUP-1079,electronics,Salem,5,87.2,462,2,0,1,3.1,0
GC-SUP-1080,agriculture,Coimbatore,12,59.8,290,23,11,1,1.5,0
GC-SUP-1081,agriculture,Tiruppur,0,54.5,17,0,2,1,1.7,0
GC-SUP-1082,packaging,Salem,6,80.7,457,43,52,1,3.0,0
GC-SUP-1083,textiles,Tiruppur,13,83.6,237,8,37,0,4.4,0
GC-SUP-1084,agriculture,Erode,4,78.9,81,0,7,0,3.9,1
GC-SUP-1085,manufacturing,Chennai,12,87.1,111,8,7,2,1.1,0
GC-SUP-1086,manufacturing,Chennai,7,57.2,85,8,13,2,1.0,0
GC-SUP-1087,agriculture,Tiruppur,9,88.0,251,0,1,0,4.4,2
GC-SUP-1088,textiles,Tiruppur,12,54.0,86,3,6,1,1.6,0
GC-SUP-1089,packaging,Salem,0,96.6,326,2,5,0,5.0,2
GC-SUP-1090,manufacturing,Tiruppur,6,80.0,50,1,7,1,3.0,0
GC-SUP-1091,electronics,Chennai,3,77.1,399,21,25,2,1.1,0
GC-SUP-1092,electronics,Tiruppur,11,85.8,468,17,11,2,1.2,0
GC-SUP-1093,electronics,Coimbatore,2,97.8,365,7,52,2,2.8,0
GC-SUP-1094,electronics,Salem,1,51.0,220,21,36,0,2.2,0
GC-SUP-1095,electronics,Chennai,12,53.5,456,14,6,0,2.7,0
GC-SUP-1096,manufacturing,Erode,14,70.4,33,3,4,1,2.1,0
GC-SUP-1097,agriculture,Coimbatore,4,69.4,237,1,14,1,2.4,0
GC-SUP-1098,agriculture,Coimbatore,2,79.0,255,11,2,0,4.4,1
GC-SUP-1099,textiles,Chennai,9,85.1,249,22,41,1,2.7,0
GC-SUP-1000,manufacturing,Coimbatore,6,70.2,431,40,61,1,1.9,0
GC-SUP-1001,textiles,Salem,1,54.7,154,10,24,0,3.2,0
GC-SUP-1002,agriculture,Coimbatore,2,82.2,458,39,75,0,3.8,0
GC-SUP-1003,packaging,Chennai,5,58.3,467,28,9,1,1.1,0
GC-SUP-1004,textiles,Tiruppur,4,62.2,180,11,0,0,3.0,0
GC-SUP-1005,textiles,Chennai,4,67.5,213,4,27,2,1.0,0
GC-SUP-1006,manufacturing,Salem,10,55.5,379,13,1,0,3.1,0
GC-SUP-1007,construction,Tiruppur,6,61.0,494,4,32,0,3.1,0
GC-SUP-1008,electronics,Salem,9,69.5,251,23,42,1,2.0,0
GC-SUP-1009,textiles,Chennai,1,66.8,303,19,22,1,2.0,0
GC-SUP-1010,construction,Salem,1,59.9,384,7,0,2,1.0,0
GC-SUP-1011,construction,Coimbatore,0,91.1,227,10,9,1,3.8,0
GC-SUP-1012,packaging,Coimbatore,0,90.7,312,7,48,2,1.6,0
GC-SUP-1013,textiles,Tiruppur,2,96.1,151,4,15,0,5.0,1
GC-SUP-1014,textiles,Coimbatore,13,82.2,201,5,8,0,4.5,2
GC-SUP-1015,textiles,Erode,12,64.1,468,3,3,1,1.6,0
GC-SUP-1016,electronics,Coimbatore,1,93.0,288,18,44,2,1.1,0
GC-SUP-1017,textiles,Erode,14,80.9,208,14,20,2,1.0,0
GC-SUP-1018,agriculture,Erode,8,79.2,233,16,34,1,2.5,0
GC-SUP-1019,manufacturing,Coimbatore,1,72.7,12,0,1,1,1.9,0
GC-SUP-1020,manufacturing,Salem,4,89.9,162,11,4,1,2.3,0
GC-SUP-1021,agriculture,Chennai,6,89.8,373,20,22,2,1.6,0
GC-SUP-1022,construction,Salem,14,61.9,212,18,14,0,2.5,0
GC-SUP-1023,manufacturing,Erode,3,62.6,61,5,10,0,3.1,0
GC-SUP-1024,agriculture,Chennai,7,65.3,429,29,17,1,1.5,0
GC-SUP-1025,textiles,Chennai,6,83.4,83,6,12,2,1.0,0
GC-SUP-1026,textiles,Coimbatore,12,62.6,45,3,3,1,1.7,0
GC-SUP-1027,construction,Coimbatore,14,96.6,384,21,20,1,3.9,0
GC-SUP-1028,agriculture,Tiruppur,9,60.4,19,1,1,0,2.5,0
GC-SUP-1029,construction,Salem,1,85.9,109,6,9,0,4.0,1
GC-SUP-1030,packaging,Chennai,3,57.3,448,4,46,0,3.1,0
GC-SUP-1031,construction,Tiruppur,5,51.2,152,2,27,2,1.0,0
GC-SUP-1032,electronics,Coimbatore,8,69.2,450,24,1,2,1.1,0
GC-SUP-1033,packaging,Erode,6,85.5,468,38,23,1,3.1,0
GC-SUP-1034,electronics,Salem,9,66.5,297,6,44,1,2.2,0
GC-SUP-1035,agriculture,Chennai,8,65.8,388,5,40,2,1.0,0
GC-SUP-1036,agriculture,Erode,0,90.8,453,4,43,2,1.0,0
GC-SUP-1037,packaging,Chennai,5,61.3,67,2,5,1,1.9,0
GC-SUP-1038,packaging,Salem,1,67.8,300,1,22,1,2.2,0
GC-SUP-1039,packaging,Salem,4,58.6,296,14,56,2,1.0,0
GC-SUP-1040,packaging,Tiruppur,6,87.1,154,15,11,2,1.0,0
GC-SUP-1041,construction,Salem,7,87.7,330,29,20,1,2.8,0
GC-SUP-1042,manufacturing,Coimbatore,7,87.0,170,15,11,1,2.7,0
GC-SUP-1043,construction,Coimbatore,8,54.3,484,8,64,2,1.0,0
GC-SUP-1044,electronics,Salem,13,71.9,205,17,5,2,1.0,0
GC-SUP-1045,agriculture,Erode,3,60.2,248,16,41,1,2.1,0
GC-SUP-1046,packaging,Erode,2,83.0,499,29,77,1,2.5,0
GC-SUP-1047,manufacturing,Tiruppur,14,69.7,75,2,1,2,1.0,0
GC-SUP-1048,packaging,Salem,1,81.4,34,1,0,0,5.0,2
GC-SUP-1049,manufacturing,Erode,3,74.6,434,5,24,0,3.6,1
GC-SUP-1050,construction,Coimbatore,7,73.4,461,24,78,0,3.9,0
GC-SUP-1051,agriculture,Erode,14,74.8,155,12,27,2,1.0,0
GC-SUP-1052,manufacturing,Erode,10,80.4,69,6,2,2,1.0,0
GC-SUP-1053,electronics,Coimbatore,12,80.4,472,8,86,2,1.0,0
GC-SUP-1054,textiles,Chennai,4,55.9,199,13,6,0,2.9,0
GC-SUP-1055,textiles,Erode,6,60.8,230,19,35,1,1.5,0
GC-SUP-1056,packaging,Erode,3,69.8,265,2,6,2,1.0,0
GC-SUP-1057,construction,Erode,5,97.2,192,1,26,0,4.7,1
GC-SUP-1058,manufacturing,Erode,9,83.4,385,38,4,0,4.5,2
GC-SUP-1059,construction,Erode,4,89.3,182,3,16,2,1.3,0
GC-SUP-1060,textiles,Salem,10,72.3,317,31,54,0,3.1,0
GC-SUP-1061,agriculture,Salem,1,73.3,242,19,28,1,2.2,0
GC-SUP-1062,packaging,Erode,9,93.7,114,0,8,0,4.4,2
GC-SUP-1063,construction,Tiruppur,9,95.6,453,39,20,2,2.5,0
GC-SUP-1064,packaging,Chennai,5,81.2,88,0,12,2,1.0,0
GC-SUP-1065,textiles,Chennai,0,53.5,417,34,23,0,2.6,0
GC-SUP-1066,construction,Salem,4,69.0,424,35,10,2,1.0,0
GC-SUP-1067,construction,Coimbatore,5,54.0,377,27,7,0,2.0,0
GC-SUP-1068,textiles,Coimbatore,14,60.1,58,3,3,1,1.9,0
GC-SUP-1069,packaging,Erode,3,64.3,497,1,12,0,3.2,0
GC-SUP-1070,agriculture,Coimbatore,10,52.1,282,7,17,2,1.0,0
GC-SUP-1071,manufacturing,Salem,9,80.0,287,19,29,0,3.7,1
GC-SUP-1072,agriculture,Chennai,13,50.6,414,34,31,1,1.0,0
GC-SUP-1073,construction,Erode,13,91.3,369,6,22,2,1.7,0
GC-SUP-1074,manufacturing,Chennai,8,95.9,294,12,17,1,3.5,0
GC-SUP-1075,electronics,Coimbatore,14,73.9,416,23,43,0,3.4,1
GC-SUP-1076,manufacturing,Chennai,4,78.9,193,2,18,2,1.2,0
GC-SUP-1077,textiles,Erode,14,57.9,195,15,7,0,3.0,0
GC-SUP-1078,agriculture,Erode,2,98.6,113,2,9,1,3.5,0
GC-SUP-1079,manufacturing,Chennai,10,83.7,121,12,8,1,2.1,0
GC-SUP-1080,packaging,Coimbatore,9,51.7,218,13,13,0,2.5,0
GC-SUP-1081,electronics,Chennai,14,65.0,321,18,57,2,1.0,0
GC-SUP-1082,construction,Salem,3,88.2,236,4,37,0,4.2,0
GC-SUP-1083,textiles,Salem,12,81.5,225,4,15,1,2.1,0
GC-SUP-1084,agriculture,Salem,7,79.6,171,17,18,2,1.0,0
GC-SUP-1085,construction,Salem,13,98.1,126,3,18,0,5.0,1
GC-SUP-1086,agriculture,Tiruppur,6,61.6,328,27,46,2,1.0,0
GC-SUP-1087,textiles,Tiruppur,5,81.2,249,14,26,2,1.5,0
GC-SUP-1088,manufacturing,Salem,10,86.3,99,4,19,0,4.6,0
GC-SUP-1089,manufacturing,Erode,5,75.4,374,18,41,2,1.4,0
GC-SUP-1090,manufacturing,Coimbatore,2,68.5,329,19,48,0,3.0,1
GC-SUP-1091,manufacturing,Coimbatore,3,52.4,304,17,34,0,1.5,0
GC-SUP-1092,textiles,Salem,5,52.8,183,11,30,0,2.6,0
GC-SUP-1093,agriculture,Chennai,6,94.4,129,9,15,1,3.1,0
GC-SUP-1094,packaging,Tiruppur,12,63.1,338,19,56,0,2.2,0
GC-SUP-1095,manufacturing,Coimbatore,7,76.9,481,14,47,2,1.2,0
GC-SUP-1096,construction,Coimbatore,9,70.5,393,13,56,0,3.1,1
GC-SUP-1097,textiles,Chennai,2,97.6,393,11,60,0,5.0,0
GC-SUP-1098,textiles,Coimbatore,4,61.0,499,6,85,2,1.0,0
GC-SUP-1099,construction,Coimbatore,11,85.4,178,6,21,0,4.3,1
GC-SUP-1000,textiles,Coimbatore,5,61.1,107,0,9,0,3.2,0
GC-SUP-1001,textiles,Coimbatore,9,72.7,377,21,75,2,1.0,0
GC-SUP-1002,manufacturing,Salem,10,72.5,201,18,31,2,1.0,0
GC-SUP-1003,agriculture,Salem,5,50.9,241,20,14,1,1.5,0
GC-SUP-1004,agriculture,Salem,13,61.7,498,39,57,1,2.3,0
GC-SUP-1005,manufacturing,Chennai,7,63.8,51,3,2,1,2.5,0
GC-SUP-1006,agriculture,Tiruppur,10,68.6,412,4,50,2,1.0,0
GC-SUP-1007,agriculture,Salem,8,78.3,94,7,8,2,1.0,0
GC-SUP-1008,manufacturing,Coimbatore,9,71.9,463,11,1,2,1.0,0
GC-SUP-1009,electronics,Coimbatore,10,98.2,426,27,0,2,2.4,0
GC-SUP-1010,construction,Salem,10,65.3,487,5,18,0,3.3,1
GC-SUP-1011,textiles,Erode,6,56.0,167,12,33,1,1.9,0
GC-SUP-1012,packaging,Chennai,6,56.4,334,24,2,0,2.6,0
GC-SUP-1013,electronics,Erode,11,92.1,381,37,49,1,2.6,0
GC-SUP-1014,electronics,Salem,11,98.4,459,43,72,0,5.0,0
GC-SUP-1015,agriculture,Salem,13,58.5,286,27,55,1,1.2,0
GC-SUP-1016,manufacturing,Tiruppur,4,70.6,43,0,2,2,1.0,0
GC-SUP-1017,manufacturing,Tiruppur,4,89.5,359,14,34,0,4.0,1
GC-SUP-1018,agriculture,Erode,1,65.9,433,27,46,2,1.0,0
GC-SUP-1019,textiles,Chennai,3,92.5,312,5,14,2,1.2,0
GC-SUP-1020,construction,Chennai,8,64.9,311,19,13,0,3.5,0
GC-SUP-1021,construction,Coimbatore,2,94.5,260,26,22,2,2.0,0
GC-SUP-1022,electronics,Coimbatore,7,68.6,151,3,20,1,2.0,0
GC-SUP-1023,manufacturing,Chennai,3,50.9,433,23,13,1,1.0,0
GC-SUP-1024,manufacturing,Tiruppur,2,97.7,396,18,72,0,5.0,0
GC-SUP-1025,agriculture,Chennai,14,72.0,129,5,20,0,3.4,0
GC-SUP-1026,agriculture,Tiruppur,13,52.3,170,13,10,0,2.2,0
GC-SUP-1027,manufacturing,Tiruppur,3,53.2,485,7,1,0,2.2,0
GC-SUP-1028,construction,Tiruppur,7,59.1,192,15,28,1,1.5,0
GC-SUP-1029,construction,Salem,4,79.3,426,8,60,0,4.4,1
GC-SUP-1030,agriculture,Chennai,0,53.2,489,0,7,0,2.5,0
GC-SUP-1031,manufacturing,Salem,13,87.9,370,18,25,0,4.5,2
GC-SUP-1032,manufacturing,Erode,2,71.8,166,3,6,1,1.7,0
GC-SUP-1033,electronics,Tiruppur,0,63.2,431,5,85,0,2.8,0
GC-SUP-1034,packaging,Tiruppur,12,73.2,227,7,18,1,1.6,0
GC-SUP-1035,electronics,Erode,3,60.1,150,12,5,0,3.0,0
GC-SUP-1036,manufacturing,Tiruppur,13,90.8,413,32,38,0,4.0,1
GC-SUP-1037,packaging,Chennai,5,95.7,274,23,36,0,4.7,1
GC-SUP-1038,textiles,Tiruppur,7,76.0,68,6,6,0,3.8,1
GC-SUP-1039,manufacturing,Erode,0,69.1,28,0,4,0,3.2,1
GC-SUP-1040,agriculture,Erode,0,90.4,112,11,4,0,4.3,2
GC-SUP-1041,construction,Tiruppur,14,92.7,155,1,3,1,3.2,0
GC-SUP-1042,textiles,Salem,1,54.5,248,7,19,0,2.9,0
GC-SUP-1043,construction,Tiruppur,9,67.7,340,12,9,1,1.8,0
GC-SUP-1044,packaging,Chennai,5,55.7,48,3,2,1,1.3,0
GC-SUP-1045,packaging,Tiruppur,8,70.7,428,42,64,2,1.0,0
GC-SUP-1046,construction,Coimbatore,4,56.0,58,0,6,0,2.7,0
GC-SUP-1047,electronics,Coimbatore,3,83.0,384,8,52,1,2.4,0
