material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
battery,8942.06,382.37,Electric Box Truck,spring,6.37,2.99,0.16,3.48,4432.61
textile,5092.1,347.48,Compact Logistics Van,spring,0.0,2.54,1.2,1.32,2729.54
textile,9297.52,262.63,Heavy Duty Dump,monsoon,0.08,4.1,5.73,3.32,4284.15
metal,5656.65,562.33,Electric Box Truck,monsoon,0.06,6.93,6.03,3.46,4048.6
metal,3361.0,510.72,Heavy Duty Dump,monsoon,0.72,7.98,5.6,3.69,3676.62
metal,8697.31,548.81,Electric Box Truck,monsoon,1.22,6.75,6.8,4.95,5250.37
paper,8888.85,26.29,Electric Box Truck,summer,1.44,0.59,1.45,1.01,2885.47
textile,8421.55,517.64,Heavy Duty Dump,winter,0.0,3.93,0.68,1.69,3698.45
paper,6304.33,60.36,Heavy Duty Dump,winter,1.69,2.78,1.82,2.39,3081.66
textile,9701.46,431.61,Flatbed Carrier,spring,0.0,1.57,0.49,0.95,3492.29
metal,9633.95,503.23,Heavy Duty Dump,winter,0.0,3.25,0.72,0.93,3555.47
plastic,6669.93,175.16,Compact Logistics Van,spring,0.69,3.2,0.2,2.03,3125.71
paper,5747.16,103.6,Electric Box Truck,spring,0.16,1.31,0.83,0.46,2167.65
paper,1918.24,20.13,Electric Box Truck,winter,0.23,1.98,2.27,1.16,1693.49
metal,6235.33,384.71,Electric Box Truck,winter,1.22,1.77,1.7,1.53,3074.38
textile,6902.84,373.35,Compact Logistics Van,monsoon,1.09,6.29,6.45,4.98,4731.75
plastic,4690.88,331.91,Heavy Duty Dump,winter,0.72,2.57,0.71,1.36,2652.48
textile,8479.78,23.73,Electric Box Truck,monsoon,0.19,3.83,6.57,3.78,4055.03
textile,584.03,256.59,Heavy Duty Dump,spring,0.0,3.39,2.12,2.33,2261.65
battery,4243.65,229.49,Flatbed Carrier,winter,5.27,1.99,0.87,3.41,3371.7
textile,7451.11,150.56,Electric Box Truck,spring,0.34,4.36,0.07,1.13,2828.75
battery,4014.18,16.39,Heavy Duty Dump,monsoon,4.86,3.59,7.15,5.59,4059.32
textile,1098.7,365.44,Compact Logistics Van,monsoon,0.33,6.03,6.19,4.47,3446.9
battery,1347.26,94.37,Electric Box Truck,summer,4.59,1.67,2.15,2.78,2405.35
metal,4087.19,536.22,Electric Box Truck,spring,0.0,3.74,1.64,1.71,2948.3
paper,2519.51,545.54,Heavy Duty Dump,winter,1.16,2.96,0.0,1.21,2454.43
battery,2637.5,204.85,Electric Box Truck,monsoon,4.71,3.83,6.95,5.31,3909.73
textile,8263.35,449.08,Flatbed Carrier,spring,0.23,2.11,0.49,0.85,3210.76
plastic,2391.24,578.3,Compact Logistics Van,spring,0.53,4.68,1.28,2.02,2835.37
metal,1828.91,137.92,Flatbed Carrier,monsoon,1.22,4.13,5.91,3.26,2761.61
paper,3489.47,110.11,Compact Logistics Van,summer,0.0,1.1,1.52,0.25,1673.78
paper,9864.87,421.92,Heavy Duty Dump,spring,0.98,2.65,0.46,1.52,3765.77
battery,8260.86,570.38,Compact Logistics Van,spring,4.34,5.32,1.71,3.66,4616.48
plastic,3892.04,452.25,Heavy Duty Dump,summer,0.63,4.25,2.13,1.97,2930.46
textile,9997.23,598.02,Heavy Duty Dump,monsoon,0.27,7.49,5.36,3.91,5075.44
battery,2892.37,132.26,Heavy Duty Dump,spring,3.26,1.45,0.69,2.3,2515.37
plastic,5608.69,340.95,Electric Box Truck,monsoon,0.0,5.49,6.89,4.07,4048.41
battery,9050.88,374.19,Electric Box Truck,summer,5.81,3.89,1.48,3.98,4668.9
metal,3612.9,313.25,Compact Logistics Van,monsoon,1.31,4.46,4.98,3.34,3327.23
textile,9804.32,300.64,Heavy Duty Dump,summer,0.0,3.04,2.22,1.2,3466.33
paper,3587.54,539.11,Flatbed Carrier,monsoon,0.01,7.1,5.68,3.52,3676.63
textile,511.69,333.74,Heavy Duty Dump,spring,0.89,2.44,0.78,0.99,1739.89
battery,585.26,481.65,Heavy Duty Dump,summer,5.43,2.91,1.56,3.74,3167.73
metal,7647.56,323.45,Electric Box Truck,spring,0.7,1.99,1.28,1.52,3249.73
paper,1250.29,273.97,Flatbed Carrier,monsoon,0.09,4.65,5.89,3.18,2784.37
plastic,8438.96,62.63,Electric Box Truck,winter,0.15,0.36,0.0,0.01,2398.96
plastic,5084.73,61.28,Flatbed Carrier,summer,1.26,1.74,1.38,1.36,2402.16
plastic,3506.98,540.79,Compact Logistics Van,summer,0.49,2.39,2.3,1.53,2767.58
textile,1197.47,100.19,Flatbed Carrier,winter,0.31,1.17,0.5,0.41,1319.12
plastic,986.29,319.46,Compact Logistics Van,spring,0.7,2.53,1.14,1.49,2030.94
plastic,5009.34,436.51,Electric Box Truck,spring,0.64,4.61,1.75,2.13,3183.61
textile,2033.03,200.97,Flatbed Carrier,winter,0.0,2.04,1.16,0.6,1676.22
textile,5159.82,559.89,Heavy Duty Dump,monsoon,0.0,7.79,7.24,3.73,4080.0
metal,9901.61,200.19,Electric Box Truck,winter,0.92,1.1,1.32,1.67,3573.24
battery,3618.91,558.42,Electric Box Truck,winter,5.08,3.86,1.29,4.21,4017.33
textile,1569.77,479.21,Electric Box Truck,winter,0.34,3.14,1.33,1.89,2508.26
metal,9097.09,196.56,Electric Box Truck,spring,0.25,3.51,1.33,1.67,3424.86
textile,3153.5,451.09,Flatbed Carrier,spring,0.66,3.08,1.5,0.75,2248.36
battery,5519.92,264.6,Flatbed Carrier,monsoon,5.46,6.2,7.02,6.14,4872.28
battery,7928.25,99.49,Heavy Duty Dump,spring,5.42,0.81,1.04,2.53,3485.72
metal,5041.02,455.23,Electric Box Truck,summer,0.0,3.82,3.35,1.78,3053.71
textile,5490.63,296.95,Compact Logistics Van,winter,1.17,4.08,1.43,2.75,3381.1
paper,1979.66,545.99,Electric Box Truck,summer,0.05,1.87,2.11,2.27,2834.28
plastic,2708.95,438.4,Flatbed Carrier,winter,1.1,3.73,0.62,1.67,2566.63
battery,7417.15,561.28,Electric Box Truck,monsoon,4.51,6.71,6.03,6.06,5536.3
textile,3917.2,449.11,Electric Box Truck,winter,0.74,4.3,0.87,1.47,2704.82
metal,9214.59,214.34,Electric Box Truck,monsoon,0.33,6.41,5.84,3.21,4158.96
battery,2632.62,350.8,Compact Logistics Van,summer,4.64,3.48,1.6,3.12,3097.43
plastic,1944.75,577.03,Heavy Duty Dump,winter,0.1,3.75,1.0,1.53,2530.84
plastic,3237.38,244.42,Flatbed Carrier,monsoon,0.22,6.13,7.35,3.9,3431.42
textile,4826.26,343.26,Electric Box Truck,spring,0.37,3.92,0.0,1.76,2873.29
metal,5070.72,461.56,Compact Logistics Van,spring,0.22,3.13,0.5,1.55,2961.91
battery,6511.2,251.15,Flatbed Carrier,monsoon,5.24,4.64,5.95,5.28,4651.33
battery,2464.53,406.42,Heavy Duty Dump,winter,5.05,2.93,1.3,2.87,3021.41
metal,8092.09,593.35,Compact Logistics Van,winter,0.0,3.25,1.14,1.03,3431.68
plastic,2237.29,25.65,Heavy Duty Dump,monsoon,0.0,5.54,5.26,2.91,2543.9
metal,3757.98,30.19,Compact Logistics Van,spring,1.09,0.61,1.57,0.95,1939.31
battery,9494.84,460.53,Compact Logistics Van,spring,4.98,4.19,1.07,3.63,4694.64
plastic,4950.83,312.35,Heavy Duty Dump,winter,0.1,3.86,1.37,1.13,2574.34
paper,1496.31,541.34,Electric Box Truck,monsoon,0.98,7.14,6.81,4.62,3800.04
plastic,2885.74,336.97,Heavy Duty Dump,summer,0.27,3.11,2.97,2.56,2874.88
plastic,5043.88,348.24,Heavy Duty Dump,summer,1.2,2.34,0.89,1.05,2600.33
battery,2006.84,63.3,Flatbed Carrier,summer,5.41,1.22,2.45,3.86,2976.42
metal,4087.16,572.91,Electric Box Truck,spring,0.0,3.77,0.26,1.27,2792.87
paper,703.97,302.86,Heavy Duty Dump,monsoon,1.07,4.95,5.98,4.42,3277.97
battery,6063.2,281.21,Flatbed Carrier,monsoon,4.85,4.88,6.4,5.73,4805.38
plastic,2014.3,329.72,Compact Logistics Van,monsoon,0.91,6.14,6.77,4.66,3656.51
plastic,9052.97,391.53,Flatbed Carrier,summer,0.57,2.65,2.06,1.43,3542.58
plastic,1969.64,345.09,Electric Box Truck,monsoon,0.72,5.55,6.68,3.93,3335.72
battery,3327.18,499.06,Heavy Duty Dump,summer,4.3,3.9,1.37,3.81,3712.86
paper,5809.79,484.35,Compact Logistics Van,spring,1.12,4.09,0.0,1.97,3311.24
paper,2483.0,24.4,Electric Box Truck,summer,0.86,1.16,2.73,1.24,1833.03
textile,568.45,293.07,Compact Logistics Van,winter,0.16,1.25,0.84,0.43,1445.35
paper,7428.31,150.88,Flatbed Carrier,spring,0.0,1.02,0.4,0.12,2371.24
plastic,2917.2,547.1,Flatbed Carrier,spring,0.38,3.03,0.61,1.56,2685.27
paper,4292.29,528.68,Electric Box Truck,winter,1.65,3.11,1.7,2.75,3446.4
textile,1379.32,37.7,Heavy Duty Dump,summer,0.73,1.6,1.25,1.38,1712.7
plastic,9291.97,597.0,Heavy Duty Dump,monsoon,1.21,6.53,5.5,4.28,5115.56
battery,2399.52,142.05,Flatbed Carrier,spring,5.77,3.15,0.63,3.29,2882.07
plastic,634.89,512.79,Electric Box Truck,spring,0.75,3.4,0.46,1.85,2361.78
paper,3852.35,163.25,Heavy Duty Dump,winter,0.08,1.81,1.42,0.58,1948.28
textile,9916.46,46.3,Heavy Duty Dump,winter,0.95,1.26,2.12,1.72,3416.07
battery,8672.03,443.01,Compact Logistics Van,monsoon,4.81,6.65,5.84,5.56,5396.69
textile,8402.73,421.51,Electric Box Truck,winter,1.19,3.63,0.9,1.89,3670.15
battery,2440.53,546.13,Electric Box Truck,winter,5.78,4.01,0.53,3.43,3437.36
textile,6245.88,588.9,Heavy Duty Dump,winter,0.88,2.86,1.9,1.86,3469.98
battery,7658.07,329.35,Compact Logistics Van,summer,5.6,1.49,2.11,3.48,4141.86
metal,9483.52,108.16,Compact Logistics Van,summer,0.38,3.02,1.65,2.32,3679.67
battery,1474.85,457.38,Flatbed Carrier,spring,5.78,3.23,0.67,4.24,3520.48
metal,9971.82,261.45,Heavy Duty Dump,spring,0.72,1.91,0.39,1.26,3475.3
metal,7773.66,145.73,Flatbed Carrier,monsoon,0.0,4.28,6.7,2.92,3688.27
metal,2288.43,28.37,Heavy Duty Dump,winter,0.98,0.87,1.3,1.03,1709.35
plastic,8712.51,468.19,Flatbed Carrier,monsoon,0.73,6.83,5.43,4.1,4774.81
textile,9135.99,580.83,Compact Logistics Van,summer,1.32,5.1,2.22,2.09,4083.34
plastic,1776.09,394.4,Heavy Duty Dump,spring,0.0,4.54,2.18,1.86,2431.12
metal,4903.4,364.01,Compact Logistics Van,monsoon,0.89,6.16,5.42,3.81,3834.89
plastic,1207.37,346.83,Flatbed Carrier,winter,0.0,2.66,1.71,1.05,1904.88
metal,3399.32,315.45,Heavy Duty Dump,spring,0.37,2.51,0.89,0.87,2183.58
metal,9779.17,128.51,Electric Box Truck,summer,0.68,1.75,3.02,2.25,3729.02
plastic,7148.79,523.87,Electric Box Truck,winter,0.21,4.49,1.07,2.13,3674.81
metal,7881.56,293.73,Flatbed Carrier,spring,0.39,1.5,1.39,1.65,3313.09
paper,1763.54,524.35,Electric Box Truck,monsoon,0.76,6.16,5.99,4.81,3909.33
metal,404.44,395.43,Heavy Duty Dump,winter,0.26,5.45,0.89,1.7,2113.35
textile,907.54,28.08,Heavy Duty Dump,monsoon,1.05,4.05,6.56,3.95,2774.98
paper,6361.9,443.86,Electric Box Truck,winter,2.05,3.5,2.56,2.8,3738.61
metal,7307.53,297.13,Electric Box Truck,monsoon,0.41,6.19,6.39,3.31,3961.47
textile,2264.49,377.55,Compact Logistics Van,spring,0.19,3.2,1.3,1.53,2348.9
metal,2527.92,583.12,Flatbed Carrier,spring,0.49,4.85,1.33,1.9,2810.06
plastic,6693.69,66.2,Heavy Duty Dump,monsoon,0.06,3.03,7.03,3.66,3730.54
paper,9704.25,277.74,Flatbed Carrier,summer,0.0,2.59,1.84,1.82,3701.03
paper,5961.27,569.66,Heavy Duty Dump,winter,0.0,2.64,0.02,1.28,3132.24
paper,4851.38,508.06,Compact Logistics Van,winter,1.02,3.73,0.84,1.7,3048.05
metal,9869.59,82.55,Heavy Duty Dump,winter,0.57,1.03,0.63,0.51,2906.0
battery,3298.33,309.27,Electric Box Truck,winter,5.07,2.91,0.92,3.61,3389.63
battery,4990.7,403.45,Compact Logistics Van,monsoon,4.53,6.53,6.17,5.36,4595.19
textile,9640.8,160.63,Heavy Duty Dump,monsoon,0.47,4.96,6.11,3.58,4338.01
plastic,497.79,559.26,Electric Box Truck,winter,0.0,4.33,0.35,2.06,2485.75
textile,5856.42,215.66,Electric Box Truck,summer,0.0,2.82,1.8,1.47,2774.08
plastic,1269.27,393.8,Electric Box Truck,summer,0.44,3.58,2.47,1.84,2328.26
plastic,1378.05,331.25,Heavy Duty Dump,spring,0.0,1.5,1.96,0.7,1760.32
paper,5575.3,361.93,Compact Logistics Van,spring,0.35,2.78,0.29,1.18,2771.05
metal,7641.57,305.26,Heavy Duty Dump,summer,0.0,2.66,0.55,0.75,2879.62
metal,7211.81,317.53,Heavy Duty Dump,monsoon,0.96,5.46,5.29,4.22,4378.14
paper,9357.47,217.46,Electric Box Truck,summer,0.0,2.01,1.41,0.58,3007.74
paper,5483.78,193.67,Compact Logistics Van,summer,0.01,2.72,1.41,1.15,2537.74
battery,1407.58,517.06,Flatbed Carrier,spring,4.71,2.87,0.66,3.15,3093.01
paper,4360.37,61.35,Electric Box Truck,spring,0.74,0.0,1.15,1.54,2351.55
paper,2435.18,135.11,Electric Box Truck,winter,1.07,1.43,0.83,1.41,2035.55
metal,2705.32,188.22,Compact Logistics Van,monsoon,0.72,5.65,6.35,4.16,3385.53
metal,4627.32,356.1,Flatbed Carrier,spring,0.82,3.11,0.89,1.47,2723.96
textile,6491.32,368.19,Compact Logistics Van,monsoon,0.22,4.75,5.95,4.33,4357.87
metal,2890.49,362.26,Electric Box Truck,monsoon,0.0,4.23,6.63,3.05,3127.19
paper,7298.52,351.25,Flatbed Carrier,spring,0.0,2.19,0.65,0.77,2882.44
plastic,8352.26,405.07,Compact Logistics Van,monsoon,0.0,6.68,7.01,4.46,4795.46
paper,3378.47,206.47,Electric Box Truck,summer,1.34,2.37,1.58,1.7,2418.9
paper,1069.92,577.38,Heavy Duty Dump,monsoon,0.16,7.31,5.07,3.05,3056.82
paper,3606.2,402.3,Compact Logistics Van,monsoon,0.0,5.76,6.73,3.8,3643.02
textile,1110.71,161.66,Compact Logistics Van,monsoon,0.65,5.61,5.26,3.53,2782.25
textile,554.37,188.85,Electric Box Truck,spring,0.15,1.75,1.05,1.18,1659.21
battery,8287.8,175.03,Electric Box Truck,winter,5.18,3.0,0.0,3.46,4058.58
paper,9319.83,78.66,Electric Box Truck,spring,0.96,1.16,1.16,1.21,3115.98
paper,8223.6,200.29,Flatbed Carrier,summer,0.28,1.57,2.05,1.42,3158.47
metal,8260.31,88.19,Electric Box Truck,spring,0.49,2.1,1.83,1.6,3111.29
textile,3311.81,572.15,Electric Box Truck,spring,0.1,4.14,1.57,0.4,2262.01
paper,983.66,468.27,Compact Logistics Van,winter,0.83,3.45,0.78,1.85,2373.17
textile,373.34,365.51,Flatbed Carrier,monsoon,1.07,4.22,5.66,3.15,2723.94
battery,7591.68,375.5,Flatbed Carrier,spring,4.38,2.67,0.54,2.49,3738.45
paper,6256.91,383.58,Compact Logistics Van,spring,0.13,2.36,1.29,0.74,2718.45
metal,1480.96,533.1,Electric Box Truck,winter,0.25,2.73,1.72,1.31,2294.85
textile,3993.37,578.66,Flatbed Carrier,summer,0.38,3.06,2.23,2.29,3242.35
metal,2059.01,375.18,Heavy Duty Dump,spring,0.71,3.74,0.93,1.51,2299.53
plastic,5570.0,278.08,Compact Logistics Van,winter,0.49,1.64,0.73,0.55,2385.58
paper,6586.76,488.3,Heavy Duty Dump,winter,0.35,4.26,1.17,1.48,3236.46
plastic,6943.72,268.19,Heavy Duty Dump,spring,0.46,3.08,1.85,2.15,3337.14
battery,4611.22,143.91,Heavy Duty Dump,winter,5.51,1.62,0.64,2.85,3084.13
plastic,7512.83,398.83,Flatbed Carrier,winter,0.0,3.14,1.14,1.28,3205.99
paper,7791.6,400.21,Compact Logistics Van,monsoon,1.09,6.58,6.6,4.09,4521.7
plastic,9764.71,403.74,Flatbed Carrier,spring,0.07,2.31,1.58,1.17,3570.46
metal,8027.4,182.77,Compact Logistics Van,summer,1.23,3.35,2.45,2.47,3575.17
paper,1735.06,35.8,Heavy Duty Dump,winter,0.09,1.34,1.52,0.04,1172.98
metal,6206.81,566.41,Electric Box Truck,winter,0.39,3.61,1.18,1.92,3461.18
battery,6780.26,196.98,Flatbed Carrier,spring,5.15,0.66,0.26,2.58,3416.25
paper,727.81,198.84,Electric Box Truck,monsoon,0.65,3.62,5.68,3.17,2597.62
textile,7314.6,492.49,Flatbed Carrier,monsoon,1.12,6.48,6.19,4.93,4925.21
textile,7485.55,371.04,Electric Box Truck,monsoon,1.0,6.02,5.28,3.7,4256.86
metal,291.45,155.54,Heavy Duty Dump,monsoon,1.14,4.44,6.16,3.08,2423.38
battery,2042.64,219.68,Heavy Duty Dump,spring,4.93,2.11,0.53,3.02,2792.21
metal,7635.03,410.24,Compact Logistics Van,monsoon,0.45,7.03,5.36,3.9,4420.22
textile,6504.98,470.44,Electric Box Truck,monsoon,0.7,5.65,5.75,3.23,3987.66
plastic,5964.38,293.77,Electric Box Truck,monsoon,0.56,4.92,7.12,4.59,4291.86
metal,6073.82,365.27,Compact Logistics Van,winter,1.05,1.69,1.27,0.98,2772.54
paper,7891.99,427.53,Flatbed Carrier,winter,0.0,3.78,0.74,1.0,3184.22
plastic,1068.28,140.16,Flatbed Carrier,winter,0.59,2.16,2.12,1.09,1651.47
battery,6921.93,594.76,Compact Logistics Van,monsoon,5.15,5.87,6.43,6.42,5649.54
textile,7037.17,558.47,Flatbed Carrier,spring,0.21,2.75,0.16,0.0,2736.86
textile,4690.23,294.95,Electric Box Truck,summer,0.6,2.17,0.28,0.91,2408.38
plastic,268.89,43.8,Electric Box Truck,winter,0.36,0.42,0.97,0.89,1299.89
textile,875.79,43.66,Electric Box Truck,summer,0.06,0.56,1.86,0.9,1413.97
metal,8478.94,168.2,Heavy Duty Dump,spring,1.03,3.47,0.21,1.08,3012.39
battery,3603.96,540.9,Electric Box Truck,winter,5.12,3.77,1.42,3.65,3738.88
metal,8313.11,474.75,Electric Box Truck,spring,0.7,3.37,1.27,1.39,3492.3
textile,5740.24,283.72,Heavy Duty Dump,spring,0.0,3.35,0.56,0.85,2555.66
plastic,5329.23,77.71,Electric Box Truck,winter,0.35,1.51,1.23,1.69,2611.63
metal,4950.02,107.81,Electric Box Truck,summer,0.72,2.26,0.58,0.74,2151.91
textile,7542.98,181.45,Flatbed Carrier,winter,0.35,1.26,0.0,0.5,2601.13
textile,1814.12,204.83,Electric Box Truck,winter,0.0,2.1,0.78,1.07,1853.71
plastic,5689.79,452.93,Heavy Duty Dump,monsoon,0.06,6.36,5.23,3.13,3776.06
metal,5078.56,72.23,Compact Logistics Van,monsoon,0.29,5.28,6.07,2.94,3125.52
paper,7969.97,350.78,Heavy Duty Dump,winter,0.28,3.78,1.04,1.9,3509.39
metal,4586.51,339.11,Electric Box Truck,monsoon,0.0,6.73,7.53,4.35,3990.51
textile,7379.83,494.02,Heavy Duty Dump,winter,0.07,4.38,0.99,1.76,3514.52
textile,6745.62,384.46,Compact Logistics Van,winter,0.41,3.71,1.71,2.83,3746.98
plastic,8264.99,133.75,Electric Box Truck,spring,0.74,1.48,1.17,0.92,2862.58
plastic,4817.45,494.77,Compact Logistics Van,spring,0.45,1.68,0.7,1.29,2843.01
metal,2594.53,76.64,Electric Box Truck,summer,0.2,2.7,2.15,1.7,2125.14
metal,7538.5,394.18,Compact Logistics Van,winter,1.0,2.63,1.24,1.55,3327.59
battery,504.93,446.18,Electric Box Truck,summer,4.54,3.63,2.52,3.51,3006.05
textile,525.26,189.33,Electric Box Truck,winter,0.86,2.48,0.27,1.5,1798.73
plastic,8767.42,10.11,Flatbed Carrier,monsoon,0.0,2.91,5.66,2.04,3308.73
battery,4245.06,483.39,Flatbed Carrier,winter,4.98,3.17,1.23,3.03,3509.39
battery,8295.18,422.6,Compact Logistics Van,winter,5.02,3.24,2.23,4.02,4610.66
plastic,2958.91,524.92,Electric Box Truck,winter,0.68,5.1,0.87,1.92,2827.44
plastic,4793.93,187.75,Flatbed Carrier,spring,0.0,1.08,1.57,1.48,2554.49
plastic,9892.48,379.44,Compact Logistics Van,spring,0.25,3.53,0.02,0.97,3471.57
metal,5818.82,398.71,Compact Logistics Van,winter,0.47,1.78,1.11,1.74,3107.31
plastic,6758.16,499.28,Compact Logistics Van,winter,0.83,5.65,0.0,1.75,3402.84
paper,4751.45,91.14,Flatbed Carrier,summer,0.33,1.17,1.95,1.32,2359.33
plastic,7085.81,150.09,Flatbed Carrier,winter,0.38,1.08,2.3,1.09,2747.83
metal,2861.37,289.01,Heavy Duty Dump,spring,0.19,1.21,1.06,0.57,1917.63
battery,1572.24,173.32,Heavy Duty Dump,spring,4.89,0.21,1.27,1.9,2148.24
textile,4848.03,358.61,Heavy Duty Dump,summer,0.65,3.02,1.81,0.99,2549.97
textile,5806.08,312.47,Flatbed Carrier,summer,0.42,3.1,2.13,1.44,2865.99
textile,3583.19,309.37,Heavy Duty Dump,monsoon,1.45,5.5,5.57,3.3,3299.75
paper,7352.63,530.53,Heavy Duty Dump,spring,0.92,2.72,1.63,1.28,3337.08
paper,8247.74,10.92,Flatbed Carrier,summer,0.57,0.56,1.58,1.01,2751.05
plastic,4671.12,227.74,Flatbed Carrier,monsoon,1.26,4.75,6.31,3.75,3602.89
textile,6850.97,223.53,Flatbed Carrier,spring,0.6,2.72,1.23,1.68,3058.36
battery,7461.62,322.69,Flatbed Carrier,winter,5.16,4.13,0.5,3.41,4065.74
metal,9119.32,486.73,Flatbed Carrier,monsoon,1.17,6.32,5.9,3.87,4768.88
battery,4413.32,407.05,Flatbed Carrier,spring,5.5,2.5,1.84,3.4,3613.02
battery,4611.21,351.77,Heavy Duty Dump,monsoon,4.96,5.48,6.84,6.92,5164.06
paper,4419.19,94.13,Compact Logistics Van,spring,0.02,1.13,1.03,0.59,1973.67
paper,265.76,237.67,Flatbed Carrier,summer,0.07,2.36,2.06,1.83,1957.15
paper,5886.17,340.22,Flatbed Carrier,winter,0.0,2.78,0.93,1.05,2740.39
battery,4002.27,104.41,Electric Box Truck,summer,4.87,2.8,2.34,3.37,3162.8
textile,3829.89,231.13,Flatbed Carrier,monsoon,0.56,5.14,5.48,3.45,3319.81
battery,9619.13,239.79,Heavy Duty Dump,winter,5.26,0.57,1.11,2.14,3780.85
metal,1849.7,155.68,Flatbed Carrier,monsoon,1.03,4.4,5.48,3.6,2940.52
textile,3555.99,169.45,Compact Logistics Van,monsoon,0.0,5.45,5.36,3.34,3144.74
battery,1675.11,491.89,Compact Logistics Van,monsoon,5.36,7.14,5.37,5.42,4128.97
metal,4722.17,441.18,Compact Logistics Van,winter,0.73,3.81,2.0,2.66,3376.29
textile,4692.97,32.41,Electric Box Truck,monsoon,0.16,4.22,5.78,3.85,3417.54
metal,9451.61,97.79,Flatbed Carrier,summer,0.49,1.8,2.15,1.8,3429.55
metal,5015.9,318.24,Electric Box Truck,winter,1.54,1.67,0.87,1.65,2825.41
plastic,8682.66,588.64,Electric Box Truck,winter,0.76,4.46,1.33,2.08,4004.28
plastic,782.82,11.87,Heavy Duty Dump,spring,0.0,0.42,0.34,0.0,955.15
textile,5202.24,379.69,Flatbed Carrier,monsoon,0.49,5.59,6.67,4.25,4106.28
metal,1517.46,186.64,Compact Logistics Van,winter,0.19,2.62,1.57,1.54,1989.39
battery,7431.12,502.15,Heavy Duty Dump,monsoon,5.21,6.04,6.42,6.29,5572.22
plastic,8490.03,372.03,Compact Logistics Van,monsoon,0.09,5.84,5.02,2.64,3962.62
battery,3618.44,75.49,Compact Logistics Van,spring,5.02,1.86,0.72,2.69,2754.28
metal,7986.25,427.18,Compact Logistics Van,summer,0.42,2.57,1.4,1.05,3224.08
battery,8074.13,558.24,Electric Box Truck,monsoon,4.86,7.3,5.08,5.6,5444.74
plastic,2348.88,29.86,Flatbed Carrier,spring,1.24,0.77,1.36,0.79,1615.97
metal,5941.47,378.62,Compact Logistics Van,winter,0.0,3.52,1.51,1.73,3102.87
paper,1600.18,467.45,Electric Box Truck,winter,0.0,3.31,1.2,0.98,2088.08
battery,2861.16,247.44,Heavy Duty Dump,monsoon,5.28,4.74,6.42,6.1,4356.4
plastic,814.36,505.21,Heavy Duty Dump,summer,0.91,2.83,1.61,1.57,2261.48
plastic,1473.31,343.34,Electric Box Truck,winter,0.93,2.84,0.93,1.76,2268.9
paper,6816.37,78.45,Flatbed Carrier,summer,0.87,1.48,2.28,1.84,2947.46
textile,7187.85,403.17,Heavy Duty Dump,winter,0.0,3.86,1.12,1.38,3199.29
