facility,city,material,daily_capacity,current_load,available_capacity,processing_fee,processing_time,distance
Coimbatore Refine-95 Ltd,Coimbatore,battery,2666.0,1690.37,975.63,13.59,1.7,15.6
Coimbatore Refine-96 Ltd,Coimbatore,glass,7124.0,2679.09,4444.91,3.42,3.2,34.4
Madurai Refine-97 Ltd,Madurai,metal,13309.0,5209.35,8099.65,7.94,3.0,43.0
Tiruppur Refine-98 Ltd,Tiruppur,metal,12488.0,6055.63,6432.37,8.1,1.6,25.8
Tiruppur Refine-99 Ltd,Tiruppur,metal,12247.0,8555.85,3691.15,9.58,1.7,16.5
Chennai Refine-100 Ltd,Chennai,paper,10150.0,5328.88,4821.12,3.41,1.6,12.3
Coimbatore Refine-101 Ltd,Coimbatore,organic,2918.0,1486.26,1431.74,1.52,3.1,10.9
Chennai Refine-102 Ltd,Chennai,textile,8882.0,3710.29,5171.71,3.6,1.7,36.0
Tiruppur Refine-103 Ltd,Tiruppur,organic,8229.0,2978.88,5250.12,1.43,1.5,54.0
Madurai Refine-104 Ltd,Madurai,plastic,11795.0,4530.26,7264.74,3.4,3.3,45.5
Tiruppur Refine-105 Ltd,Tiruppur,paper,8738.0,3521.57,5216.43,4.26,2.3,54.5
Chennai Refine-106 Ltd,Chennai,battery,12167.0,6066.44,6100.56,15.74,1.0,17.4
Madurai Refine-107 Ltd,Madurai,textile,8986.0,1530.41,7455.59,3.43,4.2,8.1
Tiruppur Refine-108 Ltd,Tiruppur,organic,10434.0,1195.67,9238.33,1.53,4.7,5.3
Tiruppur Refine-109 Ltd,Tiruppur,textile,4551.0,3087.02,1463.98,3.82,4.3,44.5
Coimbatore Refine-110 Ltd,Coimbatore,metal,8316.0,5950.88,2365.12,7.55,2.7,32.9
Tiruppur Refine-111 Ltd,Tiruppur,paper,14846.0,9884.23,4961.77,3.15,4.1,9.8
Coimbatore Refine-112 Ltd,Coimbatore,organic,8988.0,4728.33,4259.67,1.48,1.5,8.5
Madurai Refine-113 Ltd,Madurai,metal,4060.0,2629.49,1430.51,7.67,1.4,12.6
Tiruppur Refine-114 Ltd,Tiruppur,plastic,4824.0,2781.09,2042.91,2.63,2.4,56.1
Madurai Refine-115 Ltd,Madurai,paper,12161.0,2425.36,9735.64,3.22,3.9,56.6
Madurai Refine-116 Ltd,Madurai,battery,11762.0,9893.72,1868.28,15.87,4.0,49.0
Coimbatore Refine-117 Ltd,Coimbatore,glass,4898.0,3096.31,1801.69,3.67,3.1,24.7
Bangalore Refine-118 Ltd,Bangalore,metal,4136.0,2673.45,1462.55,9.42,4.6,39.3
Tiruppur Refine-119 Ltd,Tiruppur,organic,6670.0,3349.52,3320.48,1.44,1.9,54.5
