budget,primary_material,equipment_name,cost,roi,priority_score
785347.04,metal,Automated Compactor Baler,674739.61,31.97,7.27
460584.73,plastic,IoT Weighbridge Scales,356718.2,30.85,5.12
573231.4,textile,IoT Weighbridge Scales,467089.99,42.32,7.17
310560.06,battery,High-Shear Pelletizer Extruder,236036.95,14.73,2.74
146659.79,battery,IoT Weighbridge Scales,109330.48,24.44,3.14
550668.3,metal,Solar Decanter Centrifuge,411939.68,13.47,4.67
176701.3,paper,Automated Compactor Baler,131510.4,15.19,2.34
204750.29,metal,AI Optical Sorter,169093.91,36.85,4.09
79484.1,plastic,AI Optical Sorter,69305.86,30.42,3.21
51946.27,paper,AI Optical Sorter,37459.97,33.5,2.97
789692.75,metal,IoT Weighbridge Scales,625617.03,28.65,7.32
721405.13,battery,IoT Weighbridge Scales,524312.2,28.11,5.83
449462.95,plastic,Solar Decanter Centrifuge,335106.53,32.3,4.54
307195.15,plastic,IoT Weighbridge Scales,242308.18,35.36,5.2
409686.58,paper,Automated Compactor Baler,343905.48,33.12,4.16
303085.13,paper,Automated Compactor Baler,258194.83,20.8,4.24
423685.77,textile,AI Optical Sorter,321707.45,15.66,3.41
170511.03,battery,AI Optical Sorter,122777.91,30.88,3.56
357797.62,paper,Automated Compactor Baler,301981.05,45.03,7.37
665646.1,metal,High-Shear Pelletizer Extruder,561075.21,22.08,5.49
627119.7,metal,IoT Weighbridge Scales,505683.68,30.27,5.89
507965.03,textile,High-Shear Pelletizer Extruder,473933.2,23.54,4.71
495412.32,metal,Automated Compactor Baler,414734.81,31.76,6.03
115901.08,textile,AI Optical Sorter,103158.57,33.44,3.32
403682.14,battery,AI Optical Sorter,368433.37,38.86,6.31
793197.11,metal,IoT Weighbridge Scales,630438.73,45.35,8.41
591197.41,paper,Solar Decanter Centrifuge,434496.46,40.63,6.73
173199.35,textile,High-Shear Pelletizer Extruder,150042.48,30.83,3.69
319122.86,textile,Automated Compactor Baler,254695.56,41.4,4.51
397009.84,plastic,AI Optical Sorter,300954.57,44.38,5.82
337918.42,textile,High-Shear Pelletizer Extruder,282402.59,27.54,5.17
570288.21,paper,Solar Decanter Centrifuge,469835.31,38.69,6.19
479863.14,textile,AI Optical Sorter,373300.18,20.95,5.4
707574.23,plastic,Solar Decanter Centrifuge,514872.0,42.47,8.03
145616.5,textile,Solar Decanter Centrifuge,119636.97,26.72,4.2
587134.31,battery,Solar Decanter Centrifuge,532354.5,46.53,8.79
306893.19,metal,High-Shear Pelletizer Extruder,226590.86,33.1,6.31
63582.64,paper,High-Shear Pelletizer Extruder,59324.48,32.34,3.63
572488.12,textile,Automated Compactor Baler,511124.07,25.48,5.03
189740.66,plastic,AI Optical Sorter,174082.14,30.68,3.72
493456.58,textile,AI Optical Sorter,437233.33,19.4,4.69
135700.48,paper,AI Optical Sorter,124285.29,45.23,5.99
399275.09,battery,Automated Compactor Baler,371171.59,33.13,5.59
174134.99,textile,AI Optical Sorter,137670.86,32.9,3.24
524198.22,paper,Automated Compactor Baler,453895.03,18.41,3.98
797655.69,plastic,AI Optical Sorter,620164.72,26.3,6.52
370091.68,battery,Solar Decanter Centrifuge,316888.78,25.6,4.59
270533.51,battery,Automated Compactor Baler,224839.74,27.87,4.84
350572.3,battery,IoT Weighbridge Scales,261345.35,43.02,5.96
253058.5,metal,IoT Weighbridge Scales,227800.09,47.24,6.31
679841.64,textile,AI Optical Sorter,569660.15,21.14,5.53
496286.73,plastic,Solar Decanter Centrifuge,369553.05,35.5,5.18
228637.09,metal,High-Shear Pelletizer Extruder,173945.51,38.0,5.08
347887.65,textile,Solar Decanter Centrifuge,278866.07,23.66,4.26
115193.76,metal,AI Optical Sorter,86622.43,12.96,2.07
366068.41,metal,AI Optical Sorter,331057.96,24.31,3.51
244567.58,metal,High-Shear Pelletizer Extruder,207289.05,21.65,2.62
464035.39,metal,Solar Decanter Centrifuge,358985.4,46.14,7.99
622704.35,plastic,Automated Compactor Baler,523970.93,47.47,7.06
413583.78,plastic,AI Optical Sorter,345511.42,34.81,5.48
243415.76,battery,IoT Weighbridge Scales,178440.56,44.42,6.32
666937.91,textile,Automated Compactor Baler,562981.71,21.87,6.21
465633.5,plastic,Automated Compactor Baler,409781.06,15.84,3.66
249873.8,battery,Automated Compactor Baler,212425.01,35.94,4.46
181528.46,textile,AI Optical Sorter,146074.61,25.79,3.11
174712.53,battery,AI Optical Sorter,125915.26,33.71,4.26
234011.83,textile,High-Shear Pelletizer Extruder,180697.72,24.8,3.06
474803.48,metal,Solar Decanter Centrifuge,389784.57,21.72,5.18
454882.08,battery,High-Shear Pelletizer Extruder,414116.65,42.47,6.23
308287.8,plastic,AI Optical Sorter,253989.94,36.78,6.6
376120.5,battery,High-Shear Pelletizer Extruder,270596.64,12.08,2.9
655572.69,plastic,Solar Decanter Centrifuge,588378.71,36.86,6.57
440975.5,paper,High-Shear Pelletizer Extruder,389406.16,41.04,7.08
686896.74,plastic,Automated Compactor Baler,564873.82,19.96,6.07
790751.01,textile,Automated Compactor Baler,561319.9,37.4,8.18
75459.48,textile,AI Optical Sorter,56454.99,16.15,2.07
366321.99,textile,Automated Compactor Baler,324658.78,13.98,4.04
533409.99,battery,IoT Weighbridge Scales,389464.89,14.77,2.52
572216.58,metal,IoT Weighbridge Scales,482439.77,40.94,8.18
603391.83,plastic,Solar Decanter Centrifuge,515275.98,20.39,5.35
68300.59,metal,Automated Compactor Baler,48173.59,43.49,5.12
649087.43,paper,Solar Decanter Centrifuge,578854.27,26.47,5.92
409906.72,plastic,IoT Weighbridge Scales,387780.31,39.66,5.01
603186.73,plastic,High-Shear Pelletizer Extruder,492699.62,22.69,4.23
689616.37,metal,Solar Decanter Centrifuge,489988.49,12.64,4.69
338244.99,paper,IoT Weighbridge Scales,317647.19,40.73,5.9
244236.99,paper,High-Shear Pelletizer Extruder,226146.6,47.61,5.92
351185.18,textile,Solar Decanter Centrifuge,318756.96,16.33,3.42
85209.02,plastic,Automated Compactor Baler,60428.79,46.46,5.35
522333.44,plastic,AI Optical Sorter,486782.42,47.82,7.7
180421.44,metal,High-Shear Pelletizer Extruder,160495.62,37.06,4.81
218330.43,textile,AI Optical Sorter,185195.51,32.88,4.15
118615.13,plastic,High-Shear Pelletizer Extruder,91124.87,29.16,3.47
748692.12,battery,High-Shear Pelletizer Extruder,576753.28,21.1,5.74
53811.6,battery,Solar Decanter Centrifuge,38324.4,31.17,3.93
478489.21,metal,High-Shear Pelletizer Extruder,438355.07,38.42,6.26
440945.23,paper,AI Optical Sorter,326006.32,17.77,3.28
747567.76,paper,High-Shear Pelletizer Extruder,663974.11,17.71,5.06
710653.07,metal,AI Optical Sorter,502653.32,41.73,7.5
607631.19,metal,IoT Weighbridge Scales,509830.18,39.24,6.46
244016.25,metal,Solar Decanter Centrifuge,208446.42,47.32,5.14
525504.28,textile,High-Shear Pelletizer Extruder,384728.08,22.2,5.3
63820.79,plastic,Automated Compactor Baler,50129.19,34.77,3.9
100877.79,battery,AI Optical Sorter,90058.25,37.51,4.5
405180.42,metal,High-Shear Pelletizer Extruder,369971.72,47.65,6.44
535680.23,paper,Solar Decanter Centrifuge,426349.54,14.36,5.26
666134.71,battery,High-Shear Pelletizer Extruder,580085.99,28.05,5.27
172717.87,textile,Solar Decanter Centrifuge,133786.15,42.24,3.77
629617.09,paper,High-Shear Pelletizer Extruder,483744.18,46.23,7.64
757711.94,textile,High-Shear Pelletizer Extruder,713105.53,39.36,7.04
381724.07,battery,AI Optical Sorter,297815.66,38.08,5.25
701092.11,paper,Automated Compactor Baler,642263.16,29.04,6.79
776145.07,plastic,AI Optical Sorter,560990.77,17.53,6.61
63396.42,textile,IoT Weighbridge Scales,44893.0,45.15,3.34
512487.74,plastic,AI Optical Sorter,436550.69,20.91,3.76
170619.1,textile,Solar Decanter Centrifuge,144610.95,27.6,3.8
788263.56,plastic,Solar Decanter Centrifuge,566061.3,26.13,8.04
268746.93,textile,AI Optical Sorter,245911.67,40.07,5.05
79714.12,battery,AI Optical Sorter,60623.48,47.52,5.15
513616.8,paper,AI Optical Sorter,431393.0,12.35,3.11
294845.98,metal,AI Optical Sorter,212868.96,24.62,3.34
475655.64,metal,Automated Compactor Baler,430639.67,13.48,3.56
552789.09,battery,Solar Decanter Centrifuge,484585.38,13.14,5.17
703226.84,metal,IoT Weighbridge Scales,633207.97,24.22,6.15
661118.84,battery,IoT Weighbridge Scales,554183.1,33.51,6.6
80565.58,paper,Automated Compactor Baler,65230.07,38.09,5.11
494958.99,paper,Solar Decanter Centrifuge,405777.14,34.17,5.68
608209.3,textile,Solar Decanter Centrifuge,525904.56,29.94,4.82
466522.66,metal,High-Shear Pelletizer Extruder,353210.69,47.87,7.14
199656.84,battery,Solar Decanter Centrifuge,143363.51,13.1,2.38
243262.17,paper,AI Optical Sorter,223087.98,38.18,4.74
309451.24,paper,IoT Weighbridge Scales,255672.09,31.56,5.65
435496.9,plastic,IoT Weighbridge Scales,308048.13,26.24,5.71
644717.07,metal,High-Shear Pelletizer Extruder,546776.54,44.85,8.69
207996.64,textile,Automated Compactor Baler,178438.25,38.39,5.12
731774.39,metal,IoT Weighbridge Scales,580452.34,30.45,6.29
359773.38,textile,AI Optical Sorter,274078.16,43.35,6.6
319425.03,metal,AI Optical Sorter,254827.83,46.9,4.58
243600.07,textile,Solar Decanter Centrifuge,190324.13,39.85,4.27
105122.56,metal,Solar Decanter Centrifuge,82442.45,41.84,4.55
373165.64,paper,High-Shear Pelletizer Extruder,349710.63,21.09,3.2
504153.62,textile,IoT Weighbridge Scales,412729.25,42.39,5.85
654252.61,paper,IoT Weighbridge Scales,546285.53,13.23,3.85
185007.83,battery,Solar Decanter Centrifuge,134283.72,33.05,4.61
566155.9,paper,Solar Decanter Centrifuge,464233.27,36.69,6.54
240668.43,battery,Automated Compactor Baler,189084.37,31.16,4.56
144306.13,textile,IoT Weighbridge Scales,126436.73,19.27,2.81
382812.66,textile,Automated Compactor Baler,331289.18,47.23,6.25
330722.58,metal,Automated Compactor Baler,282589.81,43.28,5.71
748211.52,paper,AI Optical Sorter,636093.81,45.87,8.37
670129.16,textile,AI Optical Sorter,486948.19,35.68,6.88
703065.09,plastic,Solar Decanter Centrifuge,591807.9,38.58,7.57
708886.67,textile,IoT Weighbridge Scales,614532.68,41.08,8.09
376687.49,battery,AI Optical Sorter,275001.55,31.6,5.42
54319.0,plastic,IoT Weighbridge Scales,46304.66,32.28,4.02
497364.11,plastic,High-Shear Pelletizer Extruder,376413.81,14.64,2.66
502586.45,metal,Automated Compactor Baler,410046.97,25.67,5.12
409386.41,textile,Solar Decanter Centrifuge,321496.04,25.69,5.29
349117.09,textile,IoT Weighbridge Scales,285987.59,26.2,5.34
586618.18,battery,Solar Decanter Centrifuge,531240.46,27.51,5.88
722535.72,textile,IoT Weighbridge Scales,678218.99,35.57,6.44
409387.42,battery,Automated Compactor Baler,303594.71,34.22,5.18
442313.54,battery,Solar Decanter Centrifuge,398416.79,31.41,5.9
587113.01,plastic,Solar Decanter Centrifuge,471679.12,16.39,3.63
185862.01,paper,Automated Compactor Baler,167265.64,18.65,3.36
188921.33,paper,IoT Weighbridge Scales,155082.96,41.02,4.65
462669.91,textile,Automated Compactor Baler,336858.89,12.09,3.67
495153.93,metal,AI Optical Sorter,426650.11,18.29,5.66
320579.39,metal,AI Optical Sorter,243389.53,40.1,6.09
367803.69,metal,AI Optical Sorter,266247.14,34.46,4.95
388825.76,metal,Solar Decanter Centrifuge,288510.09,38.53,5.58
121785.92,textile,High-Shear Pelletizer Extruder,103734.02,31.68,4.05
223960.32,textile,Solar Decanter Centrifuge,160045.1,17.1,3.23
556880.93,metal,Solar Decanter Centrifuge,489720.78,36.93,5.55
793442.0,paper,High-Shear Pelletizer Extruder,675064.3,24.14,6.48
248671.59,textile,AI Optical Sorter,211106.68,26.44,4.04
325217.06,plastic,IoT Weighbridge Scales,263621.76,41.95,5.51
530126.17,metal,High-Shear Pelletizer Extruder,441722.03,23.68,5.14
299751.43,metal,IoT Weighbridge Scales,259422.82,32.08,4.55
95106.76,paper,Automated Compactor Baler,89343.89,18.31,3.34
567503.67,plastic,Automated Compactor Baler,410968.63,28.21,5.22
548683.79,paper,High-Shear Pelletizer Extruder,511260.52,20.45,5.53
349486.94,textile,IoT Weighbridge Scales,325634.54,31.44,4.94
517689.27,metal,AI Optical Sorter,441134.21,30.25,6.35
169478.02,textile,IoT Weighbridge Scales,131478.01,21.47,2.57
752718.37,plastic,AI Optical Sorter,584396.3,26.29,6.25
385401.91,paper,Automated Compactor Baler,319467.29,45.1,6.59
688568.72,metal,IoT Weighbridge Scales,642192.79,16.19,5.06
663087.28,battery,Automated Compactor Baler,608060.43,41.01,7.02
110689.46,textile,High-Shear Pelletizer Extruder,82284.46,37.02,4.85
309574.79,paper,Automated Compactor Baler,266309.56,41.61,5.69
504689.7,textile,IoT Weighbridge Scales,416692.77,26.35,5.65
159780.49,textile,Automated Compactor Baler,114569.5,12.93,2.4
374373.41,textile,IoT Weighbridge Scales,303196.76,15.8,3.48
530619.74,textile,High-Shear Pelletizer Extruder,453625.21,35.41,6.07
93622.85,battery,Automated Compactor Baler,66888.39,37.02,5.06
787759.19,battery,AI Optical Sorter,579446.0,16.37,5.21
569121.01,paper,AI Optical Sorter,470865.41,47.88,7.45
660477.7,paper,IoT Weighbridge Scales,491024.32,35.61,7.15
644070.23,textile,High-Shear Pelletizer Extruder,510064.87,26.91,6.35
670653.42,textile,Solar Decanter Centrifuge,598441.63,12.4,4.25
64394.21,textile,Automated Compactor Baler,56038.65,18.83,0.65
514211.14,textile,Solar Decanter Centrifuge,467199.82,34.65,5.96
249388.35,battery,Solar Decanter Centrifuge,227215.05,15.53,2.54
416180.85,paper,Automated Compactor Baler,325107.57,38.54,4.55
345857.21,metal,Solar Decanter Centrifuge,324779.13,16.79,3.14
126612.15,plastic,AI Optical Sorter,110410.06,27.75,3.81
78819.76,paper,Solar Decanter Centrifuge,71433.01,29.84,3.09
339761.68,plastic,AI Optical Sorter,243494.63,30.66,5.04
434166.44,textile,Solar Decanter Centrifuge,308043.46,38.86,5.65
544276.65,battery,High-Shear Pelletizer Extruder,382641.25,46.43,6.88
272401.69,battery,IoT Weighbridge Scales,243435.41,35.81,5.72
188896.68,battery,Automated Compactor Baler,136874.33,35.77,4.05
65708.72,paper,AI Optical Sorter,50849.43,39.69,4.83
518497.68,metal,Automated Compactor Baler,364300.06,21.19,4.58
769869.89,metal,Automated Compactor Baler,692635.42,22.54,6.03
784977.75,textile,Solar Decanter Centrifuge,730087.62,30.75,6.36
82801.72,plastic,Automated Compactor Baler,62610.84,25.4,3.17
374057.66,paper,Automated Compactor Baler,319159.05,45.95,6.18
198102.87,plastic,Solar Decanter Centrifuge,152831.75,41.37,4.93
696027.5,plastic,IoT Weighbridge Scales,647118.78,21.08,5.44
681498.91,paper,High-Shear Pelletizer Extruder,531579.35,39.11,8.28
251998.47,paper,Solar Decanter Centrifuge,222259.33,15.89,2.49
773847.31,battery,IoT Weighbridge Scales,683462.24,31.52,7.19
492760.77,battery,High-Shear Pelletizer Extruder,363604.4,15.38,4.6
375350.38,metal,Automated Compactor Baler,263620.93,20.88,4.09
594846.29,plastic,IoT Weighbridge Scales,431141.33,26.45,5.27
466313.71,battery,High-Shear Pelletizer Extruder,406612.05,25.51,5.24
454021.75,paper,Automated Compactor Baler,404191.81,13.27,3.13
768555.11,plastic,IoT Weighbridge Scales,600804.82,17.36,5.97
279203.16,battery,Solar Decanter Centrifuge,204147.35,25.87,4.71
212906.82,metal,Solar Decanter Centrifuge,184326.32,12.07,2.64
183779.44,metal,IoT Weighbridge Scales,136976.3,25.96,4.1
432582.28,battery,Solar Decanter Centrifuge,365530.28,32.21,5.23
470495.07,metal,Automated Compactor Baler,400173.19,12.83,4.29
161749.8,textile,IoT Weighbridge Scales,144964.09,37.48,3.7
641461.22,battery,Solar Decanter Centrifuge,472669.13,23.81,5.08
215458.96,battery,IoT Weighbridge Scales,190447.58,47.94,5.79
749835.0,textile,AI Optical Sorter,603851.13,34.9,7.03
357428.67,paper,High-Shear Pelletizer Extruder,316323.15,46.21,6.57
202202.28,paper,Solar Decanter Centrifuge,191063.29,17.95,3.24
489859.32,plastic,High-Shear Pelletizer Extruder,379484.9,45.86,8.04
244472.57,metal,High-Shear Pelletizer Extruder,194167.09,28.62,2.46
753014.97,paper,Automated Compactor Baler,542284.02,38.21,7.11
422345.86,plastic,AI Optical Sorter,296384.29,14.06,3.24
349127.02,paper,AI Optical Sorter,327883.92,14.48,2.99
92791.04,paper,High-Shear Pelletizer Extruder,71347.32,40.34,4.46
371665.16,plastic,Solar Decanter Centrifuge,285080.09,17.63,3.77
689817.22,battery,IoT Weighbridge Scales,589741.89,32.23,5.88
628893.29,metal,High-Shear Pelletizer Extruder,591693.38,32.17,5.7
752616.85,metal,Automated Compactor Baler,605629.52,21.37,6.38
198573.22,plastic,High-Shear Pelletizer Extruder,154326.08,46.09,4.85
775517.13,textile,AI Optical Sorter,547134.15,37.92,7.18
562815.58,plastic,AI Optical Sorter,531933.44,20.19,4.73
352983.41,battery,AI Optical Sorter,316952.62,31.76,4.14
685189.05,metal,Solar Decanter Centrifuge,503778.33,35.91,7.35
212067.84,metal,Automated Compactor Baler,194147.41,28.57,3.41
640227.6,paper,High-Shear Pelletizer Extruder,521663.83,13.87,5.19
639708.65,textile,IoT Weighbridge Scales,534932.01,39.3,7.34
171214.86,battery,Solar Decanter Centrifuge,139165.12,47.46,5.1
629009.36,metal,AI Optical Sorter,455112.16,24.37,5.13
648758.14,paper,AI Optical Sorter,518581.8,15.36,3.87
380804.12,battery,IoT Weighbridge Scales,316384.4,22.34,4.36
525936.81,plastic,Automated Compactor Baler,388924.33,37.05,7.16
644946.01,battery,Solar Decanter Centrifuge,597565.58,21.97,5.09
720492.28,paper,High-Shear Pelletizer Extruder,560752.3,40.75,7.37
775816.91,battery,AI Optical Sorter,698934.14,30.19,6.85
788082.74,textile,Solar Decanter Centrifuge,615297.81,47.89,9.0
784836.84,battery,High-Shear Pelletizer Extruder,684154.24,15.35,5.14
780093.04,paper,Solar Decanter Centrifuge,603887.53,45.06,7.65
133061.33,paper,IoT Weighbridge Scales,126011.26,44.45,4.31
240741.49,battery,IoT Weighbridge Scales,188693.66,18.26,3.68
584010.52,metal,AI Optical Sorter,443829.61,17.11,4.23
611619.75,plastic,AI Optical Sorter,556795.31,28.97,4.74
784328.7,battery,AI Optical Sorter,573788.36,36.34,8.27
102230.86,plastic,IoT Weighbridge Scales,77367.79,42.13,4.05
259457.07,battery,IoT Weighbridge Scales,237817.47,19.76,2.92
622366.47,textile,IoT Weighbridge Scales,581648.89,43.36,7.33
624548.58,battery,IoT Weighbridge Scales,541012.85,21.37,5.42
470330.47,battery,Automated Compactor Baler,381797.29,28.57,5.6
698422.71,battery,High-Shear Pelletizer Extruder,659450.78,15.99,4.77
604928.09,metal,AI Optical Sorter,467642.42,44.79,7.45
615471.43,plastic,IoT Weighbridge Scales,433600.63,46.66,7.18
672046.0,paper,High-Shear Pelletizer Extruder,617064.88,16.05,5.62
577764.48,textile,IoT Weighbridge Scales,418378.69,20.71,4.95
275948.95,battery,Solar Decanter Centrifuge,213669.88,22.8,3.48
607394.9,paper,High-Shear Pelletizer Extruder,562279.88,42.68,7.88
719226.87,textile,AI Optical Sorter,554755.93,27.45,7.37
250832.51,metal,Solar Decanter Centrifuge,208281.64,14.29,2.89
136199.75,textile,AI Optical Sorter,126312.56,36.09,4.99
671965.1,plastic,Solar Decanter Centrifuge,587037.19,14.96,4.81
153142.83,battery,Automated Compactor Baler,113510.41,18.14,3.11
761081.24,paper,AI Optical Sorter,666447.21,20.55,5.28
338383.5,textile,High-Shear Pelletizer Extruder,292043.93,46.22,6.33
500488.3,plastic,AI Optical Sorter,383994.51,26.65,5.23
730535.12,battery,IoT Weighbridge Scales,597147.04,28.22,6.19
404728.51,battery,High-Shear Pelletizer Extruder,328585.74,29.07,5.51
690602.0,plastic,High-Shear Pelletizer Extruder,629125.4,22.26,7.1
397138.97,textile,AI Optical Sorter,299691.97,26.28,4.27
663655.0,textile,High-Shear Pelletizer Extruder,610539.82,32.69,7.1
72251.17,battery,High-Shear Pelletizer Extruder,58714.86,45.46,4.69
597395.23,textile,Solar Decanter Centrifuge,456734.53,36.29,5.94
272545.73,metal,IoT Weighbridge Scales,246735.53,12.06,2.28
243205.42,plastic,IoT Weighbridge Scales,211989.39,16.12,2.92
337879.16,paper,Automated Compactor Baler,244310.69,33.47,5.59
353179.8,battery,AI Optical Sorter,330375.48,36.07,5.44
559002.47,metal,High-Shear Pelletizer Extruder,474266.19,12.36,4.46
509430.1,paper,High-Shear Pelletizer Extruder,448804.49,16.34,4.32
726839.98,battery,Automated Compactor Baler,510915.19,27.19,6.28
482899.92,metal,Solar Decanter Centrifuge,352879.51,32.11,4.5
307375.51,plastic,IoT Weighbridge Scales,244931.61,42.67,5.36
456900.78,metal,IoT Weighbridge Scales,345677.32,25.83,4.77
