investment,equipment_cost,recycling_volume_kg,energy_savings_kwh,roi,npv,irr
163872.1,182055.28,47202.58,3367.39,150.0,1336705.33,24.37
542851.09,357449.1,18817.85,9723.46,21.23,-28721.47,4.85
964324.93,140855.5,25365.18,3148.61,6.09,-168907.31,4.24
320598.47,37705.73,30868.65,5126.25,150.0,812123.09,16.36
98904.81,153750.3,45505.03,2547.71,150.0,1352729.67,31.83
187650.13,254937.32,49296.87,2572.14,150.0,1292070.43,19.63
688528.77,385577.42,12644.24,7336.52,-20.0,-469229.95,2.82
399393.98,323506.8,32042.96,5450.59,111.0,495149.99,8.44
135775.28,420945.2,16718.22,2027.88,38.55,59243.62,5.54
88736.38,303628.61,34200.65,362.56,150.0,777023.6,14.93
536488.41,128717.97,32613.47,1908.79,116.98,487358.1,8.68
706390.85,205632.97,46899.77,1547.71,123.64,716739.44,8.95
374013.03,74467.29,46309.99,8797.93,150.0,1333955.06,19.91
295044.55,336792.34,41043.89,5640.97,150.0,896248.52,12.11
553168.05,136089.1,5562.04,8992.71,-20.0,-285060.78,2.94
905397.15,323888.7,17612.46,3622.25,-20.0,-544777.92,2.79
739657.89,450612.92,44467.23,7842.78,78.54,506743.45,7.14
659930.06,60387.18,8919.81,9005.83,-9.86,-201850.49,3.61
626107.61,24414.58,5972.11,6702.32,-20.0,-287278.2,2.8
54808.5,97187.86,27887.96,6980.57,150.0,961694.48,36.7
669363.2,127649.27,35896.78,2525.04,100.92,481744.33,8.04
359129.71,378315.87,32832.01,8522.39,123.89,580972.98,8.96
674732.25,292788.13,5590.06,3803.61,-20.0,-686684.21,1.45
301942.25,137115.03,48677.52,4052.36,150.0,1310041.35,19.96
897444.23,322946.54,39945.75,5125.84,51.71,258085.68,6.07
598058.69,256408.49,10566.91,7280.03,-20.0,-321444.83,3.12
316733.74,31671.66,32628.14,1935.68,150.0,805301.41,16.59
943435.66,477885.72,45828.36,3827.56,45.11,225696.87,5.8
64683.79,465592.91,21981.02,9673.22,130.9,447450.16,9.24
965438.98,429444.54,15428.0,3973.96,-20.0,-776086.49,2.22
858579.84,172122.56,9305.14,5656.65,-20.0,-579391.84,2.19
939347.04,354094.3,28933.0,1152.33,-2.26,-283906.74,3.91
634256.87,495225.85,7864.12,5279.63,-20.0,-736109.84,1.74
883504.42,375568.94,35153.77,7084.34,35.54,103690.97,5.42
391516.59,160924.09,40658.7,8139.11,150.0,1022418.27,14.28
873718.7,458355.47,26055.78,5114.86,-5.35,-325259.36,3.79
808380.42,331982.69,35396.38,7998.77,52.96,252540.96,6.12
895505.07,182237.68,19403.56,1121.02,-20.0,-392368.37,3.19
599366.13,37252.29,23814.3,5517.92,84.98,303780.89,7.4
322214.19,303599.97,2494.51,566.01,-20.0,-527595.77,0.79
831470.53,192891.51,7225.97,5317.98,-20.0,-651727.97,1.82
781493.88,123594.09,31521.63,1036.41,51.45,189522.73,6.06
99097.64,275050.22,27491.12,6446.81,150.0,713288.31,14.56
739786.77,488409.0,26298.72,3364.97,-0.78,-255056.8,3.97
805426.89,149999.48,22509.6,968.87,3.17,-168284.22,4.13
74083.21,482071.24,41963.03,7020.55,150.0,1036174.27,14.34
438505.3,103181.27,8665.42,2652.38,-17.32,-184058.29,3.31
571765.33,363006.04,33349.67,2943.35,61.07,267562.66,6.44
957122.02,374190.52,28163.35,6194.86,3.87,-227098.06,4.15
448620.06,138910.87,18442.66,7626.89,72.35,221088.56,6.89
63673.81,75714.87,3254.13,599.14,12.11,-14596.71,4.48
862687.55,357755.77,24234.52,1158.77,-12.76,-370211.5,3.49
517035.08,247266.45,9486.89,4451.75,-20.0,-335687.88,2.81
428579.5,315608.05,32119.59,643.98,86.03,361315.53,7.44
405881.98,320412.76,25653.68,8593.6,85.61,350211.17,7.42
675758.95,98208.52,4457.87,6495.71,-20.0,-467063.28,1.99
75185.75,301172.28,47071.28,5839.65,150.0,1361044.9,23.12
418761.43,328778.34,23454.39,5547.04,55.61,181342.64,6.22
944391.57,205329.27,48098.34,9072.44,101.47,699983.89,8.06
236001.58,53293.42,5938.12,378.57,-8.84,-78697.59,3.65
139720.81,347843.25,4488.24,3325.96,-20.0,-255564.3,2.38
852631.55,31170.53,40908.96,2962.18,106.78,575530.18,8.27
162256.59,354433.84,31818.2,8799.23,150.0,773953.29,12.51
748317.49,405670.85,14819.69,1938.91,-20.0,-604588.06,2.38
763084.01,407280.67,49534.75,4243.65,90.76,612409.53,7.63
403417.18,392678.22,17699.37,9321.42,29.62,27892.97,5.18
865492.11,225917.13,37792.68,7594.52,68.04,373136.44,6.72
147967.68,453225.4,25757.37,8299.28,123.5,471781.12,8.94
354047.12,449851.15,20070.88,306.21,7.25,-115396.34,4.29
910112.88,63817.6,16646.37,9510.61,1.94,-181146.87,4.08
953076.79,295250.19,31960.02,4594.77,19.85,-53593.16,4.79
328550.23,177758.98,33953.4,7573.27,150.0,827429.86,13.2
802000.09,399016.71,5469.1,5045.32,-20.0,-894539.35,1.28
104680.82,283773.86,22634.99,8899.5,150.0,592931.32,12.65
383369.26,76192.17,8006.59,7662.8,24.07,-4261.28,4.96
637307.16,68538.88,5121.23,7069.5,-20.0,-362682.72,2.44
119124.86,414492.83,35605.87,997.22,150.0,698665.17,11.57
130595.83,493587.0,19339.27,3832.29,50.1,123961.38,6.0
822159.59,474679.32,49314.05,7583.11,79.15,558446.0,7.17
407446.61,60080.34,39080.2,5672.36,150.0,994666.79,15.67
453010.91,455050.1,6448.68,5027.73,-20.0,-568760.09,1.87
60785.96,244957.11,3758.86,1364.42,-20.0,-145488.44,2.63
161649.93,331620.95,37556.2,5917.01,150.0,923062.26,14.38
964063.92,199937.88,14999.89,8712.27,-20.0,-446221.48,3.09
262416.05,482346.82,1595.57,9704.81,-20.0,-458121.37,1.93
91001.92,447748.69,26857.35,9931.06,150.0,610646.17,10.69
120106.74,285850.06,48495.82,5326.36,150.0,1367495.84,21.88
647928.71,353959.37,23272.51,6350.07,17.74,-59940.83,4.71
605098.6,452555.85,3226.87,2953.44,-20.0,-877387.36,0.85
952890.91,447326.62,23327.18,6277.3,-15.75,-458158.22,3.37
313512.12,110298.16,23721.22,3662.85,150.0,468989.62,10.55
604473.31,57312.63,48745.35,9864.87,150.0,1228860.61,14.31
713253.63,277326.26,16166.85,8175.19,-5.88,-246061.64,3.76
700494.61,98056.13,45635.43,8260.86,150.0,948125.59,10.96
952309.92,368345.36,31057.34,4298.78,9.71,-163647.29,4.39
936092.06,435710.67,3215.71,458.4,-20.0,-1251686.22,0.44
407640.2,409065.6,49376.53,1674.09,150.0,899141.46,10.52
614424.18,202827.61,48525.81,8452.77,150.0,1032115.36,11.34
846412.27,244972.72,21326.16,2879.39,-9.04,-298637.76,3.64
103556.72,435066.74,40832.15,9997.23,150.0,1086635.79,15.11
996805.0,286607.22,38680.38,9458.7,50.2,255919.18,6.01
857165.02,138727.09,23076.66,1465.76,2.9,-177601.34,4.12
956348.48,310963.82,12203.5,6782.67,-20.0,-690662.24,2.28
637221.83,191918.1,6564.32,6781.42,-20.0,-443902.34,2.33
544292.32,390712.83,26488.01,8551.38,47.84,168804.98,5.91
574311.5,289250.23,43956.03,4154.13,130.76,727736.93,9.23
177314.47,33815.68,38001.73,6279.03,150.0,1228995.91,34.17
718875.78,122222.8,7682.2,342.54,-20.0,-572173.8,1.6
383058.18,303160.49,20219.96,4487.25,44.85,107504.82,5.79
908950.76,187162.62,26185.48,7879.8,23.1,-18658.94,4.92
426715.64,318601.62,43255.82,9505.3,150.0,950411.84,11.4
189719.81,464762.06,25113.7,2730.8,75.6,263247.35,7.02
486178.97,490415.64,25138.29,3421.77,19.91,-41477.83,4.8
651730.81,135269.9,4717.3,1463.02,-20.0,-591856.19,1.24
171643.55,92913.29,7802.53,6480.57,98.83,155496.03,7.95
222786.08,185920.3,44942.63,4844.82,150.0,1232622.12,20.12
684179.85,102713.54,10422.16,600.51,-20.0,-418799.66,2.34
210488.31,153723.36,9673.51,1069.28,21.69,-10295.56,4.87
164604.08,241173.81,11110.35,3769.84,44.24,61597.02,5.77
528246.41,351389.52,2926.29,8034.22,-20.0,-587853.32,1.66
646505.37,59244.34,43805.35,9224.55,150.0,1001903.61,12.12
108024.06,152901.27,40503.86,7532.94,150.0,1294157.38,29.85
225294.97,120487.68,19153.13,4948.33,150.0,422780.43,11.13
637342.03,197078.55,23664.2,7525.22,47.59,148971.93,5.9
84849.04,141169.73,35954.13,8973.03,150.0,1209153.92,31.81
536093.57,275414.47,6251.43,4584.64,-20.0,-489515.98,1.99
555986.4,136385.84,14192.92,3897.38,4.01,-117325.72,4.16
69067.64,174598.0,11360.95,3409.47,140.13,223581.01,9.61
163774.03,447453.09,30086.03,6855.2,142.84,574058.66,9.71
799712.68,259252.26,5259.09,5463.64,-20.0,-749593.13,1.46
607499.06,377810.95,22151.32,1450.29,-0.04,-198794.35,4.0
319587.11,194279.5,32649.94,5793.63,150.0,733002.01,12.15
388291.89,493527.32,30682.97,2524.82,56.47,219985.69,6.26
146693.35,93372.39,13051.93,1774.68,150.0,245405.72,10.13
227238.67,156845.68,9495.31,8988.3,75.27,153493.76,7.01
126222.06,271765.47,21109.44,9827.31,150.0,553851.15,11.98
156436.96,210970.69,48504.05,8681.97,150.0,1486712.09,25.28
826218.47,143793.36,9373.49,6752.7,-20.0,-490124.41,2.48
932907.19,287246.19,29009.02,2943.8,8.28,-165121.85,4.33
781018.29,109781.0,16860.28,4369.28,-4.84,-213922.88,3.81
532229.86,136356.67,6627.0,6184.08,-20.0,-295531.68,2.79
324199.03,298994.35,8563.77,4915.17,-17.94,-214806.58,3.28
555959.96,44875.3,17493.61,1517.26,31.32,29211.45,5.25
110206.22,495180.91,16795.34,8136.77,58.23,159540.22,6.33
291908.62,347121.31,38251.17,6037.26,150.0,803769.63,11.31
497997.38,217683.64,18094.55,9309.39,46.48,121430.36,5.86
839088.44,483212.92,7090.56,7362.5,-20.0,-905283.55,1.58
941423.43,106991.87,4258.32,7462.98,-20.0,-725111.24,1.54
595749.46,424077.81,7848.85,7993.62,-20.0,-561955.61,2.25
241545.95,98554.85,9049.02,8182.83,85.26,163035.35,7.41
681937.36,271071.4,18582.69,8796.57,10.56,-111615.84,4.42
422822.85,411967.73,22517.61,3894.06,28.63,22699.88,5.15
489545.8,164661.38,37632.86,5126.66,150.0,745793.74,10.72
270602.06,451795.8,19810.67,5526.82,39.5,82339.25,5.58
911148.51,319634.24,6728.0,9410.35,-20.0,-777010.6,1.85
646322.65,180754.7,7824.33,7981.45,-20.0,-370329.29,2.77
639069.12,276061.32,44800.74,7928.25,134.05,795249.82,9.36
194091.14,169626.59,13175.97,7490.67,115.74,262897.26,8.63
81855.81,293547.05,38360.48,8792.3,150.0,1137107.02,20.18
374977.66,414203.51,6420.96,8495.23,-20.0,-367752.57,2.67
171114.23,210697.9,40067.47,1669.19,150.0,1017986.75,18.36
267788.83,366681.23,36281.79,6483.25,150.0,752176.97,10.95
709251.02,280507.73,13338.15,3587.82,-20.0,-451137.25,2.73
222517.83,456056.27,29586.2,4128.34,103.55,424423.01,8.14
488905.51,474696.0,8514.22,5945.05,-20.0,-532224.44,2.24
530594.24,313498.03,1887.4,8746.81,-20.0,-570496.7,1.62
935512.37,291263.93,35135.89,9240.49,44.32,187034.47,5.77
721876.7,93218.74,29238.13,6145.81,75.07,324419.8,7.0
452924.14,373493.23,46783.98,9270.57,150.0,983427.34,10.97
478297.4,74354.26,49257.22,8421.2,150.0,1320782.05,16.98
168429.55,462004.1,43624.92,5284.61,150.0,976710.05,12.77
611711.66,211521.3,3683.32,3484.93,-20.0,-614742.35,1.27
812710.78,22223.37,17341.46,4102.05,3.01,-148129.23,4.12
560525.82,461530.7,17970.95,3600.14,-14.7,-325911.73,3.41
750626.19,237064.61,12005.64,4633.91,-20.0,-469232.0,2.63
183814.17,104665.75,25420.02,4305.47,150.0,677368.59,16.77
919103.61,193949.07,29448.83,6396.19,29.68,39611.52,5.19
62439.73,338497.94,9723.76,9618.49,75.04,159490.75,7.0
191229.59,219019.58,5182.13,9969.37,26.59,4451.03,5.06
527085.26,305784.81,4286.75,7549.61,-20.0,-506525.8,1.96
249410.31,451066.06,11051.84,2068.74,-20.0,-275839.29,3.04
84722.18,246592.13,28677.22,843.94,150.0,662151.79,15.02
786751.24,237578.64,26695.12,4519.47,24.0,-10080.13,4.96
430724.91,288627.36,8606.77,1982.9,-20.0,-379752.57,2.36
868696.34,474135.42,19292.16,2853.3,-20.0,-619739.53,2.7
661799.57,216192.4,2243.93,1730.3,-20.0,-760385.94,0.67
730173.62,336283.49,2327.7,2375.33,-20.0,-930555.47,0.64
269521.06,342508.52,1965.82,1220.26,-20.0,-516080.66,0.79
809920.28,105701.44,32984.56,2534.19,61.41,264519.16,6.46
144469.32,136722.65,36391.08,8585.83,150.0,1159534.04,25.66
838708.87,210648.09,33736.17,2208.85,42.95,148498.11,5.72
328490.34,450241.19,1637.09,1037.98,-20.0,-698305.57,0.52
247491.94,32735.46,9890.34,5913.81,113.31,197103.89,8.53
450353.32,448482.42,41054.73,3549.81,105.97,579521.46,8.24
296452.26,202252.36,29924.45,2827.02,150.0,584597.41,10.88
642941.46,216517.59,28050.31,4474.04,54.32,199694.69,6.17
329742.47,475257.59,38416.68,1573.11,108.68,536472.53,8.35
875044.58,253966.98,44833.06,8038.58,90.13,585108.74,7.61
453952.83,30785.27,14165.19,5508.02,58.28,127952.09,6.33
651804.31,143786.09,7828.45,8382.32,-20.0,-329099.31,2.94
985182.07,272331.29,9412.29,2868.61,-20.0,-869357.69,1.55
67471.14,458863.43,6769.8,5849.86,-11.99,-156439.95,3.52
310352.46,286005.44,32919.6,8331.47,150.0,720459.47,11.06
246100.21,25278.0,7707.4,9020.18,120.42,206285.51,8.82
880195.57,306758.29,30425.33,6717.36,25.92,6544.74,5.04
216602.71,458917.73,21519.76,3954.76,52.95,149558.98,6.12
542971.82,42543.66,9147.89,7432.73,4.48,-96993.84,4.18
128658.73,309513.01,13022.11,4015.1,53.8,99959.67,6.15
324259.05,190722.9,36233.25,3111.79,150.0,789250.26,12.69
588084.41,248504.19,33519.89,9380.93,103.93,525742.55,8.16
745943.49,123171.38,2527.97,2770.19,-20.0,-716957.08,0.88
615324.03,44684.39,25321.95,6049.06,90.55,344281.53,7.62
367531.7,390037.86,6223.31,936.35,-20.0,-523931.04,1.54
741779.32,257835.83,34731.72,4461.31,61.06,285987.36,6.44
284081.93,413169.11,40171.38,7008.03,150.0,833972.68,11.0
308537.88,303310.72,18687.72,1097.5,35.19,48668.03,5.41
921447.9,85672.94,47561.63,4570.86,114.32,716528.08,8.57
225876.28,280112.45,43774.35,7375.8,150.0,1156323.24,16.46
816233.09,336216.02,34921.55,8522.12,50.97,236877.81,6.04
287184.61,254923.98,11839.26,9879.15,47.49,96360.13,5.9
946856.37,38924.87,35573.18,9267.43,81.57,443515.76,7.26
221546.58,292613.71,45858.93,532.67,150.0,1054962.38,15.29
712549.25,162727.52,46295.41,9716.37,150.0,928666.51,10.32
947053.16,247622.82,43240.09,8476.58,75.11,475874.96,7.0
353145.45,417879.43,2813.37,6043.44,-20.0,-530766.15,1.56
268508.4,77872.11,4770.71,7023.63,19.37,-16212.17,4.77
372881.22,367888.05,4202.46,3289.85,-20.0,-519333.62,1.5
562516.73,399547.12,16618.87,6333.74,-6.83,-246319.34,3.73
891678.86,315614.33,12415.01,439.13,-20.0,-775432.14,1.79
876593.93,30209.32,43860.38,5383.58,123.38,710702.48,8.94
942114.31,403415.95,49898.77,3636.98,65.72,435064.34,6.63
778828.87,212926.84,24513.91,6349.55,24.26,-7690.37,4.97
879993.26,492360.07,38645.4,4294.11,29.07,42066.46,5.16
450289.15,374039.5,12700.08,1282.65,-20.0,-362585.48,2.81
386891.05,157874.72,15519.1,2489.36,34.78,41557.59,5.39
89988.53,28579.49,49398.4,4392.18,150.0,1663136.65,45.0
415110.31,346230.7,11694.44,9509.62,2.75,-136639.75,4.11
797027.76,62917.28,21461.46,8815.36,36.82,79597.72,5.47
947495.42,244352.73,31057.16,1836.93,15.37,-93823.18,4.61
991610.19,131202.42,47193.86,6566.54,96.18,636163.84,7.85
627349.96,266090.49,12302.82,1929.97,-20.0,-429671.9,2.6
259461.9,109490.37,39199.64,3631.23,150.0,1048397.11,19.24
104950.54,485169.26,44305.51,9291.97,150.0,1136123.01,14.65
995162.43,103469.72,20415.86,7630.74,-0.19,-222954.09,3.99
711219.59,93870.04,40975.82,2399.52,125.25,643032.78,9.01
262626.73,277747.72,30054.06,5884.84,150.0,620580.06,10.76
136912.5,441181.21,14014.4,1469.25,10.65,-67274.79,4.43
894310.68,478712.72,43244.25,8133.26,51.63,289444.03,6.07
672479.88,284411.54,5262.35,4202.84,-20.0,-677613.19,1.46
404054.09,144681.82,36447.59,5059.58,150.0,809432.21,12.4
126993.91,125687.94,34479.68,946.08,150.0,940155.33,23.65
858646.57,257670.33,24548.74,6005.6,9.6,-139309.19,4.38
833446.92,186948.42,34222.79,5744.17,59.43,278667.88,6.38
303676.86,441742.39,40073.88,6652.83,150.0,773986.22,10.21
858052.64,436301.22,35709.79,8402.73,36.73,118864.12,5.47
712597.89,346467.57,31311.96,7576.62,47.12,185108.42,5.88
200674.85,442817.96,43720.33,486.62,150.0,851947.06,11.64
834525.91,81857.54,17420.82,7486.38,5.3,-145809.22,4.21
202721.9,412624.17,41774.57,5173.18,150.0,926331.06,12.55
56066.58,157778.3,31229.42,9815.62,150.0,1081165.9,30.33
650222.85,144705.72,32066.28,5491.86,92.16,424902.3,7.69
790853.13,71350.71,38290.37,5504.41,107.89,569161.14,8.32
964842.4,184098.64,31998.47,9333.88,42.74,160629.0,5.71
147384.24,469869.67,34706.4,864.8,143.17,581330.58,9.73
335915.39,359922.6,4300.18,5905.27,-20.0,-408430.15,2.07
378588.9,318039.45,3241.36,8741.06,-20.0,-377219.85,2.3
974814.52,485061.37,37732.94,1474.85,12.88,-143962.28,4.52
770350.04,31801.72,2084.05,3371.38,-20.0,-650657.4,0.95
514211.03,389795.56,34481.47,4569.85,77.27,375703.3,7.09
309945.33,498619.76,21882.88,4623.59,32.18,44860.98,5.29
205442.63,401508.58,34990.43,2363.54,150.0,637176.84,10.27
128261.99,346639.66,33071.05,2877.94,150.0,716409.55,12.57
953320.38,92507.79,22184.41,9447.44,17.25,-66607.81,4.69
448740.95,326492.45,20482.13,2887.31,23.46,-10941.18,4.94
984778.77,216480.32,44810.86,2453.56,64.67,378311.5,6.59
252449.47,34944.36,32931.67,3811.56,150.0,921553.18,21.07
871140.34,247140.76,48441.48,2018.15,89.51,574074.83,7.58
875192.01,392766.49,38775.17,8478.88,50.03,251116.75,6.0
772972.79,320585.75,7431.0,518.76,-20.0,-828937.57,1.21
924805.46,315992.15,40030.33,4918.92,49.01,235591.96,5.96
161442.78,80089.18,34592.7,4417.0,150.0,1038291.03,26.54
240498.49,255965.38,4146.24,5903.32,-20.0,-214327.24,2.85
305543.73,402828.37,16207.74,4661.16,16.98,-46649.49,4.68
61039.51,54774.51,20232.18,4903.4,150.0,688293.71,34.78
620019.52,159998.04,35054.11,8629.2,124.18,616373.5,8.97
790858.44,39017.04,24544.84,1228.32,30.14,32554.04,5.21
279942.77,493598.04,7982.28,5089.1,-20.0,-380721.96,2.54
637247.95,357183.19,28422.79,295.75,22.37,-22732.47,4.89
360138.24,268501.59,5305.46,3636.14,-20.0,-361474.59,2.13
81542.95,57717.68,20449.24,1500.61,150.0,590695.52,26.26
589163.81,350943.19,40228.75,2161.47,88.76,476958.48,7.55
209108.45,70192.56,32185.08,7123.46,150.0,983648.95,22.65
80006.84,469381.88,3546.59,5504.7,-20.0,-297152.2,2.3
723607.49,438065.18,35990.26,8056.94,52.48,252780.07,6.1
372477.68,411116.05,4925.63,8969.2,-20.0,-401559.05,2.44
570212.76,412302.93,23163.6,6507.06,20.07,-40503.89,4.8
550082.53,371162.97,4999.87,791.45,-20.0,-732599.57,1.03
284748.07,96581.45,43717.39,2348.3,150.0,1158609.38,20.23
977071.99,181709.98,9923.78,7939.05,-20.0,-631798.61,2.28
675772.39,259133.94,28212.81,7248.18,51.51,196220.37,6.06
267032.0,498240.28,48764.86,6573.19,150.0,1047180.52,11.86
239565.33,346509.56,4537.72,500.39,-20.0,-420085.93,1.42
294798.74,242059.02,43545.35,7326.26,150.0,1116495.67,15.43
755571.2,224236.8,17950.81,3836.18,-10.39,-278692.09,3.58
988267.09,39252.41,43484.54,5871.02,97.0,588908.13,7.88
466684.65,368123.68,24846.78,8759.55,57.97,218288.51,6.32
905666.77,222426.04,14564.56,6005.03,-20.0,-489942.06,2.83
916745.18,121117.85,31525.36,6389.29,47.56,185109.34,5.9
746457.37,83152.49,36075.42,9108.52,117.75,612925.17,8.71
220698.95,134020.8,48598.36,1973.57,150.0,1341892.55,23.96
861665.84,256293.37,13114.32,8733.35,-20.0,-463666.48,2.93
473039.99,267112.33,18602.44,6010.92,31.18,35176.9,5.25
205347.68,207719.14,48501.2,2729.71,150.0,1298362.34,20.75
673899.83,176091.23,38900.18,1482.56,99.74,505721.37,7.99
971329.99,237818.98,12566.47,920.27,-20.0,-760621.4,1.86
211270.01,269491.5,17513.16,8323.06,106.76,312989.91,8.27
459343.15,139382.85,31240.1,7126.42,150.0,632224.06,10.3
208689.81,100457.22,2796.9,7416.74,10.42,-36548.4,4.42
680614.3,247822.82,42364.35,8095.57,120.09,703265.27,8.8
606086.65,436770.21,11086.22,1296.81,-20.0,-635545.59,1.96
306262.13,47401.69,27027.31,9378.74,150.0,788269.31,16.17
87376.36,78612.76,23157.75,9351.98,150.0,843977.85,30.48
350348.3,263472.71,3037.07,1653.76,-20.0,-471130.83,1.16
987298.62,483256.97,1242.06,9527.76,-20.0,-1200153.16,0.92
657163.94,436600.78,23282.25,5252.84,4.87,-177772.37,4.19
514404.25,340094.84,7842.91,493.74,-20.0,-576497.9,1.63
342533.44,358246.77,10890.82,6799.64,-4.84,-168273.31,3.81
971416.44,65072.34,33957.5,4548.75,52.4,224933.27,6.1
874735.14,105031.9,34938.67,8413.53,77.32,407539.54,7.09
947383.51,347959.05,25361.56,6254.9,-2.3,-284776.84,3.91
875459.74,293892.68,2488.97,9323.3,-20.0,-861530.47,1.32
705050.41,344726.43,11568.08,6657.08,-20.0,-497700.16,2.63
424171.19,332591.83,6223.06,6646.88,-20.0,-386330.15,2.45
999443.04,43141.78,48881.54,4187.7,111.31,716680.03,8.45
877215.78,395545.03,28783.8,7436.8,13.64,-117737.33,4.55
884589.78,213987.35,17024.62,6742.42,-15.73,-359271.76,3.37
817453.64,385896.86,40092.87,4468.72,52.74,264376.42,6.11
826942.51,77700.35,27679.97,256.43,30.89,40904.03,5.24
358356.54,195901.54,20412.46,7015.58,94.49,306567.8,7.78
419130.2,235372.94,12639.66,3857.87,-0.24,-133117.75,3.99
265906.15,55134.04,30568.98,6748.49,150.0,878079.44,18.71
638515.83,242477.14,19609.5,8660.67,24.09,-8007.7,4.96
543127.7,250007.3,2256.46,3544.23,-20.0,-631648.67,1.02
411185.84,211434.93,29428.45,5429.3,127.04,506188.71,9.08
627509.84,387143.97,40836.3,7237.61,92.45,544636.0,7.7
957747.51,28751.64,10593.12,274.12,-20.0,-620422.63,1.86
665100.98,451054.66,12930.63,9284.94,-20.0,-454882.97,2.97
107254.02,468529.29,18229.51,1193.92,40.78,71492.45,5.63
511578.17,143252.75,14958.77,3211.44,11.8,-70225.45,4.47
812874.6,278797.41,16254.08,6181.27,-19.73,-391960.43,3.21
730343.14,150859.52,21263.91,1394.48,7.3,-126140.85,4.29
222091.88,346936.57,9890.48,5346.6,2.06,-105280.46,4.08
723593.95,71300.92,28798.3,2714.32,64.22,247487.65,6.57
964780.53,252101.91,40493.63,5592.22,55.21,291360.65,6.21
91241.91,323912.66,47618.76,6095.8,150.0,1346965.19,21.26
828229.42,444419.1,12175.91,2278.04,-20.0,-804848.79,1.84
630431.94,217293.67,42153.2,9020.23,143.25,798962.21,9.73
385750.31,133697.87,39245.75,2893.1,150.0,881783.32,13.51
831483.6,223394.36,33709.95,1136.25,39.05,116391.55,5.56
642666.36,236848.49,29743.81,1846.54,50.03,174167.96,6.0
750030.06,434142.6,11620.25,1138.0,-20.0,-762541.91,1.78
72456.66,328146.32,30747.61,5557.63,150.0,776050.56,14.71
270349.74,207634.88,30129.34,5068.32,150.0,665963.88,11.99
988396.24,85491.08,35062.08,4162.32,50.39,215764.61,6.02
456789.63,364446.93,34929.37,9914.31,116.98,601707.44,8.68
171974.57,69972.63,36492.6,5868.19,150.0,1137119.94,28.55
310452.63,58121.3,5197.25,8963.07,32.88,22532.32,5.32
232273.96,175218.35,12106.16,3678.96,53.35,91501.32,6.13
115952.65,269148.7,4313.02,8043.49,10.26,-46034.04,4.41
272026.48,279205.72,44123.88,6578.6,150.0,1103844.05,15.04
556309.9,175680.2,17317.09,6760.97,28.25,17685.65,5.13
994432.39,337682.81,28331.39,7360.38,6.96,-194276.52,4.28
491945.33,48868.32,28552.54,9584.73,150.0,657817.82,11.1
216537.8,351202.35,10845.75,5451.11,9.99,-69068.43,4.4
141842.63,236178.05,38052.0,3606.2,150.0,999780.64,18.26
681666.14,401815.98,46431.71,2499.49,89.05,552197.49,7.56
429350.12,93159.69,49631.69,9284.61,150.0,1384316.82,18.28
562959.27,424175.98,26526.94,6311.14,33.39,64328.31,5.34
134668.21,382529.8,7257.96,8295.46,7.76,-72148.82,4.31
