material,month_idx,supply_volume_kg,scarcity_index,disruption_risk
plastic,32,4257.72,2.13,1.59
battery,19,2148.63,6.33,4.17
battery,18,2878.35,6.95,4.81
metal,2,5190.95,1.85,2.02
paper,1,4018.3,2.32,1.65
battery,32,2878.01,5.81,4.92
paper,32,4890.06,1.12,1.35
plastic,3,3190.48,4.2,2.94
plastic,28,3727.19,3.34,2.41
battery,16,2419.42,6.51,4.62
metal,7,4619.9,2.25,2.0
textile,19,4330.64,2.73,2.14
battery,2,2278.87,7.49,5.58
paper,5,3543.18,3.59,3.07
battery,22,2378.04,7.19,5.49
battery,23,2843.69,7.31,6.35
plastic,22,3142.2,4.2,3.19
textile,11,4847.96,1.56,1.17
metal,17,4243.82,2.1,0.54
paper,23,3840.52,2.53,1.54
textile,7,4255.0,3.15,2.46
textile,28,4777.79,1.88,1.56
plastic,26,3977.4,3.63,2.67
battery,35,3187.99,5.65,3.54
paper,19,4131.45,1.99,1.54
battery,34,3828.79,5.32,3.48
plastic,25,4102.44,3.22,3.06
plastic,35,4296.42,2.47,1.41
metal,12,4184.08,1.71,1.18
battery,17,3126.6,5.88,4.48
battery,8,3184.0,6.29,4.99
textile,16,4853.95,0.96,0.11
metal,26,4315.04,2.66,2.05
textile,7,3904.78,2.95,2.66
battery,18,3494.19,6.18,4.77
battery,34,3345.28,5.6,3.37
plastic,4,3639.37,3.33,2.91
metal,33,4870.15,1.13,0.88
battery,29,2467.19,6.79,5.66
textile,16,5098.64,0.96,1.35
plastic,3,3188.58,3.58,2.57
metal,4,4327.25,3.31,2.66
plastic,15,4794.48,1.92,1.04
paper,6,3898.51,3.33,2.43
textile,10,4443.63,1.48,0.91
plastic,3,3725.94,4.08,2.56
plastic,35,4313.52,2.5,2.86
battery,35,3174.38,6.11,4.72
textile,25,4519.6,2.7,2.74
metal,11,4714.03,1.32,1.21
textile,11,4232.73,2.04,1.21
battery,5,2179.33,7.52,6.0
battery,34,3380.06,5.57,4.23
plastic,6,3458.04,4.46,3.09
plastic,13,4508.86,1.83,1.72
metal,27,4413.54,2.09,1.42
metal,2,4238.07,2.2,2.16
metal,32,4496.22,0.93,0.3
metal,24,3860.34,3.07,2.38
battery,30,2824.56,5.93,4.31
textile,29,4023.38,2.31,1.93
paper,4,3463.98,3.51,2.68
plastic,22,3624.86,3.52,2.69
metal,14,4860.61,0.72,1.17
metal,23,3457.33,2.95,2.05
textile,4,3553.58,2.25,1.86
textile,11,4899.86,1.25,1.46
battery,3,2286.95,7.67,6.49
battery,5,2550.2,6.96,5.32
paper,15,4964.23,0.65,0.65
metal,15,5269.56,1.39,0.38
paper,25,4066.5,3.06,2.52
paper,7,3685.26,2.95,2.34
textile,24,4132.03,3.09,2.28
plastic,20,3159.55,4.09,2.94
plastic,22,4094.28,3.07,2.05
textile,17,4192.42,1.92,0.47
battery,25,2492.99,7.57,5.67
plastic,17,4301.12,2.14,1.24
paper,20,3763.74,2.97,2.63
plastic,13,4205.42,2.12,1.29
metal,26,4073.3,3.18,2.19
plastic,11,4713.83,2.28,2.26
plastic,12,4350.49,2.44,1.6
battery,7,2476.77,7.77,6.62
metal,22,3426.45,3.91,3.62
battery,18,2478.69,6.32,4.53
textile,32,4083.37,2.54,1.53
plastic,3,3470.97,4.22,2.86
textile,29,4508.11,1.09,0.68
textile,31,4853.83,1.39,0.93
textile,4,4037.35,3.41,3.8
battery,32,2872.61,5.73,4.33
metal,2,3984.9,3.28,2.1
battery,18,3474.37,5.54,4.47
battery,26,2476.1,7.43,5.36
metal,5,4036.94,2.66,1.7
paper,14,5070.56,0.0,0.0
battery,25,1970.18,7.55,6.12
paper,23,4146.69,2.2,0.82
plastic,1,4447.93,3.45,2.09
paper,1,3923.94,1.96,2.03
textile,12,5210.2,0.44,0.29
paper,28,4564.44,2.18,1.43
metal,9,4461.15,2.16,1.64
textile,1,3897.91,2.26,1.62
plastic,14,3956.83,2.23,2.32
metal,24,4375.03,2.22,0.81
paper,23,3623.31,3.13,2.6
metal,21,3826.44,2.8,2.53
metal,1,4204.91,2.25,2.49
plastic,26,3989.36,3.79,3.28
battery,31,2466.41,6.3,5.38
textile,26,4100.61,2.19,1.0
plastic,25,3572.93,4.35,3.43
textile,31,4583.91,1.49,0.45
battery,6,2807.12,6.94,5.05
plastic,24,3031.85,4.48,3.8
metal,7,3696.91,1.99,1.92
textile,25,4477.16,3.42,2.44
battery,35,3140.5,5.7,3.86
metal,9,3981.35,2.63,0.97
textile,29,3635.9,2.91,1.57
metal,15,4445.66,2.21,1.93
metal,21,4197.03,2.94,2.32
plastic,11,4193.86,1.89,0.86
textile,4,3715.32,2.92,1.8
battery,29,3194.96,6.35,5.13
metal,2,4177.41,1.83,0.74
plastic,30,3753.64,2.73,2.09
plastic,20,4471.73,2.71,2.0
plastic,13,4179.27,2.67,1.89
plastic,15,3794.63,2.24,2.38
textile,8,4537.42,2.62,1.62
battery,10,3152.9,5.78,4.61
metal,33,4774.77,0.43,0.52
plastic,21,4150.52,3.48,3.26
battery,10,2257.56,6.68,5.27
metal,3,3716.19,2.07,0.76
plastic,11,3912.23,2.65,1.34
paper,33,4061.96,1.28,1.59
plastic,6,3675.13,3.62,2.41
textile,27,3746.29,2.43,2.15
metal,3,4466.61,1.84,1.87
paper,2,3709.92,2.01,1.26
paper,5,3581.12,3.26,2.52
plastic,16,4476.06,1.48,1.26
textile,23,4052.35,2.44,2.31
textile,20,3919.49,2.45,1.92
plastic,16,4458.8,1.57,0.9
plastic,21,3559.5,3.07,2.01
plastic,11,4465.78,2.22,1.85
paper,12,4526.14,0.98,1.2
metal,30,4743.63,1.1,1.06
textile,35,4826.47,0.96,0.36
metal,14,4691.94,1.03,0.68
plastic,31,4930.9,2.31,1.61
textile,3,4250.87,2.44,2.21
paper,12,4978.85,0.0,0.19
textile,31,5087.98,0.0,0.11
textile,2,3932.44,2.22,1.83
battery,5,2861.18,7.39,5.6
plastic,23,3496.02,3.81,2.7
plastic,28,3934.64,2.78,1.93
paper,4,3469.71,3.06,2.66
paper,35,4238.28,0.63,0.69
textile,2,3880.92,3.0,1.83
textile,10,4714.37,1.31,0.37
metal,21,3852.58,3.17,2.21
plastic,11,3868.49,3.1,2.31
paper,34,5144.01,0.59,0.1
battery,29,2279.02,5.82,4.48
plastic,17,4255.64,2.53,1.96
metal,29,4276.91,1.92,1.77
paper,11,3870.26,1.14,0.82
plastic,15,4600.13,1.98,1.47
textile,8,4165.68,2.59,1.76
textile,24,4435.39,1.77,1.42
paper,15,4315.82,1.03,0.06
textile,30,4586.63,1.06,1.17
plastic,9,3518.73,3.16,2.17
plastic,4,3864.91,4.29,2.99
metal,10,4166.89,1.83,1.74
metal,13,4510.02,1.84,1.59
battery,10,2771.06,6.85,5.05
plastic,25,2850.06,4.32,2.79
paper,30,4618.15,1.27,1.16
battery,21,2169.55,7.59,5.62
textile,21,3632.54,2.8,2.19
battery,22,2839.16,6.95,5.91
metal,29,4150.67,1.91,1.54
metal,31,4773.41,0.61,0.07
textile,33,4390.45,0.11,0.12
battery,23,2363.64,7.86,6.41
metal,16,4645.85,1.52,1.45
battery,1,2573.94,6.4,4.94
plastic,10,4101.51,3.22,2.65
battery,27,3199.52,6.42,5.47
metal,26,3693.71,4.0,3.13
plastic,34,4481.46,2.44,2.09
battery,4,2770.77,7.71,5.28
metal,24,3926.58,2.76,1.91
textile,20,4535.26,2.17,1.52
textile,14,4834.76,0.73,0.84
metal,30,4476.81,0.96,1.05
paper,19,4424.63,1.64,1.16
metal,31,4679.8,0.98,1.26
textile,30,4055.89,1.1,0.79
battery,28,2771.3,6.53,5.13
plastic,6,3592.69,4.52,3.3
paper,11,4734.48,1.02,0.21
metal,3,4329.28,2.58,1.17
textile,19,4112.84,2.14,0.96
battery,5,2561.68,7.31,5.41
textile,6,3592.38,3.6,2.76
metal,35,4146.25,2.05,1.29
paper,31,4477.86,1.45,1.41
textile,30,4127.5,1.9,1.4
metal,25,3788.7,3.01,2.25
paper,18,5087.25,0.51,0.68
metal,32,4754.59,0.91,0.72
textile,26,4174.09,1.91,1.75
metal,24,3792.32,2.36,1.34
textile,12,4611.77,0.84,0.46
metal,7,4282.74,2.45,2.61
textile,34,3767.87,1.56,1.27
metal,6,3897.01,3.62,2.54
metal,21,3734.11,2.86,2.06
battery,22,2729.52,7.3,5.2
paper,10,4729.04,0.74,0.61
paper,22,3517.64,3.4,2.73
battery,28,2482.96,6.56,4.95
paper,35,4509.5,1.66,0.94
plastic,19,4091.17,2.37,2.29
textile,21,4508.73,2.3,1.18
metal,20,4447.91,1.76,0.69
battery,33,2719.96,6.15,4.65
textile,32,4925.46,0.58,1.26
battery,32,3345.09,5.02,3.55
plastic,21,4233.61,3.2,2.05
textile,25,3775.2,3.07,2.53
textile,35,4426.24,1.39,1.11
battery,11,2752.88,6.66,5.29
plastic,21,3421.03,4.03,3.05
textile,28,3916.1,2.61,1.79
plastic,18,4291.28,3.1,1.72
textile,11,4114.67,2.12,1.86
plastic,20,3993.83,3.13,1.98
paper,1,3944.56,2.58,2.25
battery,4,2573.44,7.3,5.24
plastic,14,4273.67,1.9,1.55
plastic,35,4177.58,2.65,1.36
paper,8,4318.38,1.74,0.9
battery,20,2511.8,6.85,5.29
battery,3,2774.0,6.99,5.49
paper,7,4488.41,3.22,2.65
battery,14,2569.49,6.62,4.85
paper,17,4743.4,0.48,0.0
battery,14,3223.36,5.89,5.1
plastic,16,3911.36,2.55,1.95
metal,21,3931.66,2.42,1.83
paper,3,3678.88,3.7,2.57
battery,17,2586.39,5.94,4.41
battery,26,2438.9,7.01,5.23
plastic,29,4343.26,3.08,2.75
paper,28,3938.49,2.45,1.76
plastic,1,3954.65,2.45,1.22
plastic,18,3462.4,2.5,1.79
battery,20,2980.65,5.84,3.8
plastic,8,3426.91,4.0,3.19
battery,9,2023.47,8.01,6.35
plastic,24,3447.94,4.51,3.21
battery,19,2922.76,6.58,4.9
textile,1,3713.58,3.07,2.44
textile,12,4070.87,1.63,1.63
metal,28,4396.61,1.85,2.03
metal,4,3553.19,3.42,1.68
metal,19,4744.08,2.62,1.88
battery,15,2752.61,5.97,5.08
textile,10,3640.67,2.4,1.88
paper,3,3688.94,3.22,2.56
metal,29,4150.19,1.79,0.66
plastic,15,3810.78,1.72,1.58
plastic,28,3634.03,3.62,2.42
plastic,30,4587.56,2.37,1.68
battery,3,2540.91,6.43,4.09
plastic,33,4514.15,2.59,3.17
paper,7,4086.64,2.24,1.7
paper,35,4433.68,1.14,0.77
battery,5,2196.09,8.11,6.69
paper,5,3260.94,4.01,3.05
metal,27,4029.74,1.53,0.81
textile,30,4581.87,1.23,0.91
textile,35,4803.35,1.34,0.39
paper,5,4266.7,2.25,1.22
metal,22,3734.26,3.2,2.82
textile,21,3773.42,2.42,1.47
paper,11,5046.2,0.51,0.0
battery,13,2946.7,5.69,5.2
battery,17,3403.43,5.47,4.53
battery,21,2631.5,6.84,5.1
textile,19,3931.44,2.18,0.96
paper,21,3968.22,3.23,3.07
textile,17,5156.03,1.24,0.94
paper,32,3939.4,1.38,1.0
paper,11,4145.9,1.82,1.46
plastic,17,4934.01,1.21,0.77
paper,7,3781.57,3.31,2.43
textile,31,4666.03,1.71,1.6
textile,22,4160.13,3.34,2.34
paper,2,4578.59,2.24,1.34
plastic,30,4127.54,2.93,2.49
plastic,15,4321.71,2.3,1.49
textile,9,4283.22,2.43,1.52
plastic,34,4194.24,2.16,1.32
battery,35,2865.33,6.77,5.77
textile,19,3596.76,2.39,1.87
plastic,34,4446.13,2.39,1.15
paper,34,5025.58,0.68,0.25
battery,29,2691.49,6.84,4.54
textile,21,3903.01,2.79,1.54
plastic,22,3286.9,4.17,3.07
paper,8,4564.88,3.0,2.58
metal,14,4858.34,0.22,0.0
paper,13,4870.89,0.56,0.59
paper,31,4574.81,0.86,0.44
paper,15,4821.01,1.12,1.21
plastic,23,4506.69,3.5,2.82
textile,28,4216.58,2.0,1.19
battery,9,3021.26,6.4,4.91
textile,19,4180.7,2.15,1.91
paper,17,5108.35,1.39,1.67
metal,23,4353.57,2.32,1.59
textile,33,4647.07,0.67,0.66
plastic,21,4364.79,3.74,2.64
textile,17,4393.49,1.63,0.09
metal,14,4560.76,1.01,0.89
textile,13,4154.89,1.88,1.78
plastic,23,3196.93,3.82,3.19
paper,18,4271.62,1.79,2.33
textile,35,5048.39,0.72,0.75
metal,10,4108.4,1.7,0.25
plastic,12,4225.1,2.15,1.62
battery,25,2574.65,7.4,5.08
paper,16,4425.89,1.74,1.93
metal,12,4624.67,1.58,1.04
textile,25,4120.38,2.6,2.57
paper,12,4551.31,1.33,1.06
plastic,8,3605.7,3.58,2.53
battery,29,2699.79,5.89,5.09
paper,26,4123.67,2.63,1.99
textile,32,4809.8,1.7,1.86
plastic,26,3539.85,3.85,2.76
metal,25,4344.52,3.08,2.44
paper,31,4289.69,1.03,1.11
plastic,24,4074.55,4.14,3.17
metal,5,3547.35,2.8,2.1
plastic,27,4303.74,3.06,2.56
metal,14,3953.76,1.09,1.43
battery,30,3262.46,5.93,4.57
plastic,11,4139.41,2.84,2.28
paper,6,3686.01,3.05,1.25
battery,26,2040.02,7.16,5.42
textile,25,4528.46,2.48,1.52
metal,34,4160.71,1.85,1.58
paper,30,4599.31,2.15,1.71
textile,22,4548.24,2.27,1.84
paper,28,4668.21,1.47,1.45
battery,22,2369.48,7.14,5.33
battery,13,3235.92,5.57,3.01
battery,20,2218.61,7.87,5.64
metal,14,3856.96,1.62,1.67
plastic,26,3299.37,3.55,2.68
plastic,5,3878.73,3.79,2.89
battery,21,2877.95,7.45,5.63
battery,7,2781.51,7.13,5.3
metal,29,3861.38,2.52,1.48
paper,27,4671.18,1.11,1.01
textile,34,4363.59,1.26,1.43
paper,3,4891.69,1.38,0.97
textile,6,3645.71,3.24,2.02
textile,20,3705.52,2.71,2.3
metal,30,4767.69,1.69,0.87
battery,14,2890.17,5.32,4.27
textile,8,4091.87,2.08,1.65
metal,10,4712.59,0.94,0.57
plastic,4,3250.63,5.12,4.04
battery,21,2333.67,7.89,5.58
plastic,24,3402.99,4.26,3.04
battery,6,2515.81,7.52,5.91
plastic,34,4045.66,2.27,1.92
textile,6,4138.51,3.13,2.53
plastic,17,3531.82,3.26,2.29
paper,18,4256.01,1.85,1.82
paper,24,4157.29,3.17,2.61
plastic,33,3993.61,2.91,2.09
battery,19,2361.46,6.68,4.9
metal,25,3814.41,2.65,2.26
battery,8,2838.63,6.76,4.52
battery,16,3035.49,5.7,4.01
plastic,12,4000.99,2.0,1.06
battery,12,3590.1,4.98,3.48
battery,33,2645.85,6.27,4.02
battery,22,2448.02,7.15,5.58
textile,20,4531.13,2.3,2.3
battery,29,2701.92,6.11,4.38
plastic,8,4091.77,2.62,1.66
plastic,2,3284.68,4.38,3.02
battery,12,2744.22,6.59,4.66
metal,25,4268.91,3.26,3.19
metal,27,3906.13,2.66,1.88
paper,19,4394.53,2.8,2.58
plastic,2,3491.7,4.13,3.2
paper,34,4675.84,0.8,0.05
plastic,9,3802.59,3.91,2.91
paper,9,4444.19,1.95,1.12
battery,21,2480.28,7.09,5.65
paper,29,5052.06,0.35,1.05
metal,20,4250.73,2.64,1.53
textile,23,3896.45,2.95,2.11
metal,3,4021.47,3.19,1.85
metal,30,4544.56,1.71,1.31
battery,10,2158.66,6.68,5.05
battery,8,2411.47,6.86,5.21
plastic,28,4083.71,3.47,2.51
battery,15,2612.41,5.3,3.7
paper,28,4342.94,2.09,1.42
metal,1,3950.71,3.07,2.63
battery,35,2872.23,5.99,4.8
metal,23,3546.08,3.41,2.36
textile,16,4804.48,1.47,0.25
battery,22,2199.9,8.09,5.94
battery,30,3391.86,6.36,4.32
textile,23,3583.3,3.26,2.28
plastic,21,4064.44,3.51,3.0
metal,30,4667.08,1.32,0.67
paper,34,5408.62,0.91,0.86
battery,15,3448.92,5.77,4.31
plastic,33,4822.36,2.11,1.74
metal,1,3975.08,2.02,2.41
textile,13,4370.21,1.76,2.09
textile,29,4308.29,1.94,1.05
metal,3,4011.29,2.86,1.56
textile,1,3963.98,2.3,2.54
metal,16,4790.28,1.67,1.3
plastic,22,4022.74,3.84,3.32
textile,19,4283.42,1.74,1.79
battery,11,2723.29,5.91,4.32
plastic,15,4178.46,2.51,1.66
textile,18,4040.21,2.32,0.99
battery,3,1945.75,7.65,5.15
battery,4,1991.67,8.35,6.78
battery,30,2941.46,6.44,4.37
plastic,9,4307.52,3.28,3.02
textile,32,4215.4,1.26,0.97
textile,19,4246.24,2.75,1.89
paper,6,4172.46,2.67,2.09
battery,21,2451.01,7.55,6.41
metal,12,4913.44,1.8,1.26
battery,2,2312.68,7.54,5.11
plastic,26,3431.6,3.7,3.39
metal,23,3941.2,3.54,3.02
battery,3,2196.13,6.79,5.54
textile,32,4242.22,1.35,1.2
metal,15,4827.92,0.36,0.79
paper,20,3756.76,1.87,1.54
metal,6,3848.24,2.13,1.47
textile,7,4322.41,2.49,1.58
battery,20,2752.85,6.94,5.62
battery,27,2685.45,6.4,4.79
battery,11,2614.46,5.93,4.89
battery,35,3219.45,5.65,3.58
paper,29,4536.55,1.02,1.39
metal,25,3482.18,3.14,2.5
battery,5,3079.65,6.45,5.05
paper,25,3876.66,3.21,2.24
metal,23,3831.46,3.51,2.89
plastic,25,4129.28,3.23,2.59
paper,1,4533.19,1.82,1.01
metal,17,4663.72,1.25,1.56
paper,20,4032.66,2.8,2.32
metal,30,4743.57,1.56,1.35
metal,11,3771.57,2.02,1.96
paper,8,4325.34,2.56,2.24
battery,7,2793.08,6.68,5.01
battery,23,2034.96,7.93,6.05
plastic,8,3540.18,3.87,2.56
textile,12,4597.38,1.41,0.79
paper,34,4457.78,0.97,0.71
metal,32,4603.62,0.93,0.67
battery,8,2346.44,7.2,5.83
paper,13,4791.17,0.88,1.01
metal,31,4814.5,1.02,0.05
textile,10,4576.1,1.23,0.35
plastic,1,3133.01,3.72,2.63
plastic,34,3879.55,2.93,2.93
plastic,15,4195.34,2.45,1.42
plastic,20,3710.53,3.38,3.38
paper,19,4110.81,1.85,1.52
metal,16,4087.46,0.92,0.5
textile,17,4454.88,1.59,1.73
textile,26,4406.31,2.56,1.57
paper,30,4312.89,1.94,1.92
metal,16,4460.85,1.38,1.06
plastic,6,3919.24,4.13,2.89
battery,12,2841.66,6.33,4.54
plastic,31,4263.92,2.45,1.72
paper,13,4887.46,1.75,1.25
plastic,33,3978.61,1.73,1.4
metal,8,4103.51,1.99,1.61
textile,28,4118.76,2.0,1.68
metal,18,4103.36,2.66,1.93
metal,13,4858.17,1.37,1.33
plastic,19,3862.64,3.43,2.78
paper,30,3178.08,3.42,3.25
plastic,35,4568.14,1.83,1.2
textile,14,5067.45,0.0,0.19
battery,11,2825.02,6.95,5.33
textile,21,3889.5,1.94,1.03
textile,8,4489.25,2.1,1.5
battery,2,2671.42,7.09,5.39
paper,17,4857.89,0.87,1.0
textile,4,4424.11,2.23,1.57
paper,13,4913.65,1.51,0.89
battery,28,2487.16,6.48,4.36
plastic,12,3950.45,2.01,1.07
textile,25,4016.52,3.04,2.57
metal,19,4972.72,1.58,1.55
paper,12,4525.23,1.12,1.08
plastic,25,3636.72,3.96,3.38
paper,22,3928.46,3.01,1.74
paper,15,4911.48,1.43,0.35
plastic,23,3528.75,4.67,3.58
paper,35,4482.92,2.17,1.54
plastic,8,3779.59,3.89,3.12
textile,29,4260.49,1.92,1.72
battery,30,2633.21,6.45,5.03
metal,13,5105.09,0.2,0.12
metal,31,4536.0,1.44,0.96
textile,1,3636.23,2.57,2.36
plastic,22,3079.53,3.63,2.59
plastic,17,4418.82,1.83,1.2
textile,6,3412.71,3.43,2.68
textile,15,5053.79,0.84,0.0
battery,6,2314.75,7.22,5.5
plastic,34,4130.77,2.04,1.07
metal,18,4614.09,1.56,1.09
textile,7,4153.41,2.24,1.93
paper,35,4481.69,1.3,0.72
paper,35,4270.39,1.8,1.52
plastic,7,3347.84,4.32,3.13
paper,13,4803.4,2.24,1.32
paper,16,4348.65,0.83,0.51
textile,2,4445.08,1.86,2.1
plastic,2,3797.93,3.63,3.0
plastic,16,3809.91,2.92,2.99
textile,34,4479.23,1.23,1.03
textile,30,4322.42,2.06,0.76
metal,18,4684.99,1.16,0.23
plastic,10,4562.76,1.9,1.39
plastic,19,4251.43,3.26,1.97
battery,22,2185.01,7.21,5.08
metal,3,2922.25,3.93,2.4
battery,9,2252.43,6.86,4.86
plastic,28,4154.08,2.58,1.51
plastic,10,4096.36,2.39,1.34
battery,11,2987.55,6.17,4.48
paper,18,5127.42,0.77,0.6
plastic,12,4574.35,2.04,0.74
metal,26,3586.49,3.16,2.56
paper,12,4263.14,1.11,0.71
textile,17,4226.5,1.74,0.51
paper,30,4317.53,1.15,0.37
textile,29,4076.2,1.24,0.44
metal,21,4233.44,2.71,2.32
paper,29,4255.8,1.53,0.69
metal,5,4352.31,2.12,2.07
battery,23,2713.7,7.17,4.87
plastic,19,4382.54,2.5,2.01
plastic,20,3804.47,3.86,2.46
battery,22,2120.23,7.2,5.76
metal,13,4853.87,1.37,1.45
battery,31,3646.36,5.82,4.12
paper,10,4452.66,0.89,1.13
textile,31,4817.73,1.32,1.2
textile,4,4591.38,3.25,2.36
battery,28,3149.77,5.76,3.88
textile,7,3825.47,3.02,2.08
metal,27,4499.35,2.86,2.75
metal,30,4563.31,0.95,0.7
metal,33,5126.16,0.81,0.89
metal,16,4565.45,1.01,0.49
metal,32,4805.13,1.22,0.9
plastic,12,4109.98,2.28,1.89
paper,2,4448.58,2.81,1.23
battery,2,2493.37,7.23,6.07
textile,10,4390.14,2.79,2.16
metal,12,4501.91,1.31,0.35
textile,20,3981.37,2.81,2.21
textile,16,4129.15,1.51,1.62
paper,16,4256.05,2.05,0.27
textile,27,3690.02,3.18,2.23
plastic,31,4352.78,2.35,1.0
textile,20,4892.37,2.68,2.05
metal,5,3682.23,2.57,1.69
plastic,20,3903.14,2.98,1.45
textile,1,4757.46,2.13,1.22
textile,33,4908.45,0.54,1.1
textile,20,4205.64,2.73,2.19
battery,27,2922.43,6.32,5.58
battery,19,2969.07,6.04,3.93
metal,26,3956.1,2.16,1.89
