CO2,NOx,SOx,PM2.5,timestamp,facility,sensor
163.02,41.99,23.14,23.91,2026-07-01T14:20:00,Tiruppur Textiles,SEN-101
306.93,30.18,18.0,35.0,2026-07-01T14:30:00,Tiruppur Textiles,SEN-102
265.26,34.48,23.05,62.73,2026-07-01T14:40:00,EcoFibre Ltd,SEN-103
286.7,29.81,8.38,20.35,2026-07-01T14:50:00,EcoFibre Ltd,SEN-104
218.82,15.64,10.29,24.3,2026-07-01T15:00:00,EcoFibre Ltd,SEN-100
310.83,17.38,20.72,47.66,2026-07-01T15:10:00,Coimbatore E-Hub,SEN-101
172.86,42.62,11.58,41.96,2026-07-01T15:20:00,EcoFibre Ltd,SEN-102
429.82,39.64,3.04,11.45,2026-07-01T15:30:00,EcoFibre Ltd,SEN-103
294.11,44.41,10.66,51.23,2026-07-01T15:40:00,Tiruppur Textiles,SEN-104
402.64,38.53,12.78,32.82,2026-07-01T15:50:00,Coimbatore E-Hub,SEN-100
172.61,32.67,14.29,51.25,2026-07-01T16:00:00,Salem Scrap Yard,SEN-101
380.7,42.79,21.54,23.6,2026-07-01T16:10:00,Coimbatore E-Hub,SEN-102
225.43,15.99,6.77,58.3,2026-07-01T16:20:00,EcoFibre Ltd,SEN-103
257.45,9.54,17.45,38.62,2026-07-01T16:30:00,EcoFibre Ltd,SEN-104
242.33,37.66,24.26,14.86,2026-07-01T16:40:00,Coimbatore E-Hub,SEN-100
190.2,6.15,19.37,44.12,2026-07-01T16:50:00,Tiruppur Textiles,SEN-101
420.95,29.69,24.55,43.44,2026-07-01T17:00:00,Coimbatore E-Hub,SEN-102
281.24,41.17,10.01,38.27,2026-07-01T17:10:00,Coimbatore E-Hub,SEN-103
239.39,25.94,18.05,53.81,2026-07-01T17:20:00,Salem Scrap Yard,SEN-104
297.63,15.33,12.56,63.9,2026-07-01T17:30:00,Tiruppur Textiles,SEN-100
212.74,28.19,9.86,39.55,2026-07-01T17:40:00,Tiruppur Textiles,SEN-101
195.57,10.55,16.74,20.0,2026-07-01T17:50:00,Salem Scrap Yard,SEN-102
412.3,25.61,24.38,43.11,2026-07-01T18:00:00,Coimbatore E-Hub,SEN-103
200.68,16.14,6.07,14.88,2026-07-01T18:10:00,Tiruppur Textiles,SEN-104
256.8,40.77,4.96,28.16,2026-07-01T18:20:00,Tiruppur Textiles,SEN-100
389.82,30.12,3.88,58.05,2026-07-01T18:30:00,EcoFibre Ltd,SEN-101
150.78,39.73,3.94,42.85,2026-07-01T18:40:00,Tiruppur Textiles,SEN-102
261.14,24.38,16.22,30.29,2026-07-01T18:50:00,Coimbatore E-Hub,SEN-103
168.7,10.91,5.06,47.79,2026-07-01T19:00:00,Tiruppur Textiles,SEN-104
309.63,9.29,12.29,39.29,2026-07-01T19:10:00,Coimbatore E-Hub,SEN-100
371.22,12.29,14.97,56.24,2026-07-01T19:20:00,Tiruppur Textiles,SEN-101
185.93,40.62,15.65,47.35,2026-07-01T19:30:00,EcoFibre Ltd,SEN-102
293.87,28.37,18.95,40.68,2026-07-01T19:40:00,Tiruppur Textiles,SEN-103
188.27,16.35,10.35,45.53,2026-07-01T19:50:00,Salem Scrap Yard,SEN-104
299.47,18.21,23.47,10.41,2026-07-01T20:00:00,Salem Scrap Yard,SEN-100
223.79,11.43,6.29,25.68,2026-07-01T20:10:00,EcoFibre Ltd,SEN-101
402.69,7.07,2.42,48.33,2026-07-01T20:20:00,Coimbatore E-Hub,SEN-102
269.36,43.78,21.91,54.94,2026-07-01T20:30:00,EcoFibre Ltd,SEN-103
366.87,37.83,18.52,39.43,2026-07-01T20:40:00,Salem Scrap Yard,SEN-104
380.85,12.48,9.44,33.4,2026-07-01T20:50:00,Tiruppur Textiles,SEN-100
308.95,33.29,19.66,14.8,2026-07-01T21:00:00,Tiruppur Textiles,SEN-101
294.34,26.3,3.19,28.51,2026-07-01T21:10:00,Coimbatore E-Hub,SEN-102
314.68,13.07,17.75,14.83,2026-07-01T21:20:00,Coimbatore E-Hub,SEN-103
378.07,28.83,12.85,32.65,2026-07-01T21:30:00,Tiruppur Textiles,SEN-104
405.22,34.84,11.4,61.31,2026-07-01T21:40:00,Tiruppur Textiles,SEN-100
204.37,7.66,19.05,41.6,2026-07-01T21:50:00,EcoFibre Ltd,SEN-101
398.38,35.02,20.39,55.38,2026-07-01T22:00:00,Salem Scrap Yard,SEN-102
349.56,25.92,10.25,58.25,2026-07-01T22:10:00,Coimbatore E-Hub,SEN-103
285.58,33.55,22.69,44.33,2026-07-01T22:20:00,Salem Scrap Yard,SEN-104
300.82,14.29,22.69,31.11,2026-07-01T22:30:00,Coimbatore E-Hub,SEN-100
218.71,26.71,11.93,28.3,2026-07-01T22:40:00,Salem Scrap Yard,SEN-101
191.78,36.76,16.26,39.34,2026-07-01T22:50:00,EcoFibre Ltd,SEN-102
449.31,35.1,18.26,52.82,2026-07-01T23:00:00,Salem Scrap Yard,SEN-103
320.97,35.5,22.17,28.81,2026-07-01T23:10:00,Salem Scrap Yard,SEN-104
263.65,23.28,15.89,37.63,2026-07-01T23:20:00,Coimbatore E-Hub,SEN-100
218.78,33.89,18.56,45.26,2026-07-01T23:30:00,Tiruppur Textiles,SEN-101
364.85,28.96,21.02,62.75,2026-07-01T23:40:00,Salem Scrap Yard,SEN-102
270.26,23.48,23.79,18.43,2026-07-01T23:50:00,EcoFibre Ltd,SEN-103
180.24,15.24,18.7,42.61,2026-07-02T00:00:00,EcoFibre Ltd,SEN-104
359.0,41.9,18.27,18.39,2026-07-02T00:10:00,Salem Scrap Yard,SEN-100
170.68,8.09,4.4,56.22,2026-07-02T00:20:00,EcoFibre Ltd,SEN-101
183.97,44.39,21.29,16.86,2026-07-02T00:30:00,Tiruppur Textiles,SEN-102
243.43,14.1,15.98,30.86,2026-07-02T00:40:00,Coimbatore E-Hub,SEN-103
390.86,5.19,9.67,31.9,2026-07-02T00:50:00,EcoFibre Ltd,SEN-104
426.89,23.63,13.06,60.52,2026-07-02T01:00:00,Coimbatore E-Hub,SEN-100
285.73,10.63,6.06,37.41,2026-07-02T01:10:00,Coimbatore E-Hub,SEN-101
243.44,36.22,8.38,22.11,2026-07-02T01:20:00,Salem Scrap Yard,SEN-102
203.41,43.44,5.42,32.8,2026-07-02T01:30:00,Tiruppur Textiles,SEN-103
205.34,16.98,9.13,31.85,2026-07-02T01:40:00,Tiruppur Textiles,SEN-104
419.42,13.21,6.39,12.01,2026-07-02T01:50:00,Salem Scrap Yard,SEN-100
326.24,16.76,18.42,39.02,2026-07-02T02:00:00,Salem Scrap Yard,SEN-101
270.23,27.39,5.57,20.01,2026-07-02T02:10:00,Tiruppur Textiles,SEN-102
375.97,15.89,22.64,38.96,2026-07-02T02:20:00,Coimbatore E-Hub,SEN-103
196.85,33.64,17.16,11.49,2026-07-02T02:30:00,Coimbatore E-Hub,SEN-104
208.83,25.22,15.69,28.66,2026-07-02T02:40:00,Salem Scrap Yard,SEN-100
345.82,14.53,4.29,23.37,2026-07-02T02:50:00,Coimbatore E-Hub,SEN-101
392.06,43.51,23.72,17.76,2026-07-02T03:00:00,Salem Scrap Yard,SEN-102
921.58,13.8,11.9,51.44,2026-07-02T03:10:00,Coimbatore E-Hub,SEN-103
412.93,30.72,18.19,60.08,2026-07-02T03:20:00,Tiruppur Textiles,SEN-104
227.83,20.19,15.58,24.74,2026-07-02T03:30:00,Coimbatore E-Hub,SEN-100
382.15,19.51,21.8,22.07,2026-07-02T03:40:00,EcoFibre Ltd,SEN-101
192.03,39.74,13.21,59.2,2026-07-02T03:50:00,Salem Scrap Yard,SEN-102
295.43,25.5,19.06,48.44,2026-07-02T04:00:00,Tiruppur Textiles,SEN-103
191.81,38.4,24.64,38.91,2026-07-02T04:10:00,Tiruppur Textiles,SEN-104
354.96,37.9,14.18,54.83,2026-07-02T04:20:00,Coimbatore E-Hub,SEN-100
695.76,77.64,63.25,51.25,2026-07-02T04:30:00,EcoFibre Ltd,SEN-101
229.11,15.66,18.84,23.79,2026-07-02T04:40:00,Tiruppur Textiles,SEN-102
202.61,41.58,11.63,31.07,2026-07-02T04:50:00,Tiruppur Textiles,SEN-103
256.16,43.35,6.24,14.97,2026-07-02T05:00:00,Salem Scrap Yard,SEN-104
266.79,16.55,10.18,49.55,2026-07-02T05:10:00,Tiruppur Textiles,SEN-100
434.79,20.87,23.94,17.43,2026-07-02T05:20:00,Coimbatore E-Hub,SEN-101
159.35,15.49,15.69,12.83,2026-07-02T05:30:00,EcoFibre Ltd,SEN-102
196.4,29.93,12.91,28.94,2026-07-02T05:40:00,Tiruppur Textiles,SEN-103
298.65,32.54,12.0,23.55,2026-07-02T05:50:00,Tiruppur Textiles,SEN-104
150.7,43.71,2.12,15.67,2026-07-02T06:00:00,Tiruppur Textiles,SEN-100
425.19,10.47,23.86,34.53,2026-07-02T06:10:00,Coimbatore E-Hub,SEN-101
437.45,35.34,16.7,51.75,2026-07-02T06:20:00,EcoFibre Ltd,SEN-102
404.76,14.99,13.26,22.17,2026-07-02T06:30:00,Salem Scrap Yard,SEN-103
350.98,6.77,15.53,64.96,2026-07-02T06:40:00,Tiruppur Textiles,SEN-104
424.65,6.36,18.04,26.35,2026-07-02T06:50:00,EcoFibre Ltd,SEN-100
276.53,36.81,19.14,13.02,2026-07-02T07:00:00,EcoFibre Ltd,SEN-101
398.67,6.48,15.71,22.65,2026-07-02T07:10:00,Coimbatore E-Hub,SEN-102
415.5,26.21,12.14,32.25,2026-07-02T07:20:00,EcoFibre Ltd,SEN-103
311.85,36.63,9.33,44.42,2026-07-02T07:30:00,Salem Scrap Yard,SEN-104
908.6,54.25,37.87,154.73,2026-07-02T07:40:00,EcoFibre Ltd,SEN-100
308.68,42.56,20.37,64.89,2026-07-02T07:50:00,Tiruppur Textiles,SEN-101
176.56,6.5,13.03,41.94,2026-07-02T08:00:00,EcoFibre Ltd,SEN-102
380.48,21.71,11.69,50.57,2026-07-02T08:10:00,Tiruppur Textiles,SEN-103
290.19,16.88,21.61,49.36,2026-07-02T08:20:00,Coimbatore E-Hub,SEN-104
155.36,44.51,11.84,31.14,2026-07-02T08:30:00,Salem Scrap Yard,SEN-100
436.92,36.92,7.96,42.37,2026-07-02T08:40:00,Salem Scrap Yard,SEN-101
433.42,23.7,16.11,19.19,2026-07-02T08:50:00,Coimbatore E-Hub,SEN-102
270.47,38.51,7.3,55.69,2026-07-02T09:00:00,Coimbatore E-Hub,SEN-103
202.96,13.82,6.29,52.88,2026-07-02T09:10:00,Coimbatore E-Hub,SEN-104
338.93,13.65,13.92,42.85,2026-07-02T09:20:00,Tiruppur Textiles,SEN-100
268.87,35.33,18.01,18.46,2026-07-02T09:30:00,Coimbatore E-Hub,SEN-101
336.88,34.91,2.8,59.22,2026-07-02T09:40:00,EcoFibre Ltd,SEN-102
413.24,15.62,4.98,58.88,2026-07-02T09:50:00,Coimbatore E-Hub,SEN-103
160.63,18.16,23.43,50.44,2026-07-02T10:00:00,Salem Scrap Yard,SEN-104
261.81,15.39,18.64,37.27,2026-07-02T10:10:00,Salem Scrap Yard,SEN-100
182.84,40.78,24.8,13.38,2026-07-02T10:20:00,Salem Scrap Yard,SEN-101
327.72,37.99,10.0,47.29,2026-07-02T10:30:00,EcoFibre Ltd,SEN-102
370.17,25.85,21.97,23.49,2026-07-02T10:40:00,Tiruppur Textiles,SEN-103
362.51,38.48,18.04,47.41,2026-07-02T10:50:00,Salem Scrap Yard,SEN-104
206.77,40.27,24.11,35.6,2026-07-02T11:00:00,EcoFibre Ltd,SEN-100
188.66,18.4,19.1,18.84,2026-07-02T11:10:00,EcoFibre Ltd,SEN-101
376.99,15.35,6.44,14.63,2026-07-02T11:20:00,EcoFibre Ltd,SEN-102
339.54,15.39,16.58,39.7,2026-07-02T11:30:00,Tiruppur Textiles,SEN-103
235.0,5.74,11.94,56.21,2026-07-02T11:40:00,EcoFibre Ltd,SEN-104
429.61,9.1,23.56,47.83,2026-07-02T11:50:00,Coimbatore E-Hub,SEN-100
199.91,35.84,18.3,36.05,2026-07-02T12:00:00,Coimbatore E-Hub,SEN-101
163.72,39.86,24.39,63.29,2026-07-02T12:10:00,Salem Scrap Yard,SEN-102
328.32,20.34,3.51,55.18,2026-07-02T12:20:00,Coimbatore E-Hub,SEN-103
381.12,32.33,12.26,25.05,2026-07-02T12:30:00,Salem Scrap Yard,SEN-104
180.66,39.17,14.12,55.43,2026-07-02T12:40:00,Tiruppur Textiles,SEN-100
174.71,32.22,17.05,25.03,2026-07-02T12:50:00,Salem Scrap Yard,SEN-101
159.39,34.25,22.92,57.15,2026-07-02T13:00:00,Salem Scrap Yard,SEN-102
232.26,44.36,11.41,59.18,2026-07-02T13:10:00,Coimbatore E-Hub,SEN-103
210.11,39.72,18.44,40.95,2026-07-02T13:20:00,Tiruppur Textiles,SEN-104
440.46,12.42,21.98,52.71,2026-07-02T13:30:00,Coimbatore E-Hub,SEN-100
309.11,5.71,20.33,26.18,2026-07-02T13:40:00,EcoFibre Ltd,SEN-101
335.0,36.86,13.08,16.45,2026-07-02T13:50:00,EcoFibre Ltd,SEN-102
224.26,27.34,7.19,18.85,2026-07-02T14:00:00,Salem Scrap Yard,SEN-103
507.54,92.26,27.41,84.09,2026-07-02T14:10:00,Tiruppur Textiles,SEN-104
354.14,20.82,24.42,49.7,2026-07-02T14:20:00,EcoFibre Ltd,SEN-100
408.04,36.19,2.91,36.43,2026-07-02T14:30:00,Tiruppur Textiles,SEN-101
180.84,27.84,2.42,36.53,2026-07-02T14:40:00,Tiruppur Textiles,SEN-102
317.89,5.39,9.51,38.47,2026-07-02T14:50:00,Tiruppur Textiles,SEN-103
174.75,37.98,10.23,27.72,2026-07-02T15:00:00,Tiruppur Textiles,SEN-104
356.84,37.02,6.6,19.21,2026-07-02T15:10:00,EcoFibre Ltd,SEN-100
187.27,40.85,15.68,43.91,2026-07-02T15:20:00,Coimbatore E-Hub,SEN-101
362.72,39.84,18.42,54.1,2026-07-02T15:30:00,Tiruppur Textiles,SEN-102
295.32,31.43,14.72,42.86,2026-07-02T15:40:00,Coimbatore E-Hub,SEN-103
343.07,26.06,18.83,14.49,2026-07-02T15:50:00,Coimbatore E-Hub,SEN-104
345.09,24.17,16.16,28.1,2026-07-02T16:00:00,Coimbatore E-Hub,SEN-100
204.64,36.59,17.15,37.4,2026-07-02T16:10:00,Tiruppur Textiles,SEN-101
345.98,18.29,14.48,37.13,2026-07-02T16:20:00,EcoFibre Ltd,SEN-102
354.07,7.89,2.71,24.17,2026-07-02T16:30:00,Coimbatore E-Hub,SEN-103
438.23,21.64,21.46,44.58,2026-07-02T16:40:00,EcoFibre Ltd,SEN-104
446.29,6.6,21.94,41.83,2026-07-02T16:50:00,EcoFibre Ltd,SEN-100
268.65,29.25,15.75,53.61,2026-07-02T17:00:00,Tiruppur Textiles,SEN-101
327.71,41.49,6.85,44.26,2026-07-02T17:10:00,Coimbatore E-Hub,SEN-102
220.74,36.04,11.32,43.1,2026-07-02T17:20:00,Coimbatore E-Hub,SEN-103
441.42,12.24,21.65,37.08,2026-07-02T17:30:00,EcoFibre Ltd,SEN-104
271.51,28.72,15.33,46.44,2026-07-02T17:40:00,Salem Scrap Yard,SEN-100
267.32,43.78,7.94,46.12,2026-07-02T17:50:00,Tiruppur Textiles,SEN-101
329.61,20.87,7.45,22.91,2026-07-02T18:00:00,Salem Scrap Yard,SEN-102
200.93,25.79,9.75,55.59,2026-07-02T18:10:00,EcoFibre Ltd,SEN-103
326.37,42.94,7.81,29.76,2026-07-02T18:20:00,Salem Scrap Yard,SEN-104
370.92,31.55,12.92,56.43,2026-07-02T18:30:00,Coimbatore E-Hub,SEN-100
409.26,27.33,14.42,11.88,2026-07-02T18:40:00,Salem Scrap Yard,SEN-101
309.35,42.46,2.9,16.72,2026-07-02T18:50:00,Tiruppur Textiles,SEN-102
176.57,9.13,15.45,47.85,2026-07-02T19:00:00,Tiruppur Textiles,SEN-103
439.54,5.2,23.89,45.15,2026-07-02T19:10:00,EcoFibre Ltd,SEN-104
226.27,25.87,9.88,39.27,2026-07-02T19:20:00,Coimbatore E-Hub,SEN-100
242.38,33.19,6.64,47.04,2026-07-02T19:30:00,EcoFibre Ltd,SEN-101
369.25,11.25,7.39,62.98,2026-07-02T19:40:00,Tiruppur Textiles,SEN-102
401.43,42.78,17.71,37.34,2026-07-02T19:50:00,Tiruppur Textiles,SEN-103
409.38,35.74,4.6,53.75,2026-07-02T20:00:00,Salem Scrap Yard,SEN-104
214.7,31.36,11.06,45.82,2026-07-02T20:10:00,Tiruppur Textiles,SEN-100
197.79,29.2,9.32,57.65,2026-07-02T20:20:00,Salem Scrap Yard,SEN-101
384.72,27.68,18.98,58.32,2026-07-02T20:30:00,Tiruppur Textiles,SEN-102
427.7,22.53,22.73,58.28,2026-07-02T20:40:00,EcoFibre Ltd,SEN-103
395.35,9.81,14.52,10.32,2026-07-02T20:50:00,Tiruppur Textiles,SEN-104
332.95,27.54,10.75,40.17,2026-07-02T21:00:00,Salem Scrap Yard,SEN-100
261.98,14.09,3.68,43.19,2026-07-02T21:10:00,Salem Scrap Yard,SEN-101
377.8,25.02,14.47,62.33,2026-07-02T21:20:00,EcoFibre Ltd,SEN-102
157.69,18.65,10.74,31.94,2026-07-02T21:30:00,Salem Scrap Yard,SEN-103
293.01,20.77,14.64,51.08,2026-07-02T21:40:00,Salem Scrap Yard,SEN-104
155.47,12.83,2.17,45.61,2026-07-02T21:50:00,Coimbatore E-Hub,SEN-100
346.41,20.2,6.53,36.36,2026-07-02T22:00:00,Tiruppur Textiles,SEN-101
295.76,15.27,8.55,26.9,2026-07-02T22:10:00,EcoFibre Ltd,SEN-102
324.28,8.59,18.51,31.99,2026-07-02T22:20:00,Coimbatore E-Hub,SEN-103
186.57,12.25,17.67,19.98,2026-07-02T22:30:00,EcoFibre Ltd,SEN-104
238.58,36.74,6.26,60.48,2026-07-02T22:40:00,Coimbatore E-Hub,SEN-100
391.8,27.01,3.0,44.82,2026-07-02T22:50:00,EcoFibre Ltd,SEN-101
341.4,25.61,15.65,53.66,2026-07-02T23:00:00,Coimbatore E-Hub,SEN-102
273.31,38.59,22.7,29.44,2026-07-02T23:10:00,Salem Scrap Yard,SEN-103
240.62,34.28,21.58,46.93,2026-07-02T23:20:00,Tiruppur Textiles,SEN-104
337.16,23.07,15.49,19.24,2026-07-02T23:30:00,Coimbatore E-Hub,SEN-100
291.87,26.41,6.1,27.17,2026-07-02T23:40:00,EcoFibre Ltd,SEN-101
314.01,14.28,10.99,42.7,2026-07-02T23:50:00,Coimbatore E-Hub,SEN-102
232.36,28.88,17.54,34.35,2026-07-03T00:00:00,EcoFibre Ltd,SEN-103
357.73,44.65,4.95,15.73,2026-07-03T00:10:00,Tiruppur Textiles,SEN-104
421.66,35.9,8.09,45.49,2026-07-03T00:20:00,EcoFibre Ltd,SEN-100
247.01,14.07,10.16,13.82,2026-07-03T00:30:00,Tiruppur Textiles,SEN-101
350.88,7.8,16.72,24.91,2026-07-03T00:40:00,EcoFibre Ltd,SEN-102
309.89,17.97,9.66,46.82,2026-07-03T00:50:00,Coimbatore E-Hub,SEN-103
258.88,44.82,12.27,28.35,2026-07-03T01:00:00,EcoFibre Ltd,SEN-104
437.29,12.01,17.87,21.05,2026-07-03T01:10:00,EcoFibre Ltd,SEN-100
276.81,37.87,2.03,26.55,2026-07-03T01:20:00,EcoFibre Ltd,SEN-101
428.15,14.39,11.18,18.38,2026-07-03T01:30:00,Coimbatore E-Hub,SEN-102
380.58,14.75,17.45,15.11,2026-07-03T01:40:00,Salem Scrap Yard,SEN-103
376.58,10.11,21.0,53.01,2026-07-03T01:50:00,Salem Scrap Yard,SEN-104
185.29,14.09,9.86,30.95,2026-07-03T02:00:00,EcoFibre Ltd,SEN-100
