buyer,seller,material,quantity,seller_initial_price,buyer_target_price,final_price,rounds,success
EcoFibre Ltd,Salem Scrap Yard,plastic,7949.0,23.52,18.91,21.38,3,1
Electro-Recycle,Chennai Polymers,textile,8675.0,16.73,13.56,0.0,2,0
EcoFibre Ltd,Coimbatore E-Hub,textile,7690.0,18.81,14.13,16.27,3,1
Tiruppur Textiles,Coimbatore E-Hub,textile,1216.0,17.12,13.98,15.83,5,1
Kovai Paper Mills,Coimbatore E-Hub,metal,749.0,120.41,91.58,0.0,3,0
EcoFibre Ltd,Salem Steel,battery,7044.0,16.9,12.06,14.51,4,1
EcoFibre Ltd,Salem Steel,battery,5030.0,19.21,13.39,16.32,3,1
Electro-Recycle,Coimbatore E-Hub,metal,1831.0,120.95,86.76,104.58,4,1
Electro-Recycle,Salem Steel,battery,2680.0,18.89,13.03,16.17,5,1
EcoFibre Ltd,Salem Steel,textile,6069.0,17.49,13.43,15.72,5,1
Electro-Recycle,Chennai Polymers,battery,6531.0,18.42,12.41,15.75,4,1
Kovai Paper Mills,Salem Steel,textile,7277.0,17.17,13.85,15.38,3,1
Tiruppur Textiles,Salem Steel,textile,7481.0,16.86,13.04,14.7,3,1
Electro-Recycle,Chennai Polymers,metal,6690.0,122.56,81.23,98.3,3,1
Kovai Paper Mills,Chennai Polymers,plastic,1776.0,25.95,17.61,21.76,5,1
Kovai Paper Mills,Salem Steel,textile,7309.0,16.61,12.57,14.62,4,1
Electro-Recycle,Salem Steel,battery,6370.0,16.59,13.95,14.74,5,1
Tiruppur Textiles,Salem Scrap Yard,metal,1562.0,116.44,83.17,94.83,3,1
Tiruppur Textiles,Chennai Polymers,textile,6668.0,18.54,13.78,15.77,4,1
Electro-Recycle,Salem Scrap Yard,plastic,7391.0,22.51,16.85,0.0,3,0
Kovai Paper Mills,Salem Steel,battery,1376.0,17.49,14.1,15.7,3,1
EcoFibre Ltd,Salem Steel,plastic,8934.0,22.07,18.09,18.71,5,1
EcoFibre Ltd,Salem Scrap Yard,paper,8695.0,16.52,14.19,0.0,3,0
Electro-Recycle,Coimbatore E-Hub,metal,6816.0,125.39,82.81,103.88,3,1
Kovai Paper Mills,Chennai Polymers,paper,4708.0,18.09,13.59,15.74,3,1
Kovai Paper Mills,Chennai Polymers,battery,4244.0,17.61,13.02,15.38,2,1
Kovai Paper Mills,Salem Steel,textile,5787.0,18.93,12.57,16.25,4,1
EcoFibre Ltd,Coimbatore E-Hub,battery,9810.0,19.29,13.87,16.93,5,1
Tiruppur Textiles,Salem Scrap Yard,battery,5756.0,17.12,12.85,15.07,5,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,9944.0,22.81,16.49,19.86,2,1
Electro-Recycle,Coimbatore E-Hub,metal,4727.0,116.32,88.82,101.07,5,1
Electro-Recycle,Chennai Polymers,plastic,5642.0,23.75,17.73,0.0,2,0
Electro-Recycle,Salem Steel,textile,4187.0,17.19,13.22,14.36,4,1
Kovai Paper Mills,Salem Scrap Yard,textile,5908.0,18.1,14.01,0.0,5,0
Tiruppur Textiles,Chennai Polymers,textile,1450.0,16.93,12.46,14.67,3,1
EcoFibre Ltd,Chennai Polymers,paper,6859.0,18.31,13.13,16.55,5,1
Electro-Recycle,Salem Scrap Yard,paper,4256.0,18.66,13.44,16.24,4,1
Kovai Paper Mills,Coimbatore E-Hub,metal,6666.0,119.24,94.21,0.0,5,0
Kovai Paper Mills,Salem Steel,metal,1484.0,115.12,90.89,100.38,5,1
Kovai Paper Mills,Chennai Polymers,metal,9295.0,117.49,81.03,99.87,4,1
Kovai Paper Mills,Chennai Polymers,battery,2292.0,16.84,14.22,16.67,2,1
Tiruppur Textiles,Chennai Polymers,metal,4007.0,125.76,89.06,108.98,4,1
Tiruppur Textiles,Salem Steel,battery,8473.0,17.54,12.78,15.01,4,1
Electro-Recycle,Coimbatore E-Hub,plastic,2490.0,22.66,16.1,20.38,2,1
Electro-Recycle,Coimbatore E-Hub,metal,6088.0,120.3,94.63,114.29,3,1
Tiruppur Textiles,Salem Scrap Yard,plastic,4922.0,24.38,16.2,19.31,4,1
Kovai Paper Mills,Coimbatore E-Hub,textile,5024.0,17.63,13.88,15.01,4,1
EcoFibre Ltd,Salem Steel,paper,5732.0,17.7,13.26,15.8,4,1
Kovai Paper Mills,Chennai Polymers,battery,5373.0,17.31,13.45,15.22,5,1
Electro-Recycle,Chennai Polymers,plastic,6454.0,22.92,18.02,20.43,2,1
Tiruppur Textiles,Coimbatore E-Hub,textile,7222.0,19.16,13.25,16.59,5,1
Kovai Paper Mills,Salem Steel,battery,5047.0,19.33,12.32,16.11,3,1
Kovai Paper Mills,Salem Steel,metal,9466.0,124.72,92.72,112.82,2,1
Kovai Paper Mills,Coimbatore E-Hub,metal,1909.0,117.26,80.51,101.76,5,1
EcoFibre Ltd,Salem Scrap Yard,plastic,7583.0,22.88,18.92,20.69,3,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,3686.0,24.05,18.23,21.29,3,1
Electro-Recycle,Chennai Polymers,battery,3041.0,19.45,13.18,16.07,4,1
Kovai Paper Mills,Chennai Polymers,metal,5975.0,119.96,81.01,98.15,2,1
EcoFibre Ltd,Salem Scrap Yard,textile,8541.0,16.92,12.59,15.17,3,1
Tiruppur Textiles,Chennai Polymers,metal,3469.0,118.09,91.56,102.08,3,1
Kovai Paper Mills,Salem Steel,battery,3366.0,16.77,13.73,15.62,4,1
Electro-Recycle,Salem Steel,metal,4650.0,123.27,94.05,108.29,2,1
EcoFibre Ltd,Salem Scrap Yard,paper,2262.0,19.02,13.9,16.24,2,1
Tiruppur Textiles,Chennai Polymers,plastic,560.0,24.75,17.3,22.4,4,1
EcoFibre Ltd,Chennai Polymers,paper,8863.0,19.4,12.01,0.0,4,0
Tiruppur Textiles,Chennai Polymers,metal,4140.0,118.92,82.78,0.0,3,0
Electro-Recycle,Salem Scrap Yard,textile,2250.0,18.67,13.43,0.0,2,0
Electro-Recycle,Salem Scrap Yard,metal,5306.0,129.99,88.34,0.0,3,0
EcoFibre Ltd,Coimbatore E-Hub,textile,8186.0,17.39,14.08,16.24,4,1
Electro-Recycle,Salem Steel,plastic,8193.0,24.39,16.69,20.49,5,1
Electro-Recycle,Chennai Polymers,battery,3483.0,17.82,12.91,15.97,5,1
Tiruppur Textiles,Chennai Polymers,metal,9184.0,122.32,83.49,103.86,4,1
EcoFibre Ltd,Salem Steel,battery,4310.0,16.71,12.02,0.0,5,0
Electro-Recycle,Chennai Polymers,metal,7569.0,118.36,86.32,100.67,2,1
Tiruppur Textiles,Coimbatore E-Hub,textile,1665.0,17.39,13.92,15.96,5,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,4994.0,23.54,18.04,0.0,5,0
Tiruppur Textiles,Chennai Polymers,textile,9630.0,18.27,14.21,16.35,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,6190.0,17.7,13.89,16.21,3,1
Tiruppur Textiles,Salem Steel,metal,7774.0,113.53,83.31,100.09,3,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,2413.0,24.1,16.78,20.07,4,1
EcoFibre Ltd,Chennai Polymers,battery,8406.0,17.17,12.5,0.0,3,0
Electro-Recycle,Chennai Polymers,battery,9679.0,17.93,12.1,0.0,3,0
Tiruppur Textiles,Coimbatore E-Hub,plastic,1454.0,23.13,16.76,19.97,2,1
Tiruppur Textiles,Salem Scrap Yard,textile,5568.0,19.05,13.11,15.8,5,1
Electro-Recycle,Salem Steel,battery,2091.0,18.49,13.22,16.04,5,1
Kovai Paper Mills,Salem Scrap Yard,plastic,2204.0,23.34,16.72,20.41,2,1
Electro-Recycle,Coimbatore E-Hub,paper,6650.0,19.14,14.16,17.12,3,1
Electro-Recycle,Chennai Polymers,metal,2903.0,121.12,91.35,105.95,5,1
Kovai Paper Mills,Chennai Polymers,battery,1636.0,18.18,12.26,15.12,4,1
EcoFibre Ltd,Chennai Polymers,metal,1935.0,122.65,93.98,108.88,2,1
Kovai Paper Mills,Salem Scrap Yard,paper,1765.0,19.34,12.37,16.19,3,1
EcoFibre Ltd,Salem Scrap Yard,battery,6853.0,19.11,14.19,17.09,2,1
Electro-Recycle,Coimbatore E-Hub,paper,2928.0,17.65,12.15,14.7,5,1
EcoFibre Ltd,Coimbatore E-Hub,metal,3856.0,128.89,81.53,108.59,2,1
Electro-Recycle,Chennai Polymers,textile,1598.0,17.16,12.19,0.0,4,0
EcoFibre Ltd,Salem Scrap Yard,paper,1488.0,19.33,12.94,0.0,4,0
Electro-Recycle,Chennai Polymers,textile,6126.0,17.73,14.01,0.0,5,0
Kovai Paper Mills,Salem Scrap Yard,metal,5890.0,119.43,88.15,101.78,5,1
Tiruppur Textiles,Chennai Polymers,textile,9211.0,18.81,13.9,16.64,5,1
Kovai Paper Mills,Salem Scrap Yard,metal,3446.0,113.71,86.93,104.31,3,1
Tiruppur Textiles,Salem Steel,paper,2375.0,17.79,12.45,14.79,3,1
EcoFibre Ltd,Salem Scrap Yard,battery,4288.0,16.95,13.05,14.99,3,1
EcoFibre Ltd,Coimbatore E-Hub,battery,5920.0,18.77,14.14,16.57,4,1
Tiruppur Textiles,Salem Scrap Yard,plastic,3617.0,22.57,17.5,20.32,3,1
Tiruppur Textiles,Salem Steel,metal,8532.0,120.35,81.32,100.03,5,1
Electro-Recycle,Salem Steel,metal,2209.0,123.86,92.32,107.83,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,9008.0,18.62,12.07,0.0,5,0
Kovai Paper Mills,Salem Steel,paper,8942.0,17.95,13.49,15.88,5,1
EcoFibre Ltd,Salem Steel,metal,1394.0,122.87,87.9,104.28,3,1
Kovai Paper Mills,Chennai Polymers,plastic,1766.0,22.88,18.93,21.03,5,1
Tiruppur Textiles,Coimbatore E-Hub,textile,5290.0,16.63,12.36,14.72,4,1
EcoFibre Ltd,Coimbatore E-Hub,battery,6736.0,17.76,12.46,14.21,4,1
EcoFibre Ltd,Chennai Polymers,metal,1456.0,126.92,89.43,110.8,5,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,7063.0,22.12,17.19,0.0,5,0
EcoFibre Ltd,Salem Scrap Yard,metal,1894.0,115.68,85.39,98.52,2,1
Electro-Recycle,Salem Steel,paper,7395.0,18.31,13.42,0.0,3,0
Electro-Recycle,Chennai Polymers,textile,5148.0,17.24,13.96,15.95,2,1
Electro-Recycle,Salem Steel,plastic,8719.0,23.03,17.97,18.79,4,1
Kovai Paper Mills,Salem Scrap Yard,paper,7562.0,17.86,12.53,14.25,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,7615.0,18.62,12.38,15.61,5,1
Electro-Recycle,Chennai Polymers,textile,4068.0,18.62,13.0,15.89,4,1
EcoFibre Ltd,Salem Steel,metal,1468.0,120.62,94.05,110.6,2,1
Electro-Recycle,Salem Steel,textile,5678.0,17.45,13.14,15.71,4,1
Electro-Recycle,Salem Steel,paper,6794.0,16.59,12.69,0.0,5,0
Kovai Paper Mills,Coimbatore E-Hub,metal,8820.0,124.62,82.34,0.0,4,0
EcoFibre Ltd,Salem Steel,metal,8205.0,127.38,88.56,104.31,5,1
Tiruppur Textiles,Salem Steel,paper,3572.0,17.15,13.48,16.05,3,1
EcoFibre Ltd,Salem Steel,plastic,8348.0,25.97,18.26,21.43,2,1
Tiruppur Textiles,Coimbatore E-Hub,paper,3673.0,17.48,13.5,15.76,2,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,1867.0,23.19,17.95,20.99,2,1
Kovai Paper Mills,Salem Steel,textile,3375.0,18.15,13.34,14.78,3,1
Electro-Recycle,Salem Scrap Yard,metal,9653.0,119.27,85.7,0.0,3,0
EcoFibre Ltd,Salem Steel,paper,1677.0,16.83,12.34,13.85,5,1
Kovai Paper Mills,Coimbatore E-Hub,metal,7070.0,110.36,82.94,0.0,4,0
Tiruppur Textiles,Salem Scrap Yard,plastic,9406.0,23.52,16.59,19.22,3,1
Kovai Paper Mills,Chennai Polymers,paper,4110.0,19.29,13.2,16.2,5,1
Kovai Paper Mills,Salem Steel,metal,7287.0,126.46,87.84,105.53,4,1
EcoFibre Ltd,Chennai Polymers,metal,5547.0,129.26,87.25,109.8,4,1
Kovai Paper Mills,Salem Scrap Yard,textile,6784.0,18.3,13.84,15.94,2,1
Kovai Paper Mills,Salem Steel,plastic,6795.0,23.41,16.71,20.3,2,1
Kovai Paper Mills,Coimbatore E-Hub,paper,7727.0,18.51,13.82,15.91,4,1
Electro-Recycle,Chennai Polymers,battery,3679.0,19.09,12.49,15.98,2,1
Tiruppur Textiles,Coimbatore E-Hub,battery,1487.0,17.12,13.44,15.61,2,1
EcoFibre Ltd,Salem Scrap Yard,battery,4858.0,18.59,12.91,15.14,3,1
Tiruppur Textiles,Chennai Polymers,battery,2849.0,16.81,13.63,14.49,3,1
Tiruppur Textiles,Chennai Polymers,paper,572.0,17.47,12.51,15.24,2,1
Tiruppur Textiles,Chennai Polymers,paper,4213.0,18.51,12.16,14.73,5,1
EcoFibre Ltd,Salem Scrap Yard,textile,7926.0,17.07,12.12,14.97,5,1
Tiruppur Textiles,Coimbatore E-Hub,metal,4711.0,111.2,88.43,96.84,5,1
EcoFibre Ltd,Chennai Polymers,paper,4219.0,18.89,14.09,16.77,2,1
Electro-Recycle,Salem Scrap Yard,textile,6599.0,19.28,13.21,16.28,3,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,1512.0,25.3,18.35,22.56,3,1
Kovai Paper Mills,Chennai Polymers,metal,2908.0,111.75,94.05,97.39,5,1
EcoFibre Ltd,Salem Scrap Yard,metal,4906.0,113.24,91.79,0.0,4,0
Tiruppur Textiles,Salem Scrap Yard,metal,4607.0,128.61,81.75,103.86,5,1
EcoFibre Ltd,Salem Steel,battery,8193.0,16.74,12.91,15.35,3,1
Electro-Recycle,Salem Steel,paper,6597.0,18.42,13.85,0.0,3,0
EcoFibre Ltd,Chennai Polymers,paper,3030.0,17.7,12.33,15.38,2,1
Tiruppur Textiles,Salem Steel,paper,1036.0,17.2,12.18,14.5,5,1
EcoFibre Ltd,Salem Scrap Yard,metal,3536.0,112.11,89.61,101.77,2,1
EcoFibre Ltd,Salem Scrap Yard,battery,6930.0,16.68,13.76,14.91,4,1
Electro-Recycle,Salem Scrap Yard,plastic,5578.0,22.96,16.43,19.66,2,1
EcoFibre Ltd,Coimbatore E-Hub,paper,9300.0,18.03,14.24,16.33,5,1
Kovai Paper Mills,Salem Scrap Yard,metal,8370.0,119.0,82.92,104.53,4,1
EcoFibre Ltd,Salem Steel,textile,6640.0,18.81,12.02,15.16,3,1
Tiruppur Textiles,Salem Steel,metal,6507.0,120.71,83.23,94.2,2,1
Tiruppur Textiles,Chennai Polymers,textile,2885.0,16.69,12.1,13.77,4,1
Kovai Paper Mills,Salem Scrap Yard,textile,8461.0,16.88,13.95,15.07,5,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,3993.0,23.57,18.87,21.5,3,1
Tiruppur Textiles,Chennai Polymers,metal,8933.0,110.77,93.53,102.65,2,1
Electro-Recycle,Salem Steel,battery,7369.0,18.41,13.38,15.91,4,1
Kovai Paper Mills,Chennai Polymers,textile,9723.0,16.63,12.19,14.07,4,1
Electro-Recycle,Salem Scrap Yard,battery,3211.0,16.61,13.14,14.53,5,1
Electro-Recycle,Coimbatore E-Hub,battery,9254.0,17.02,12.22,13.6,3,1
Kovai Paper Mills,Salem Scrap Yard,metal,7011.0,129.36,84.43,108.72,3,1
Electro-Recycle,Chennai Polymers,paper,7479.0,18.82,13.45,16.73,3,1
Electro-Recycle,Salem Steel,metal,2696.0,112.5,87.12,99.7,5,1
Kovai Paper Mills,Salem Scrap Yard,paper,9214.0,16.63,12.25,13.98,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,5441.0,17.82,13.38,15.5,3,1
Tiruppur Textiles,Coimbatore E-Hub,metal,5841.0,127.23,92.7,109.13,2,1
Tiruppur Textiles,Chennai Polymers,textile,801.0,18.69,13.75,15.75,3,1
Tiruppur Textiles,Salem Steel,paper,4037.0,16.82,13.54,15.41,5,1
Electro-Recycle,Coimbatore E-Hub,battery,4683.0,17.53,12.93,15.59,4,1
Electro-Recycle,Coimbatore E-Hub,textile,6426.0,18.23,13.97,16.48,2,1
EcoFibre Ltd,Salem Steel,plastic,6495.0,24.91,18.98,21.82,3,1
Tiruppur Textiles,Salem Steel,textile,4467.0,18.95,13.38,15.78,3,1
Tiruppur Textiles,Chennai Polymers,paper,3479.0,16.52,13.71,14.46,4,1
EcoFibre Ltd,Salem Scrap Yard,battery,1624.0,16.87,12.87,14.37,5,1
Kovai Paper Mills,Salem Steel,battery,7821.0,17.67,12.93,14.61,2,1
Tiruppur Textiles,Coimbatore E-Hub,paper,3792.0,18.43,12.15,15.86,5,1
Kovai Paper Mills,Salem Scrap Yard,metal,1093.0,122.04,80.34,104.46,4,1
Tiruppur Textiles,Salem Scrap Yard,metal,5593.0,114.2,92.38,99.03,4,1
Kovai Paper Mills,Salem Steel,plastic,9898.0,22.94,17.11,20.49,3,1
Tiruppur Textiles,Salem Steel,paper,1159.0,18.86,12.27,0.0,3,0
Kovai Paper Mills,Coimbatore E-Hub,plastic,3971.0,22.81,17.7,20.69,3,1
Tiruppur Textiles,Coimbatore E-Hub,textile,3110.0,19.32,12.58,16.7,3,1
Tiruppur Textiles,Chennai Polymers,textile,2596.0,17.81,14.11,16.37,3,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,3339.0,24.92,18.3,22.47,3,1
Kovai Paper Mills,Salem Scrap Yard,plastic,8210.0,25.69,17.42,20.98,3,1
Kovai Paper Mills,Salem Scrap Yard,metal,8396.0,125.53,80.98,0.0,2,0
Electro-Recycle,Salem Scrap Yard,metal,2797.0,121.24,85.19,0.0,3,0
EcoFibre Ltd,Salem Scrap Yard,battery,1671.0,16.88,13.98,15.1,2,1
Kovai Paper Mills,Salem Scrap Yard,plastic,4760.0,25.93,16.77,20.68,5,1
Electro-Recycle,Chennai Polymers,textile,7088.0,16.84,12.34,14.85,5,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,1072.0,25.44,18.17,21.91,2,1
EcoFibre Ltd,Salem Steel,metal,4148.0,118.57,82.11,99.24,3,1
EcoFibre Ltd,Salem Steel,metal,4250.0,120.91,80.93,0.0,3,0
Electro-Recycle,Coimbatore E-Hub,plastic,5555.0,23.36,18.62,21.02,3,1
EcoFibre Ltd,Salem Scrap Yard,textile,2249.0,16.98,12.57,14.81,5,1
Electro-Recycle,Salem Steel,plastic,6379.0,23.86,18.73,21.68,2,1
Electro-Recycle,Salem Steel,paper,7244.0,17.69,12.21,14.34,5,1
Kovai Paper Mills,Salem Scrap Yard,paper,5916.0,18.23,13.43,15.71,4,1
Electro-Recycle,Salem Scrap Yard,metal,7471.0,123.92,91.9,0.0,4,0
Electro-Recycle,Salem Scrap Yard,plastic,3700.0,22.13,17.09,19.35,5,1
Electro-Recycle,Chennai Polymers,paper,7633.0,18.35,12.19,15.36,3,1
Tiruppur Textiles,Coimbatore E-Hub,textile,5608.0,18.5,13.43,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,battery,8938.0,16.89,13.55,14.99,3,1
Tiruppur Textiles,Salem Scrap Yard,textile,764.0,18.96,13.22,16.34,4,1
Tiruppur Textiles,Coimbatore E-Hub,metal,3490.0,123.03,84.71,106.08,5,1
EcoFibre Ltd,Salem Scrap Yard,textile,6799.0,18.98,12.23,15.35,2,1
EcoFibre Ltd,Chennai Polymers,battery,5933.0,18.34,12.98,16.37,5,1
Electro-Recycle,Coimbatore E-Hub,battery,9415.0,18.72,12.24,15.71,4,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,6279.0,22.91,18.51,0.0,5,0
Electro-Recycle,Salem Steel,textile,6870.0,18.79,12.92,0.0,5,0
Kovai Paper Mills,Chennai Polymers,plastic,2287.0,24.66,16.78,20.88,4,1
EcoFibre Ltd,Salem Scrap Yard,paper,5096.0,18.14,12.86,15.79,3,1
Electro-Recycle,Salem Scrap Yard,plastic,8972.0,23.69,16.08,20.21,5,1
Electro-Recycle,Salem Steel,plastic,2031.0,24.54,17.35,21.48,5,1
Tiruppur Textiles,Salem Scrap Yard,plastic,785.0,22.18,17.7,20.44,2,1
Electro-Recycle,Salem Steel,plastic,6327.0,22.26,18.63,20.11,3,1
EcoFibre Ltd,Salem Steel,plastic,3698.0,24.5,17.59,20.74,5,1
Kovai Paper Mills,Salem Steel,metal,1992.0,120.43,80.95,103.08,5,1
Kovai Paper Mills,Chennai Polymers,textile,2544.0,18.08,12.07,14.84,3,1
Electro-Recycle,Coimbatore E-Hub,plastic,7248.0,22.68,18.84,20.9,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,2346.0,18.04,12.23,15.02,3,1
Kovai Paper Mills,Salem Steel,battery,9802.0,17.72,14.01,14.78,3,1
Kovai Paper Mills,Salem Steel,metal,4878.0,112.8,84.15,94.26,4,1
Kovai Paper Mills,Salem Scrap Yard,plastic,7296.0,24.15,18.56,21.31,2,1
Electro-Recycle,Salem Scrap Yard,paper,5197.0,17.89,12.99,0.0,3,0
Tiruppur Textiles,Salem Scrap Yard,textile,5412.0,18.35,12.26,0.0,4,0
Electro-Recycle,Chennai Polymers,textile,6323.0,18.61,14.23,16.24,2,1
Electro-Recycle,Salem Scrap Yard,textile,6632.0,17.27,13.52,15.1,2,1
Electro-Recycle,Salem Scrap Yard,metal,5115.0,127.26,80.03,106.08,2,1
EcoFibre Ltd,Salem Steel,metal,5943.0,117.68,86.84,103.87,3,1
