city,population,waste_generation,industry_count,land_price,transport_score,recyclers_count,roi_prediction
Salem,2642840.6,13055.3,953,20762.4,8.2,13,1512.73
Erode,823699.3,13388.9,905,41759.7,9.3,4,5030.7
Chennai,5715583.4,1316.4,66,29064.1,7.3,1,1948.53
Erode,5726937.9,5886.2,490,3954.2,3.5,8,1110.34
Salem,1300670.5,5167.8,1165,10089.2,5.2,10,786.61
Salem,4877420.8,1350.5,60,13177.8,5.1,1,2023.13
Tiruppur,2821457.1,12244.2,751,13651.2,2.2,3,6140.58
Erode,7553988.7,6366.3,728,28376.9,4.8,8,1197.76
Coimbatore,4636909.0,2639.5,1035,18187.9,8.3,1,4055.48
Chennai,4955980.4,5837.2,846,38211.1,8.5,2,4396.93
Tiruppur,3611146.3,4246.4,842,39183.1,8.3,5,1280.92
Chennai,4665737.8,11581.0,696,34554.5,4.4,5,3477.48
Tiruppur,1468695.6,14320.0,736,10910.8,8.9,8,2695.36
Coimbatore,3186220.4,1880.7,173,23421.1,5.3,3,936.65
Chennai,2808329.3,12282.5,255,26120.3,8.9,9,2047.57
Tiruppur,1505114.2,626.0,872,29492.5,8.2,7,142.29
Salem,7853470.4,9199.7,817,25857.1,1.8,2,6917.95
Salem,4605847.3,6873.5,1039,14812.3,5.7,1,10404.48
Erode,6473538.3,6998.3,804,13104.5,5.1,2,5284.83
Erode,3105600.6,3295.1,62,12326.3,1.7,9,547.79
Chennai,1541203.8,9684.9,379,31949.6,4.7,3,4839.3
Chennai,5506683.0,2750.3,653,11625.5,8.4,2,2098.47
Salem,3107144.1,670.7,857,7187.3,5.1,10,109.54
Coimbatore,1465613.0,5085.5,1116,5968.5,5.3,6,1291.09
Chennai,7406543.0,1104.0,1069,39336.9,1.8,3,563.44
Erode,7896927.5,8141.5,75,22834.5,6.6,7,1742.45
Coimbatore,6106032.0,742.9,902,32674.0,9.1,14,83.64
Chennai,4490851.1,1786.1,825,24902.5,3.2,9,302.56
Erode,1867129.1,8546.7,105,16082.4,2.1,1,12805.63
Erode,4951943.4,10250.7,86,29899.4,5.3,4,3835.87
Coimbatore,4683067.0,8880.7,767,7486.0,3.6,6,2232.54
Salem,5344379.3,8647.5,334,44420.2,6.5,1,12938.42
Erode,1263368.5,2462.3,643,8909.3,2.7,14,267.81
Tiruppur,1101753.1,7962.8,1083,31969.3,10.0,6,2003.9
Coimbatore,4819988.1,13777.5,665,43927.9,5.4,6,3443.96
Chennai,6656461.0,10833.2,734,26579.3,3.5,12,1356.86
Erode,1902828.1,4990.5,743,23827.2,3.2,1,7523.46
Coimbatore,6258346.3,1491.9,158,42076.6,3.9,3,727.7
Tiruppur,3269228.6,6923.2,280,4725.1,9.9,13,802.92
Coimbatore,1159010.8,2254.6,348,34689.8,6.4,8,421.2
Chennai,3116512.0,13957.0,337,34076.9,4.7,5,4183.49
Chennai,7537553.4,2882.2,532,33868.2,6.2,13,333.11
Chennai,6464504.8,3184.1,817,37480.7,2.7,3,1597.41
Chennai,5253189.2,13636.4,620,39719.6,4.5,8,2556.63
Chennai,5180761.6,8188.8,594,23617.0,3.1,1,12306.12
Coimbatore,4576646.5,13615.8,1082,7026.6,9.5,7,2935.85
Chennai,3011792.1,2261.2,1058,39781.1,5.5,14,245.51
Chennai,6414479.1,2444.8,1140,32400.2,8.0,1,3744.41
Salem,4774172.6,11484.4,884,6425.4,5.8,4,4330.63
Erode,1456165.0,6079.9,66,19585.1,7.9,11,828.64
Chennai,5704613.3,8232.3,88,37552.3,9.6,8,1539.49
Coimbatore,7604625.0,2469.6,160,7982.0,1.9,1,3711.11
Salem,4947221.8,1712.7,1027,31956.0,9.3,8,330.06
Coimbatore,6284350.0,5741.6,1033,5324.8,1.9,9,967.99
Chennai,3881295.3,1875.9,439,7360.5,9.3,6,479.26
Chennai,4934565.8,6105.2,988,34002.7,2.9,9,1022.07
Erode,5027911.5,1891.2,263,25108.0,9.3,2,1422.65
Coimbatore,4106277.3,13793.1,659,11658.0,5.1,3,6916.68
Tiruppur,4237758.3,6400.1,196,35561.3,3.5,10,956.09
Salem,2095105.9,7824.6,868,43326.0,2.3,6,1957.53
Salem,4513022.9,2930.1,346,27601.6,1.6,7,625.73
Chennai,2074291.9,13491.2,51,22134.0,6.6,13,1555.45
Chennai,992814.8,11677.8,1029,24548.8,5.0,2,8793.95
Chennai,1664301.8,2892.5,944,5246.6,7.8,10,444.99
Coimbatore,7230728.1,7993.4,106,44094.1,8.6,7,1706.06
Erode,3559883.7,8365.5,462,23736.8,6.4,9,1396.58
Erode,1839085.0,9860.6,1026,32995.0,8.2,8,1857.06
Chennai,7719869.9,14177.3,201,10814.3,3.6,2,10638.55
Coimbatore,1141314.0,3276.7,166,7279.4,8.9,13,380.63
Salem,5779596.0,13677.2,728,16698.1,3.3,2,10283.46
Chennai,4927212.1,4167.3,280,16843.3,8.0,9,697.02
Coimbatore,6958010.1,3448.8,873,35529.6,2.0,14,371.18
Chennai,7209141.7,12037.9,740,22845.5,5.6,9,2011.64
Coimbatore,5251086.6,4016.7,513,44329.3,5.7,13,462.14
Coimbatore,2542304.9,472.2,1189,24775.5,8.3,9,89.64
Coimbatore,4656335.0,9841.0,607,10876.1,1.1,5,2960.87
Chennai,7250139.8,13133.6,187,12781.4,6.7,5,3943.39
Coimbatore,7358089.6,6397.8,721,24313.5,1.4,12,802.1
Chennai,1882781.9,1537.0,813,4934.7,8.5,11,218.8
Salem,5892844.3,4597.4,117,19055.9,9.6,6,1150.54
Erode,4128162.1,4194.7,770,13277.4,6.4,11,578.61
Tiruppur,4222746.9,9033.3,501,28803.3,5.3,9,1506.76
Tiruppur,3136551.2,6309.3,80,31601.3,4.9,7,1346.57
Chennai,6643267.4,12031.4,191,43611.1,1.0,12,1498.55
Chennai,2859474.2,12150.0,836,7883.2,9.6,7,2618.03
Tiruppur,1888497.0,8220.1,235,34610.9,6.8,1,12308.11
Erode,5692074.2,12768.1,485,23045.3,3.0,10,1916.5
Tiruppur,7580445.0,783.5,797,27295.3,10.0,10,123.54
Erode,4049075.9,4830.3,354,31989.1,3.7,8,903.71
Coimbatore,3663219.9,11971.1,1009,4360.0,5.1,11,1642.42
Coimbatore,5334099.9,9822.5,1195,11890.4,2.1,2,7418.37
Chennai,5722165.8,5230.1,202,19392.9,6.2,8,981.02
Tiruppur,4538011.2,9992.5,741,24367.2,4.8,12,1252.59
Coimbatore,683005.9,13077.5,433,2010.2,2.7,2,9832.41
Chennai,1025222.8,340.4,48,34989.1,4.6,5,92.31
Salem,5206291.0,13130.4,396,35035.8,4.8,7,2811.69
Salem,6031867.3,3733.9,22,22094.4,3.7,2,2785.86
Salem,5866649.9,8918.8,451,2768.6,9.9,9,1494.71
Tiruppur,3437226.1,2041.7,206,42848.3,8.1,11,275.06
Salem,3631855.8,13211.0,30,40860.1,9.9,7,2824.62
Salem,987398.1,6143.4,904,37717.6,2.1,11,839.76
Coimbatore,3380679.6,743.6,525,35522.1,4.2,5,222.29
Tiruppur,4386952.8,9039.7,438,34604.3,7.3,8,1694.94
Chennai,6618748.4,3521.7,1163,34158.5,1.3,4,1333.79
Erode,1186151.3,13186.4,654,7569.1,9.0,9,2206.82
Coimbatore,6965957.1,12180.8,59,42058.3,7.6,2,9109.85
Salem,3295163.9,4044.4,933,5485.0,3.0,13,473.79
Salem,1070981.4,12797.9,1083,39965.0,5.6,3,6414.97
Coimbatore,4784892.1,9999.3,59,26326.5,3.4,6,2494.01
Chennai,7011206.0,3830.2,590,39293.7,7.4,11,522.87
Erode,5731036.0,10266.1,210,32056.6,2.7,5,3073.09
Chennai,7709864.7,7089.0,1074,37510.1,2.2,11,970.31
Erode,6076311.9,2579.2,375,25915.8,7.8,12,323.49
Coimbatore,2652786.0,9330.5,1156,26073.3,2.0,2,7033.19
Salem,568043.0,12316.5,1027,6600.2,7.8,10,1859.17
Tiruppur,7722440.0,5259.7,591,9718.4,7.8,6,1326.08
Salem,1803151.1,11608.6,750,9154.2,7.9,1,17497.44
Coimbatore,4051804.2,1057.2,1163,3966.9,8.8,13,132.7
Salem,6122388.7,2125.3,400,18495.3,1.6,1,3196.49
Chennai,2393815.6,215.2,757,44876.4,4.8,13,25.06
Tiruppur,1727178.7,11963.2,176,14830.1,8.6,14,1283.05
Salem,5408834.1,4244.2,868,43419.2,1.3,13,490.06
Erode,7321433.8,12888.9,103,19096.6,3.5,3,6439.21
Chennai,3570005.0,13432.7,1028,30021.7,4.3,12,1683.91
Chennai,7761450.7,2945.8,539,35149.6,8.6,4,1108.09
Chennai,6475983.7,4553.7,397,28516.0,8.2,9,760.2
Tiruppur,5054798.4,3863.6,540,10622.6,5.4,6,974.52
Erode,2517450.5,12003.9,414,44327.1,2.3,5,3593.35
Coimbatore,5603424.7,6054.1,626,33041.2,6.9,9,1011.31
Tiruppur,7644864.8,13635.7,798,22661.8,1.9,1,20494.86
Salem,7899969.4,2308.9,611,22741.3,2.9,1,3489.14
Coimbatore,6318535.5,14130.3,21,24972.4,8.9,14,1512.78
Tiruppur,6683855.4,5495.5,1146,7706.8,6.1,14,597.41
Coimbatore,6504400.2,3162.2,906,30826.6,9.6,13,369.67
Chennai,7221659.8,9002.7,1116,4234.8,5.9,2,6813.86
Salem,7032268.4,10768.5,1127,16596.4,8.3,7,2323.06
Chennai,7211124.9,8304.4,41,21449.7,6.8,9,1382.39
Salem,5986921.4,1408.1,1033,27511.0,6.9,9,242.72
Erode,5118065.2,5069.5,769,16486.5,2.6,7,1093.91
Erode,5440308.3,7573.3,933,30090.3,4.0,8,1425.88
Tiruppur,4199576.4,1406.6,774,31249.8,1.6,1,2130.56
Salem,1806450.0,14419.6,976,38388.5,6.7,12,1806.12
Salem,6257929.2,7671.7,966,26883.0,4.9,5,2313.54
Coimbatore,4150017.1,13126.7,951,20134.0,3.5,3,6585.68
Coimbatore,7342725.1,3317.8,549,29157.1,7.6,3,1666.63
Coimbatore,5868687.2,13653.7,959,18032.5,5.6,5,4112.0
Erode,1018495.9,6670.0,400,21148.1,5.6,9,1113.61
Salem,4947131.4,2620.2,910,15422.4,4.6,3,1335.49
Erode,567728.0,8908.5,479,7627.6,9.7,11,1220.86
Coimbatore,1051225.6,2712.4,863,37642.0,4.9,4,1024.18
Chennai,7614375.2,3937.4,905,9207.6,1.3,5,1196.57
Erode,4501339.4,11770.5,175,39161.3,6.0,11,1601.45
Erode,756408.2,14803.1,988,24840.3,9.4,13,1714.36
Tiruppur,1415824.4,6892.5,1102,15594.7,5.6,14,745.52
Salem,1612574.0,14802.1,145,42927.9,6.8,9,2461.72
Chennai,4166349.4,10069.6,170,3288.9,3.8,2,7564.0
Coimbatore,5996741.9,2603.3,148,33425.7,2.4,6,643.54
Erode,7725101.2,3978.5,330,44081.1,4.4,14,423.42
Coimbatore,2331104.7,12497.0,322,26536.2,1.3,8,2341.13
Tiruppur,5671450.6,10212.4,1190,42457.6,8.4,5,3076.45
Tiruppur,1299447.7,9936.1,1029,28013.0,3.9,1,14964.56
Tiruppur,7950027.0,11335.9,608,14413.5,2.0,2,8521.4
Erode,6238931.5,13900.0,38,36737.4,7.9,9,2311.98
Chennai,7016754.7,5759.9,841,29910.2,4.0,1,8678.05
Salem,5073738.5,8538.9,847,25585.5,6.4,1,12864.16
Chennai,2204522.2,1283.3,886,9243.1,6.8,2,1009.4
Tiruppur,3348393.4,12977.3,835,38428.2,9.2,13,1500.38
Coimbatore,1316887.6,2405.1,323,26947.4,5.8,11,327.85
Coimbatore,5866181.8,7914.3,40,10418.5,1.1,5,2371.66
Salem,7659950.2,9889.5,70,4591.5,9.4,6,2477.49
Chennai,1260656.2,7390.9,1027,24492.6,7.0,13,858.82
Salem,4543709.6,4807.4,689,32794.5,3.5,4,1806.61
Coimbatore,1414145.7,2881.0,1151,9801.8,5.7,7,633.86
Tiruppur,4754841.6,3997.1,55,20254.7,1.8,6,994.49
Tiruppur,3301322.6,7992.2,578,42910.3,6.4,6,1997.12
Erode,7131548.5,3575.6,540,29804.1,2.6,9,596.31
Erode,7294183.3,11595.2,1092,12185.4,8.0,2,8752.84
Chennai,6883807.0,10137.1,876,6108.0,6.6,1,15304.16
Coimbatore,1647378.5,3681.5,1151,39100.3,3.0,1,5569.46
Erode,5314786.3,9185.0,669,13046.0,6.7,9,1537.97
Tiruppur,7908391.4,2219.3,656,32856.7,7.2,7,479.17
Salem,6640302.9,9127.6,1145,26870.6,3.5,14,983.17
Salem,1142436.9,13434.0,92,15905.0,3.0,9,2237.67
Salem,3818074.5,12511.6,975,36415.3,3.1,5,3760.58
Coimbatore,5600989.5,3616.3,77,16319.1,7.0,7,774.87
Salem,5463793.9,8455.2,373,21193.2,4.0,6,2115.29
Salem,1165755.5,14432.7,306,34458.0,2.5,10,2161.95
Tiruppur,6663548.3,218.3,999,22420.1,4.4,7,56.87
Salem,7806234.7,496.4,383,12477.2,7.0,4,195.65
Coimbatore,6409264.9,12997.4,1032,37520.9,8.0,2,9776.16
Erode,771202.9,4686.3,133,16692.0,4.4,2,3512.43
Chennai,2292915.0,7743.9,854,19070.2,5.0,4,2920.18
Coimbatore,4367595.7,13807.0,162,44662.8,8.7,10,2066.77
Salem,7479464.1,1922.2,613,29001.9,7.1,10,291.14
Chennai,6425228.3,4709.3,92,15868.7,1.2,11,640.51
Coimbatore,2177108.3,14368.4,285,37366.7,2.2,6,3585.67
Tiruppur,7420678.9,7408.5,1153,40625.2,8.5,4,2794.11
Chennai,7645981.5,12413.0,1160,7235.8,5.3,4,4684.89
Tiruppur,2244135.2,1383.5,1055,43530.4,4.9,13,162.37
Salem,3796337.7,1763.8,409,2014.3,1.2,2,1343.34
Salem,3235986.6,5919.6,797,11105.5,5.4,2,4477.84
Erode,5146233.1,4600.9,1002,12284.7,2.3,9,776.1
Salem,2774563.6,1695.5,1123,31739.6,6.6,4,653.75
Tiruppur,2244841.5,3467.9,839,30196.1,8.6,2,2627.77
Erode,7149531.6,6856.8,502,17813.7,4.7,14,736.88
Erode,3403090.7,14464.6,405,7753.6,4.8,6,3623.09
Erode,6202173.7,2229.2,920,11253.7,1.1,2,1708.6
Erode,7819053.2,12062.7,192,3833.2,4.3,1,18120.86
Salem,5345675.9,7590.1,202,8417.2,2.1,2,5698.04
Salem,2326084.8,9845.3,573,35755.7,9.0,9,1642.82
Tiruppur,5440191.1,14153.9,1173,20816.9,3.3,10,2131.8
Coimbatore,788197.6,13546.1,808,37480.7,5.5,8,2543.01
Chennai,3875933.2,3559.1,975,21376.6,8.9,5,1084.93
Salem,4341664.4,10267.4,864,3634.9,7.7,1,15507.19
Erode,6515979.2,1759.4,1060,43129.6,7.6,10,268.56
Salem,3122774.2,11664.9,518,9963.4,2.6,5,3507.63
Erode,5452270.4,11512.7,157,2900.6,1.7,12,1440.42
Tiruppur,2715835.8,11584.5,940,43967.6,7.0,3,5802.45
Tiruppur,2415601.1,4058.6,188,43272.5,5.3,2,3019.33
Coimbatore,6490356.4,4533.8,789,27880.9,6.2,12,570.47
Coimbatore,1460718.1,5206.4,955,27736.9,1.9,8,982.01
Chennai,4625689.6,5952.1,809,13773.0,9.4,12,751.18
Chennai,7151936.8,9758.0,141,37085.7,8.8,1,14607.56
Salem,7391949.0,3933.2,1041,21803.2,8.6,8,748.78
Salem,903936.6,4936.9,681,44340.8,9.4,13,570.6
Erode,1736111.1,2149.6,482,5950.4,9.7,3,1098.19
Salem,5996011.6,8225.1,715,28313.4,2.0,7,1765.63
Erode,1203176.9,8742.2,1171,20653.4,2.4,10,1319.76
Tiruppur,6062840.5,13245.5,1147,10340.0,8.9,2,9996.72
Chennai,2831967.0,11186.8,321,28487.4,2.7,9,1862.74
Erode,4540217.5,7957.6,253,34722.6,1.3,1,11896.8
Tiruppur,7685551.1,5645.5,606,34519.4,8.6,6,1414.98
Chennai,7972507.5,5651.0,1175,33049.1,9.0,3,2853.1
Coimbatore,3436442.7,6306.8,890,2138.4,6.6,4,2391.99
Salem,6456480.0,1576.3,1162,39593.3,5.6,3,806.99
Erode,4849878.4,8510.0,919,4270.6,5.4,14,919.08
Coimbatore,5016092.3,539.4,934,23425.0,1.7,6,143.6
Erode,6094439.1,14733.1,1160,35910.4,5.7,13,1704.9
Salem,1417825.7,11085.5,500,5809.8,3.0,11,1516.1
Salem,6017473.4,14975.5,1039,14876.1,2.6,6,3757.74
Salem,4221247.9,2838.1,418,19625.9,8.6,11,389.97
Tiruppur,7627345.6,3203.5,519,17576.1,4.0,13,372.0
Chennai,681438.2,12509.1,729,24277.4,3.7,5,3760.19
Chennai,2444725.7,6558.9,600,38203.1,2.7,1,9831.34
Erode,3936401.7,7347.9,657,33301.4,5.5,1,11040.14
Tiruppur,552719.0,1047.7,705,28239.7,2.2,4,398.35
Tiruppur,7674609.7,1220.6,895,3917.6,1.3,7,273.88
Chennai,2567092.5,11849.5,925,13693.8,7.8,10,1786.67
Tiruppur,6325329.2,1167.4,615,28647.1,6.1,5,355.31
Salem,2863921.4,11623.5,1113,40692.8,1.2,8,2183.67
Chennai,7725458.3,8490.5,218,18918.3,8.5,8,1593.66
Tiruppur,4208608.5,14697.4,1174,33181.7,2.7,1,22106.59
Chennai,2815240.6,14216.1,464,6906.1,2.4,4,5341.26
Coimbatore,1166301.8,10319.6,308,24505.8,2.0,2,7734.12
Salem,5921107.3,1201.5,196,25372.1,1.7,6,296.19
Coimbatore,4135222.2,2653.5,41,38548.9,7.0,2,1965.89
Chennai,5382301.0,8272.4,363,35839.7,2.0,11,1125.48
Coimbatore,7835463.6,11951.0,580,10658.6,3.3,4,4493.73
Coimbatore,2976613.0,11399.9,233,2771.7,2.1,6,2854.19
Salem,7029338.2,3734.2,1020,26087.8,7.8,1,5678.25
Coimbatore,989034.4,7066.2,1087,25164.2,5.5,6,1779.47
Salem,3887726.1,6081.2,728,43472.5,2.8,10,911.76
Salem,6446408.1,8748.4,1115,36310.3,4.6,14,941.24
Coimbatore,1684661.2,10499.3,405,15620.8,8.7,3,5262.91
Chennai,2576783.7,14756.1,948,27718.8,1.3,8,2772.26
Erode,5994764.3,12341.6,632,20933.9,6.5,6,3092.77
Chennai,7118122.8,12093.3,833,15745.7,9.9,13,1402.03
Erode,5509400.0,9593.1,943,39922.9,4.8,7,2060.16
Chennai,5651457.5,1576.9,215,32932.2,9.0,14,168.03
Erode,7800930.4,5185.2,284,37219.7,5.9,3,2584.12
Salem,2857625.8,7173.3,962,30021.7,3.8,8,1351.18
Coimbatore,6644413.3,13221.4,1005,12506.6,2.0,10,1991.46
Tiruppur,2299055.8,2301.2,60,33805.9,2.7,11,309.06
Tiruppur,3766290.9,8743.3,292,38182.2,5.2,11,1189.65
Chennai,733367.0,11141.6,1109,15541.5,1.0,7,2399.4
Tiruppur,5414618.1,14877.8,874,5314.4,4.1,10,2240.77
Tiruppur,2116474.0,5533.6,552,3427.1,3.7,14,597.27
Salem,7537286.1,13093.8,570,36718.0,1.5,2,9814.83
Chennai,7303962.7,10126.8,426,9270.5,4.5,14,1087.86
Salem,3362089.5,2107.0,615,2774.0,4.8,14,230.94
Coimbatore,7746825.6,2086.3,102,43829.4,8.4,3,1027.18
Tiruppur,6795956.8,14730.6,1106,26044.9,6.7,9,2464.19
Salem,5263168.3,6857.7,1163,32258.5,5.9,8,1294.85
Tiruppur,2314203.7,383.6,839,14954.4,6.4,3,217.24
Tiruppur,2749393.3,11199.3,87,39721.3,8.9,13,1289.18
Tiruppur,7917712.7,9467.4,1059,12298.9,8.2,14,1022.21
Salem,4871051.3,14932.5,680,4736.6,8.5,3,7495.64
Salem,1361997.5,1589.1,1078,37659.3,8.9,1,2447.3
Erode,5708378.4,1416.7,457,20687.6,8.0,9,239.69
Chennai,7193924.7,6762.0,251,42768.7,5.0,9,1122.24
Erode,5297041.7,10211.1,367,6481.7,4.5,13,1181.23
Chennai,5391681.9,14267.9,366,33974.5,5.6,7,3055.7
Tiruppur,521907.7,788.5,281,3962.9,2.3,12,100.91
Coimbatore,7786495.2,5103.9,772,28768.3,5.2,13,591.84
Salem,2052444.3,7845.3,1017,38727.8,1.4,8,1474.65
Chennai,6829434.6,4416.6,360,20857.2,3.0,10,662.96
Chennai,832908.3,4311.8,836,28533.9,2.0,3,2167.09
Chennai,4305589.5,13138.5,416,31043.1,1.4,11,1790.2
Erode,7470700.2,2645.0,38,19673.9,9.2,5,792.81
Erode,5059289.1,4778.7,621,43067.6,8.4,8,896.68
Tiruppur,5273010.3,956.8,1024,37672.3,1.4,4,366.76
Coimbatore,2425206.7,10046.3,658,30494.6,1.8,12,1256.73
Salem,7252409.5,6182.7,674,34243.6,4.7,13,714.58
Tiruppur,5348375.7,13343.0,929,29352.1,9.2,9,2231.21
Salem,1788863.6,9640.6,648,40805.5,1.6,14,1032.12
Coimbatore,587799.6,6446.1,438,21300.7,1.8,10,967.65
Erode,1422524.7,8467.9,242,22064.1,8.4,6,2118.53
Salem,3405444.4,12807.3,439,30937.6,3.5,5,3841.01
Coimbatore,4927141.6,3548.9,214,38875.2,9.2,7,757.06
Chennai,4866490.6,5693.4,1161,32340.2,7.2,7,1230.95
Coimbatore,1751451.5,6571.8,440,40274.2,4.1,4,2458.9
Chennai,690858.2,9758.2,1026,5083.6,4.7,1,14746.09
Tiruppur,5578404.8,9165.5,949,38194.1,6.2,6,2298.1
Tiruppur,1289443.9,2676.9,856,11824.9,9.8,3,1370.54
Chennai,1518417.9,1669.7,382,18683.4,2.4,2,1256.94
Chennai,1602963.9,7420.2,504,37925.7,4.3,12,926.67
Erode,4055048.2,6773.1,805,37548.4,9.9,13,784.58
Chennai,7708516.1,5964.3,128,43741.9,8.0,5,1779.94
Erode,4084088.4,8077.4,384,34761.8,8.5,3,4038.25
Chennai,2767499.4,4038.2,781,4478.8,4.1,12,511.72
Erode,7748130.4,8454.1,502,8472.4,8.4,4,3185.9
Chennai,6367912.5,11071.8,123,16010.4,8.1,3,5538.79
Erode,5981135.2,2390.2,536,22448.5,5.9,3,1204.85
Chennai,7320909.6,10887.7,1183,3633.2,7.7,7,2352.8
Salem,933057.9,10275.2,577,3481.8,9.7,3,5165.85
Chennai,4346768.1,1586.4,839,39132.5,6.3,10,240.72
Salem,2643376.7,3207.7,426,18621.2,5.6,9,537.39
Chennai,4829592.7,13010.5,993,21607.1,5.0,4,4897.34
Erode,4073625.4,14942.6,135,2136.2,6.8,1,22446.82
Chennai,2839243.1,3989.5,856,23948.6,6.6,7,863.6
Coimbatore,4076326.0,10378.3,702,39498.1,5.7,14,1112.77
Erode,3190366.4,12105.7,715,24728.9,8.1,3,6069.68
Chennai,2004882.6,14920.8,561,2615.6,7.6,9,2495.42
Erode,6053571.0,2314.2,667,35063.7,6.9,1,3492.09
Salem,5750257.0,1745.2,821,5338.9,4.7,14,193.25
