plant,equipment,power_usage,operating_hours,production,season,temperature
Tiruppur Weaving Plant,Pelletizer Extruder,407.89,2.8,2898.2,monsoon,33.6
Salem Compressed Scrap,Shredder Mill,1877.81,21.1,3864.4,monsoon,21.5
Tiruppur Weaving Plant,Hydraulic Baler,491.21,10.3,690.7,summer,37.7
Tiruppur Weaving Plant,Shredder Mill,874.59,9.5,5002.7,winter,36.3
Tiruppur Weaving Plant,Pelletizer Extruder,609.91,3.9,5602.5,winter,30.1
Coimbatore Sorting Hub,Shredder Mill,1008.47,9.4,9046.7,spring,30.4
Salem Compressed Scrap,Hydraulic Baler,1148.04,23.7,6254.9,summer,15.2
Salem Compressed Scrap,Compactor Press,922.44,20.7,1334.9,winter,19.7
Chennai Extrusion Center,Shredder Mill,439.73,3.8,5482.9,spring,33.8
Chennai Extrusion Center,Pelletizer Extruder,2909.19,23.5,5162.1,winter,33.1
Tiruppur Weaving Plant,Pelletizer Extruder,1786.57,14.2,5930.3,monsoon,37.6
Salem Compressed Scrap,Shredder Mill,1297.36,13.7,7218.7,winter,22.8
Tiruppur Weaving Plant,Pelletizer Extruder,713.55,5.4,5070.8,monsoon,31.0
Tiruppur Weaving Plant,Hydraulic Baler,620.26,14.1,2416.4,spring,36.9
Tiruppur Weaving Plant,Hydraulic Baler,930.28,17.0,7722.2,monsoon,27.8
Chennai Extrusion Center,Shredder Mill,1895.94,20.7,7586.8,winter,18.4
Salem Compressed Scrap,Hydraulic Baler,1085.67,22.6,2221.7,monsoon,40.0
Tiruppur Weaving Plant,Pelletizer Extruder,2505.58,19.6,8338.8,summer,37.0
Chennai Extrusion Center,Pelletizer Extruder,1676.86,13.5,3908.9,summer,30.9
Salem Compressed Scrap,Pelletizer Extruder,2782.84,21.8,6429.0,summer,35.2
Chennai Extrusion Center,Shredder Mill,683.0,7.1,9046.0,monsoon,29.4
Chennai Extrusion Center,Hydraulic Baler,977.15,18.1,7090.3,spring,36.4
Tiruppur Weaving Plant,Shredder Mill,1344.07,13.7,8992.0,spring,41.9
Chennai Extrusion Center,Hydraulic Baler,312.88,5.1,2443.2,winter,35.6
Chennai Extrusion Center,Pelletizer Extruder,1345.43,9.5,8301.9,monsoon,25.2
Chennai Extrusion Center,Shredder Mill,1242.14,13.9,5120.4,spring,34.5
Coimbatore Sorting Hub,Hydraulic Baler,880.32,16.1,7092.5,spring,34.3
Coimbatore Sorting Hub,Pelletizer Extruder,1205.9,9.5,2659.8,monsoon,27.5
Coimbatore Sorting Hub,Hydraulic Baler,365.98,5.4,6069.2,winter,17.7
Chennai Extrusion Center,Compactor Press,317.48,4.2,9228.1,summer,39.9
Salem Compressed Scrap,Hydraulic Baler,327.5,5.4,5974.7,winter,16.9
Coimbatore Sorting Hub,Pelletizer Extruder,860.02,6.1,8456.2,summer,38.5
Chennai Extrusion Center,Hydraulic Baler,772.24,15.0,4290.5,summer,35.1
Coimbatore Sorting Hub,Shredder Mill,447.27,4.5,4437.8,winter,39.8
Coimbatore Sorting Hub,Hydraulic Baler,572.57,9.6,7506.3,summer,30.9
Salem Compressed Scrap,Pelletizer Extruder,347.7,2.7,3459.0,summer,30.7
Coimbatore Sorting Hub,Pelletizer Extruder,461.46,2.3,6803.6,monsoon,41.3
Coimbatore Sorting Hub,Compactor Press,617.06,13.8,2252.4,monsoon,31.1
Tiruppur Weaving Plant,Pelletizer Extruder,2334.78,18.5,2494.1,monsoon,24.4
Tiruppur Weaving Plant,Pelletizer Extruder,2536.91,20.4,6080.8,summer,35.9
Chennai Extrusion Center,Pelletizer Extruder,1695.37,13.5,4687.2,winter,28.4
Salem Compressed Scrap,Shredder Mill,442.1,3.7,7655.8,winter,22.3
Coimbatore Sorting Hub,Pelletizer Extruder,1337.54,11.0,741.2,spring,37.7
Tiruppur Weaving Plant,Hydraulic Baler,413.74,7.6,2363.1,monsoon,15.5
Coimbatore Sorting Hub,Shredder Mill,1736.66,19.6,2196.2,summer,30.0
Salem Compressed Scrap,Pelletizer Extruder,1983.91,15.3,8165.1,spring,25.7
Tiruppur Weaving Plant,Pelletizer Extruder,878.27,6.5,3284.9,spring,17.3
Tiruppur Weaving Plant,Hydraulic Baler,377.59,4.7,8826.2,summer,26.4
Coimbatore Sorting Hub,Shredder Mill,1759.86,20.0,3747.3,winter,37.3
Salem Compressed Scrap,Shredder Mill,941.09,9.6,7851.4,summer,26.8
Salem Compressed Scrap,Hydraulic Baler,1161.05,22.9,7754.3,spring,18.1
Chennai Extrusion Center,Compactor Press,356.93,6.0,5105.4,summer,22.3
Salem Compressed Scrap,Pelletizer Extruder,1938.26,15.9,2949.9,winter,32.4
Tiruppur Weaving Plant,Shredder Mill,1576.64,17.2,6990.2,winter,39.7
Tiruppur Weaving Plant,Pelletizer Extruder,1873.26,14.7,3103.5,summer,25.9
Tiruppur Weaving Plant,Pelletizer Extruder,669.54,5.1,3005.0,monsoon,38.6
Salem Compressed Scrap,Pelletizer Extruder,1930.13,15.2,6817.8,monsoon,30.5
Coimbatore Sorting Hub,Pelletizer Extruder,1460.36,11.3,3861.8,winter,34.9
Chennai Extrusion Center,Shredder Mill,1380.13,15.3,2830.8,summer,37.6
Chennai Extrusion Center,Hydraulic Baler,846.51,15.4,9518.4,monsoon,32.9
Coimbatore Sorting Hub,Pelletizer Extruder,2232.46,18.1,2541.9,spring,29.6
Tiruppur Weaving Plant,Pelletizer Extruder,2797.27,23.0,1969.4,summer,35.8
Tiruppur Weaving Plant,Shredder Mill,407.05,3.7,7417.8,summer,34.0
Chennai Extrusion Center,Hydraulic Baler,252.85,3.7,522.2,monsoon,22.3
Coimbatore Sorting Hub,Compactor Press,504.22,9.9,1370.0,monsoon,41.0
Tiruppur Weaving Plant,Hydraulic Baler,364.09,3.9,9602.6,monsoon,34.8
Tiruppur Weaving Plant,Shredder Mill,1532.68,16.5,7076.6,winter,41.5
Chennai Extrusion Center,Pelletizer Extruder,514.83,3.1,6864.2,spring,34.1
Chennai Extrusion Center,Shredder Mill,616.21,6.0,5895.5,winter,23.4
Chennai Extrusion Center,Compactor Press,265.23,4.5,4506.7,summer,27.8
Coimbatore Sorting Hub,Compactor Press,953.81,20.6,3531.5,winter,32.4
Salem Compressed Scrap,Compactor Press,751.96,12.6,8907.5,monsoon,24.2
Chennai Extrusion Center,Hydraulic Baler,255.85,3.4,3495.3,summer,29.5
Tiruppur Weaving Plant,Compactor Press,676.32,11.4,8828.3,winter,15.7
Coimbatore Sorting Hub,Pelletizer Extruder,516.37,2.5,8809.7,summer,25.4
Salem Compressed Scrap,Hydraulic Baler,495.91,10.8,1371.1,monsoon,26.4
Tiruppur Weaving Plant,Shredder Mill,662.6,7.3,1549.5,winter,23.0
Tiruppur Weaving Plant,Shredder Mill,858.65,8.1,9148.2,monsoon,26.5
Tiruppur Weaving Plant,Shredder Mill,1511.05,17.0,2573.4,winter,36.5
Chennai Extrusion Center,Compactor Press,1025.12,21.5,6207.6,winter,31.6
Tiruppur Weaving Plant,Hydraulic Baler,1145.36,23.8,2700.9,spring,37.6
Coimbatore Sorting Hub,Pelletizer Extruder,419.07,3.0,4148.9,summer,20.0
Chennai Extrusion Center,Compactor Press,535.75,9.7,1049.5,monsoon,20.8
Tiruppur Weaving Plant,Shredder Mill,765.16,7.7,5394.9,winter,33.8
Salem Compressed Scrap,Hydraulic Baler,947.24,19.9,2632.2,spring,35.2
Salem Compressed Scrap,Hydraulic Baler,485.75,8.0,5028.4,monsoon,40.8
Salem Compressed Scrap,Pelletizer Extruder,2462.97,19.8,6724.8,summer,34.9
Coimbatore Sorting Hub,Compactor Press,774.48,17.3,963.4,winter,17.2
Salem Compressed Scrap,Compactor Press,792.74,17.0,1223.2,summer,16.7
Chennai Extrusion Center,Pelletizer Extruder,1893.16,14.6,6790.1,spring,30.3
Tiruppur Weaving Plant,Shredder Mill,1934.83,21.3,8075.5,spring,21.6
Tiruppur Weaving Plant,Hydraulic Baler,470.96,7.3,9335.9,spring,31.7
Coimbatore Sorting Hub,Compactor Press,374.81,5.5,8868.3,winter,27.6
Chennai Extrusion Center,Hydraulic Baler,208.51,2.0,5783.7,summer,28.7
Chennai Extrusion Center,Pelletizer Extruder,1096.75,8.3,6360.8,summer,30.1
Salem Compressed Scrap,Compactor Press,914.05,20.0,1720.3,monsoon,35.5
Coimbatore Sorting Hub,Shredder Mill,2058.06,23.2,3747.8,spring,19.8
Salem Compressed Scrap,Compactor Press,1029.59,19.0,9499.3,spring,34.1
Coimbatore Sorting Hub,Shredder Mill,1304.66,14.8,3785.9,winter,17.0
Chennai Extrusion Center,Hydraulic Baler,804.18,15.1,4144.3,summer,15.6
Coimbatore Sorting Hub,Hydraulic Baler,693.66,12.8,7818.9,winter,15.0
Salem Compressed Scrap,Shredder Mill,468.16,4.2,8615.0,monsoon,36.5
Tiruppur Weaving Plant,Hydraulic Baler,349.21,6.9,1282.6,winter,21.2
Tiruppur Weaving Plant,Hydraulic Baler,1184.61,23.2,7720.9,summer,41.6
Tiruppur Weaving Plant,Pelletizer Extruder,2660.94,21.7,2684.6,summer,20.4
Coimbatore Sorting Hub,Hydraulic Baler,670.43,12.4,5660.7,spring,20.0
Tiruppur Weaving Plant,Shredder Mill,1766.74,19.1,7823.8,winter,29.3
Coimbatore Sorting Hub,Hydraulic Baler,346.52,6.1,4889.9,winter,18.2
Tiruppur Weaving Plant,Pelletizer Extruder,2140.49,17.1,4587.9,winter,21.1
Tiruppur Weaving Plant,Shredder Mill,1324.09,15.0,4615.8,spring,27.3
Salem Compressed Scrap,Shredder Mill,412.49,3.6,4228.7,winter,41.3
Tiruppur Weaving Plant,Shredder Mill,2137.75,23.0,9124.3,monsoon,28.0
Salem Compressed Scrap,Shredder Mill,732.75,7.3,9873.3,spring,15.5
Tiruppur Weaving Plant,Pelletizer Extruder,2438.65,19.1,9441.8,summer,29.0
Tiruppur Weaving Plant,Shredder Mill,866.73,9.7,815.4,spring,24.7
Chennai Extrusion Center,Pelletizer Extruder,435.26,2.9,6868.7,spring,32.2
Chennai Extrusion Center,Hydraulic Baler,285.96,2.7,9394.0,monsoon,31.5
Salem Compressed Scrap,Pelletizer Extruder,2019.58,15.8,7942.5,monsoon,37.0
Chennai Extrusion Center,Hydraulic Baler,1058.47,21.7,5702.1,winter,36.2
Salem Compressed Scrap,Pelletizer Extruder,1516.66,11.6,7385.9,spring,21.7
Tiruppur Weaving Plant,Shredder Mill,1867.19,21.2,2582.5,monsoon,27.7
Tiruppur Weaving Plant,Hydraulic Baler,188.79,3.0,2035.9,winter,34.4
Coimbatore Sorting Hub,Shredder Mill,2145.34,23.9,9760.5,monsoon,17.2
Coimbatore Sorting Hub,Hydraulic Baler,419.96,6.5,8484.3,summer,38.4
Chennai Extrusion Center,Pelletizer Extruder,2283.68,18.3,4542.2,spring,34.9
Coimbatore Sorting Hub,Shredder Mill,1283.71,13.3,6086.6,winter,34.6
Salem Compressed Scrap,Compactor Press,1065.3,21.2,9056.7,winter,32.7
Coimbatore Sorting Hub,Compactor Press,926.01,20.4,2740.0,winter,34.3
Salem Compressed Scrap,Pelletizer Extruder,746.14,6.0,2756.7,winter,28.8
Tiruppur Weaving Plant,Pelletizer Extruder,569.63,4.1,4347.7,winter,28.9
Tiruppur Weaving Plant,Compactor Press,748.6,15.0,2053.5,monsoon,23.4
Tiruppur Weaving Plant,Hydraulic Baler,772.96,14.9,6187.8,spring,41.2
Chennai Extrusion Center,Hydraulic Baler,409.77,7.2,1198.2,winter,23.9
Tiruppur Weaving Plant,Shredder Mill,1097.65,11.9,6084.9,spring,34.1
Salem Compressed Scrap,Pelletizer Extruder,749.93,5.7,848.4,summer,24.6
Salem Compressed Scrap,Compactor Press,676.11,11.8,8710.1,winter,20.6
Tiruppur Weaving Plant,Compactor Press,385.66,7.9,1042.3,monsoon,21.2
Chennai Extrusion Center,Pelletizer Extruder,732.49,6.0,1341.3,summer,28.7
Coimbatore Sorting Hub,Compactor Press,400.4,5.3,9873.0,spring,33.5
Salem Compressed Scrap,Hydraulic Baler,682.35,13.5,3755.2,winter,18.8
Salem Compressed Scrap,Pelletizer Extruder,1162.93,8.8,7194.5,winter,34.8
Chennai Extrusion Center,Compactor Press,280.62,5.4,2728.3,monsoon,19.8
Coimbatore Sorting Hub,Shredder Mill,1905.63,20.4,9473.8,winter,15.5
Chennai Extrusion Center,Compactor Press,872.39,18.9,1574.5,summer,33.6
Tiruppur Weaving Plant,Shredder Mill,632.38,6.7,6759.4,summer,33.0
Coimbatore Sorting Hub,Pelletizer Extruder,1928.61,15.3,3522.1,summer,26.0
Salem Compressed Scrap,Shredder Mill,1765.23,19.2,5886.7,summer,17.9
Salem Compressed Scrap,Pelletizer Extruder,1568.16,11.6,9063.1,summer,36.5
Chennai Extrusion Center,Shredder Mill,1770.27,20.0,1642.0,winter,32.5
Coimbatore Sorting Hub,Hydraulic Baler,676.5,14.4,4114.0,summer,27.1
Tiruppur Weaving Plant,Compactor Press,525.28,10.2,2659.1,winter,30.9
Coimbatore Sorting Hub,Pelletizer Extruder,1626.1,13.0,5652.5,spring,29.0
Coimbatore Sorting Hub,Compactor Press,130.2,2.6,3741.9,spring,19.0
Salem Compressed Scrap,Hydraulic Baler,585.1,10.7,5719.4,winter,34.4
Chennai Extrusion Center,Hydraulic Baler,123.53,2.4,2359.9,monsoon,39.2
Salem Compressed Scrap,Shredder Mill,1158.47,12.5,2348.3,winter,28.1
Salem Compressed Scrap,Shredder Mill,740.88,8.3,3419.3,monsoon,29.4
Coimbatore Sorting Hub,Pelletizer Extruder,1454.65,10.8,9778.9,winter,18.3
Chennai Extrusion Center,Hydraulic Baler,834.12,17.0,2223.7,summer,20.0
Tiruppur Weaving Plant,Pelletizer Extruder,2725.7,22.2,4533.0,winter,36.8
Tiruppur Weaving Plant,Compactor Press,244.16,3.0,6514.9,monsoon,15.1
Salem Compressed Scrap,Shredder Mill,1831.9,19.5,6642.8,spring,26.1
Tiruppur Weaving Plant,Pelletizer Extruder,2714.78,21.8,3857.5,winter,21.9
Salem Compressed Scrap,Compactor Press,862.92,16.8,8190.5,monsoon,31.8
Tiruppur Weaving Plant,Hydraulic Baler,791.61,14.9,2096.1,monsoon,38.5
Coimbatore Sorting Hub,Compactor Press,394.6,8.9,2687.3,monsoon,29.8
Coimbatore Sorting Hub,Shredder Mill,1020.75,10.6,6147.5,winter,18.8
Coimbatore Sorting Hub,Hydraulic Baler,566.31,11.7,4735.0,summer,33.7
Chennai Extrusion Center,Compactor Press,254.16,4.8,1489.0,winter,24.1
Salem Compressed Scrap,Compactor Press,838.27,16.2,6159.6,summer,23.7
Chennai Extrusion Center,Pelletizer Extruder,1193.94,9.8,1159.5,summer,37.5
Salem Compressed Scrap,Shredder Mill,786.94,8.0,6131.7,monsoon,29.4
Tiruppur Weaving Plant,Pelletizer Extruder,1173.58,9.3,6860.1,monsoon,25.2
Coimbatore Sorting Hub,Compactor Press,317.0,4.0,9635.8,summer,33.6
Tiruppur Weaving Plant,Hydraulic Baler,656.02,13.8,1418.4,summer,37.2
Coimbatore Sorting Hub,Shredder Mill,568.63,4.6,9754.6,winter,41.8
Salem Compressed Scrap,Compactor Press,783.45,13.9,8499.3,summer,17.5
Salem Compressed Scrap,Shredder Mill,1380.66,15.4,5315.0,spring,34.1
Coimbatore Sorting Hub,Compactor Press,408.59,8.7,2999.6,winter,25.3
Tiruppur Weaving Plant,Hydraulic Baler,945.32,20.2,3157.2,winter,31.2
Chennai Extrusion Center,Pelletizer Extruder,2758.41,22.2,5221.2,winter,30.3
Tiruppur Weaving Plant,Pelletizer Extruder,1703.3,13.9,6465.5,winter,38.7
Coimbatore Sorting Hub,Pelletizer Extruder,2489.54,19.7,8005.3,spring,37.1
Coimbatore Sorting Hub,Compactor Press,788.84,14.6,9360.9,winter,18.6
Coimbatore Sorting Hub,Shredder Mill,1972.68,22.3,5127.1,winter,39.3
Chennai Extrusion Center,Shredder Mill,1850.26,20.2,6829.9,winter,16.8
Coimbatore Sorting Hub,Compactor Press,390.2,5.0,9649.6,spring,36.0
Chennai Extrusion Center,Pelletizer Extruder,2583.83,21.3,3138.6,monsoon,32.3
Tiruppur Weaving Plant,Hydraulic Baler,773.78,15.6,6676.9,monsoon,25.4
Tiruppur Weaving Plant,Pelletizer Extruder,1656.19,12.7,7665.4,monsoon,33.8
Tiruppur Weaving Plant,Hydraulic Baler,345.92,7.3,1851.4,summer,36.1
Salem Compressed Scrap,Compactor Press,797.58,15.6,6515.3,spring,37.0
Chennai Extrusion Center,Compactor Press,531.07,8.7,6427.0,spring,37.9
Chennai Extrusion Center,Pelletizer Extruder,2055.42,16.4,3865.2,monsoon,26.2
Coimbatore Sorting Hub,Hydraulic Baler,935.11,18.1,7808.4,winter,21.7
Coimbatore Sorting Hub,Hydraulic Baler,751.25,14.8,6969.3,spring,29.5
Tiruppur Weaving Plant,Shredder Mill,201.05,2.3,2791.4,summer,20.4
Chennai Extrusion Center,Hydraulic Baler,618.15,13.0,3027.2,summer,28.2
Salem Compressed Scrap,Pelletizer Extruder,1254.83,9.1,7504.9,spring,36.9
Coimbatore Sorting Hub,Shredder Mill,2008.74,23.0,1764.9,spring,36.2
Tiruppur Weaving Plant,Shredder Mill,1533.06,17.1,4657.2,summer,22.5
Salem Compressed Scrap,Shredder Mill,1811.35,20.2,5206.8,spring,39.2
Salem Compressed Scrap,Shredder Mill,1332.45,15.5,1133.2,spring,38.8
Salem Compressed Scrap,Shredder Mill,1671.32,18.4,6760.8,monsoon,16.9
Salem Compressed Scrap,Shredder Mill,2049.94,23.0,7506.3,winter,27.5
Tiruppur Weaving Plant,Pelletizer Extruder,2402.77,20.3,1152.8,winter,15.6
Salem Compressed Scrap,Compactor Press,1099.9,23.3,3306.7,spring,21.2
Tiruppur Weaving Plant,Pelletizer Extruder,1648.85,12.5,9010.2,winter,36.6
Salem Compressed Scrap,Hydraulic Baler,1240.29,23.6,6217.9,summer,39.8
Coimbatore Sorting Hub,Hydraulic Baler,177.66,3.0,1552.7,winter,21.1
Tiruppur Weaving Plant,Compactor Press,605.09,11.5,4674.3,summer,19.4
Salem Compressed Scrap,Compactor Press,594.5,12.9,620.8,summer,22.7
Salem Compressed Scrap,Pelletizer Extruder,2616.78,21.0,8541.9,summer,29.7
Coimbatore Sorting Hub,Compactor Press,948.95,18.5,5799.2,monsoon,32.7
Chennai Extrusion Center,Compactor Press,773.01,14.0,9854.4,winter,29.6
