plant,workers,shift,attendance_rate,overtime_hours,downtime_hours,productivity
Salem Compressed Scrap,71,Morning,0.92,5.4,1.9,74.2
Tiruppur Weaving Plant,53,Morning,0.76,3.2,1.7,48.9
Chennai Extrusion Center,10,Afternoon,0.93,0.9,2.0,69.5
Chennai Extrusion Center,109,Morning,0.86,0.5,1.3,63.5
Tiruppur Weaving Plant,82,Morning,0.74,4.7,2.4,56.0
Chennai Extrusion Center,103,Night,0.98,8.3,3.9,69.1
Tiruppur Weaving Plant,85,Night,0.72,7.4,2.3,49.7
Salem Compressed Scrap,102,Night,0.94,2.0,0.7,79.3
Chennai Extrusion Center,87,Afternoon,0.97,3.2,2.4,70.0
Coimbatore Sorting Hub,49,Night,0.91,9.0,2.5,57.2
Tiruppur Weaving Plant,62,Night,0.86,4.3,1.3,76.0
Chennai Extrusion Center,51,Night,0.96,5.0,3.0,73.2
Chennai Extrusion Center,42,Afternoon,0.76,7.1,2.0,62.7
Coimbatore Sorting Hub,106,Afternoon,0.95,1.1,3.4,62.6
Tiruppur Weaving Plant,145,Morning,0.85,4.1,3.1,53.2
Chennai Extrusion Center,104,Night,0.91,5.4,1.0,69.0
Coimbatore Sorting Hub,113,Afternoon,0.77,4.2,1.2,58.7
Chennai Extrusion Center,149,Afternoon,0.88,5.1,2.4,64.8
Salem Compressed Scrap,142,Morning,0.91,1.5,2.3,70.2
Coimbatore Sorting Hub,146,Afternoon,0.72,1.0,3.4,41.9
Salem Compressed Scrap,66,Morning,0.96,5.2,2.4,69.5
Tiruppur Weaving Plant,62,Morning,0.76,7.9,2.4,54.8
Coimbatore Sorting Hub,84,Afternoon,0.8,3.5,3.0,50.2
Tiruppur Weaving Plant,137,Night,0.71,9.1,1.0,53.1
Tiruppur Weaving Plant,97,Morning,0.81,5.8,2.5,59.8
Salem Compressed Scrap,123,Morning,0.85,9.8,1.8,72.9
Chennai Extrusion Center,113,Morning,0.79,3.1,1.6,61.3
Chennai Extrusion Center,132,Night,0.8,4.7,2.5,63.2
Chennai Extrusion Center,27,Morning,0.93,4.5,2.1,68.6
Salem Compressed Scrap,122,Afternoon,0.85,7.7,0.4,70.3
Chennai Extrusion Center,41,Afternoon,0.78,6.4,1.6,59.7
Chennai Extrusion Center,64,Afternoon,0.96,4.1,2.2,68.4
Chennai Extrusion Center,81,Afternoon,0.8,5.7,3.5,49.6
Salem Compressed Scrap,17,Afternoon,0.94,9.9,2.4,63.5
Coimbatore Sorting Hub,16,Afternoon,0.73,2.1,0.1,57.5
Tiruppur Weaving Plant,45,Morning,0.83,8.9,3.3,51.3
Coimbatore Sorting Hub,128,Morning,0.8,7.7,1.5,60.1
Tiruppur Weaving Plant,108,Afternoon,0.93,1.4,3.5,67.0
Salem Compressed Scrap,123,Night,0.85,7.4,2.8,61.4
Tiruppur Weaving Plant,112,Morning,0.74,8.3,3.9,40.3
Chennai Extrusion Center,46,Night,0.95,5.3,3.3,66.8
Tiruppur Weaving Plant,43,Morning,0.82,5.0,2.9,52.9
Chennai Extrusion Center,107,Morning,0.9,1.8,3.7,54.3
Coimbatore Sorting Hub,131,Afternoon,0.71,1.7,3.0,47.5
Coimbatore Sorting Hub,38,Morning,0.95,4.4,3.7,60.5
Chennai Extrusion Center,48,Night,0.98,4.0,3.8,66.0
Coimbatore Sorting Hub,45,Night,0.78,6.0,0.2,61.9
Coimbatore Sorting Hub,118,Night,0.8,7.7,0.4,69.9
Tiruppur Weaving Plant,70,Night,0.88,4.6,0.3,73.4
Coimbatore Sorting Hub,117,Night,0.78,5.9,1.4,55.0
Coimbatore Sorting Hub,89,Night,0.92,8.1,2.6,67.1
Coimbatore Sorting Hub,34,Afternoon,0.85,2.2,4.0,55.3
Chennai Extrusion Center,35,Morning,0.84,3.1,0.5,71.4
Chennai Extrusion Center,146,Night,0.98,9.7,3.8,73.7
Chennai Extrusion Center,112,Morning,0.9,3.6,2.2,65.9
Tiruppur Weaving Plant,107,Night,0.91,3.4,2.9,63.2
Tiruppur Weaving Plant,13,Morning,0.9,7.4,2.1,66.7
Tiruppur Weaving Plant,117,Afternoon,0.83,4.6,4.0,55.4
Chennai Extrusion Center,48,Afternoon,0.81,7.7,1.6,62.6
Tiruppur Weaving Plant,25,Night,0.82,0.9,1.3,72.0
Tiruppur Weaving Plant,12,Morning,0.81,2.9,1.2,64.6
Coimbatore Sorting Hub,46,Morning,0.78,9.1,0.2,68.1
Salem Compressed Scrap,149,Night,0.98,7.9,0.4,80.7
Coimbatore Sorting Hub,48,Night,0.98,4.7,2.5,79.0
Tiruppur Weaving Plant,119,Afternoon,0.71,3.8,0.1,69.6
Coimbatore Sorting Hub,12,Afternoon,0.94,6.3,0.9,90.6
Tiruppur Weaving Plant,70,Night,0.82,7.6,2.8,61.1
Salem Compressed Scrap,12,Night,0.77,2.2,2.1,63.1
Coimbatore Sorting Hub,20,Morning,0.82,2.7,1.9,70.0
Chennai Extrusion Center,85,Afternoon,0.94,6.6,2.2,70.9
Chennai Extrusion Center,47,Night,0.92,5.0,0.3,74.3
Salem Compressed Scrap,37,Morning,1.0,0.6,3.5,71.9
Chennai Extrusion Center,65,Afternoon,0.86,8.6,2.9,62.3
Salem Compressed Scrap,89,Morning,0.75,1.6,1.3,59.1
Salem Compressed Scrap,16,Morning,0.96,8.7,0.1,81.7
Chennai Extrusion Center,147,Night,0.77,9.1,0.0,76.8
Salem Compressed Scrap,48,Afternoon,0.79,6.2,3.9,51.4
Tiruppur Weaving Plant,113,Night,0.81,0.1,3.3,50.8
Chennai Extrusion Center,83,Morning,0.99,3.4,2.5,69.4
Coimbatore Sorting Hub,46,Morning,0.94,1.7,3.1,68.7
Coimbatore Sorting Hub,31,Afternoon,0.72,8.5,4.0,49.9
Chennai Extrusion Center,38,Night,0.74,7.6,0.1,73.2
Coimbatore Sorting Hub,35,Afternoon,0.78,10.0,1.7,61.6
Tiruppur Weaving Plant,48,Night,0.94,6.9,0.9,79.3
Coimbatore Sorting Hub,36,Night,0.99,1.5,1.7,72.9
Tiruppur Weaving Plant,56,Morning,0.89,4.0,1.1,71.7
Salem Compressed Scrap,24,Afternoon,0.76,0.3,2.6,53.2
Salem Compressed Scrap,27,Night,0.84,5.4,0.6,69.7
Coimbatore Sorting Hub,140,Morning,0.74,0.3,3.7,38.6
Chennai Extrusion Center,55,Night,0.84,1.2,0.5,66.4
Coimbatore Sorting Hub,72,Afternoon,0.87,2.7,3.2,68.5
Chennai Extrusion Center,73,Morning,0.74,4.6,2.7,53.2
Coimbatore Sorting Hub,41,Night,0.91,8.6,3.1,64.7
Salem Compressed Scrap,20,Afternoon,0.92,1.5,0.4,75.5
Coimbatore Sorting Hub,95,Morning,0.87,0.1,1.3,67.5
Coimbatore Sorting Hub,42,Morning,0.81,0.3,0.3,62.0
Chennai Extrusion Center,99,Afternoon,0.91,8.2,0.2,78.2
Salem Compressed Scrap,58,Night,0.74,9.0,2.4,61.7
Tiruppur Weaving Plant,123,Afternoon,0.89,7.8,2.4,74.0
Chennai Extrusion Center,16,Night,0.97,5.5,3.3,78.5
Tiruppur Weaving Plant,115,Afternoon,0.72,0.6,1.0,53.4
Tiruppur Weaving Plant,34,Morning,0.88,3.3,1.9,70.0
Tiruppur Weaving Plant,41,Night,0.75,0.2,2.6,52.5
Tiruppur Weaving Plant,105,Morning,0.85,0.8,1.6,62.3
Chennai Extrusion Center,106,Night,0.84,8.7,2.9,53.2
Tiruppur Weaving Plant,33,Morning,0.8,3.7,4.0,42.2
Tiruppur Weaving Plant,107,Afternoon,0.88,7.9,2.6,74.8
Chennai Extrusion Center,124,Afternoon,0.97,2.1,2.5,78.0
Chennai Extrusion Center,35,Afternoon,0.75,2.4,3.9,49.5
Chennai Extrusion Center,46,Morning,0.72,4.4,0.4,69.1
Chennai Extrusion Center,93,Afternoon,0.73,6.5,1.2,50.1
Salem Compressed Scrap,75,Night,0.9,3.3,3.1,54.3
Chennai Extrusion Center,127,Afternoon,0.8,4.5,2.7,55.0
Tiruppur Weaving Plant,10,Morning,0.77,6.2,2.8,52.4
Tiruppur Weaving Plant,116,Morning,0.81,5.3,3.1,53.3
Salem Compressed Scrap,53,Night,0.96,2.1,0.4,79.9
Chennai Extrusion Center,46,Afternoon,0.71,1.2,1.8,51.8
Tiruppur Weaving Plant,68,Morning,0.73,5.8,2.8,48.3
Chennai Extrusion Center,52,Afternoon,0.99,6.4,3.5,56.7
Chennai Extrusion Center,47,Night,0.71,3.1,2.8,50.5
Coimbatore Sorting Hub,94,Morning,0.92,1.6,0.9,68.8
Chennai Extrusion Center,95,Night,0.91,8.4,3.8,61.5
Tiruppur Weaving Plant,35,Night,0.87,0.3,3.7,65.6
Coimbatore Sorting Hub,42,Morning,0.76,6.6,1.6,55.9
Salem Compressed Scrap,72,Morning,0.96,9.9,3.0,72.0
Tiruppur Weaving Plant,86,Night,0.92,8.8,1.6,79.7
Coimbatore Sorting Hub,91,Morning,0.94,4.4,3.3,59.1
Salem Compressed Scrap,63,Night,0.7,3.2,1.5,61.6
Salem Compressed Scrap,102,Morning,0.88,5.5,1.8,63.8
Coimbatore Sorting Hub,20,Night,0.75,6.4,3.0,66.9
Salem Compressed Scrap,57,Afternoon,0.84,0.3,1.4,65.2
Salem Compressed Scrap,142,Afternoon,0.86,2.5,1.9,69.5
Coimbatore Sorting Hub,117,Night,0.86,8.2,1.7,56.5
Salem Compressed Scrap,56,Morning,0.97,2.4,3.7,61.1
Tiruppur Weaving Plant,126,Afternoon,0.79,8.0,2.2,58.4
Salem Compressed Scrap,115,Afternoon,0.91,2.7,1.7,69.9
Chennai Extrusion Center,117,Afternoon,0.94,1.8,1.2,73.9
Tiruppur Weaving Plant,51,Afternoon,0.94,5.5,0.2,83.7
Chennai Extrusion Center,127,Morning,0.97,2.3,0.8,79.4
Coimbatore Sorting Hub,131,Morning,0.95,9.0,1.4,81.2
Coimbatore Sorting Hub,28,Night,0.9,1.0,2.5,60.9
Tiruppur Weaving Plant,78,Night,0.77,8.7,1.9,53.0
Tiruppur Weaving Plant,20,Afternoon,0.78,6.3,0.2,68.1
Tiruppur Weaving Plant,11,Night,0.88,6.8,1.8,77.1
Chennai Extrusion Center,33,Afternoon,0.73,7.2,2.3,51.4
Chennai Extrusion Center,118,Afternoon,0.78,6.5,2.4,48.5
Coimbatore Sorting Hub,22,Morning,0.95,6.7,0.3,75.7
Salem Compressed Scrap,17,Afternoon,0.88,6.8,0.9,65.9
Coimbatore Sorting Hub,11,Afternoon,0.87,7.3,1.9,66.4
Salem Compressed Scrap,53,Afternoon,0.99,1.8,2.8,71.7
Coimbatore Sorting Hub,130,Night,0.93,3.5,2.7,59.8
Salem Compressed Scrap,12,Afternoon,0.77,4.0,0.6,70.1
Tiruppur Weaving Plant,93,Afternoon,0.78,7.9,3.5,52.6
Tiruppur Weaving Plant,25,Afternoon,0.75,0.6,0.5,58.1
Tiruppur Weaving Plant,94,Afternoon,0.98,5.5,1.2,73.6
Salem Compressed Scrap,64,Afternoon,0.98,5.0,4.0,63.2
Chennai Extrusion Center,58,Afternoon,0.86,6.3,2.7,64.6
Coimbatore Sorting Hub,143,Night,0.94,3.0,0.3,73.3
Coimbatore Sorting Hub,29,Afternoon,0.89,8.2,0.5,74.7
Coimbatore Sorting Hub,42,Night,0.85,6.1,3.1,59.1
Tiruppur Weaving Plant,143,Morning,0.9,1.2,1.9,60.9
Salem Compressed Scrap,34,Night,0.99,5.5,3.9,57.9
Coimbatore Sorting Hub,29,Afternoon,0.78,8.5,0.0,66.7
Chennai Extrusion Center,139,Night,0.75,0.6,3.1,44.6
Chennai Extrusion Center,65,Night,1.0,2.4,0.6,82.4
Tiruppur Weaving Plant,124,Night,0.91,0.6,2.0,59.5
Salem Compressed Scrap,133,Afternoon,0.83,1.3,3.5,57.7
Coimbatore Sorting Hub,16,Night,0.82,8.3,2.9,55.8
Coimbatore Sorting Hub,88,Morning,0.93,1.4,2.1,55.8
Tiruppur Weaving Plant,22,Morning,0.95,6.3,0.8,72.4
Chennai Extrusion Center,61,Night,0.74,1.3,3.5,42.7
Salem Compressed Scrap,91,Night,0.81,3.9,1.8,62.9
Tiruppur Weaving Plant,26,Morning,0.98,8.1,0.3,86.3
Tiruppur Weaving Plant,19,Afternoon,0.71,9.0,1.8,61.9
Chennai Extrusion Center,88,Morning,0.72,5.2,0.6,66.3
Salem Compressed Scrap,96,Morning,0.71,0.4,3.0,51.4
Chennai Extrusion Center,26,Morning,0.85,3.9,1.8,67.7
Salem Compressed Scrap,148,Night,0.98,7.8,1.4,85.8
Coimbatore Sorting Hub,105,Afternoon,0.71,0.8,3.9,30.0
Chennai Extrusion Center,145,Morning,0.99,6.7,0.0,82.5
Tiruppur Weaving Plant,131,Night,0.71,9.7,3.2,44.1
Salem Compressed Scrap,100,Afternoon,0.88,5.8,3.0,64.9
Chennai Extrusion Center,19,Night,0.73,6.0,0.4,68.2
Salem Compressed Scrap,68,Afternoon,0.83,6.1,3.8,51.9
Salem Compressed Scrap,122,Morning,0.79,8.2,3.4,51.2
Tiruppur Weaving Plant,21,Morning,0.86,6.4,0.9,65.0
Salem Compressed Scrap,95,Afternoon,1.0,9.4,0.2,88.7
Coimbatore Sorting Hub,11,Morning,0.91,0.9,3.9,52.1
Salem Compressed Scrap,31,Night,0.93,7.4,2.4,69.4
Coimbatore Sorting Hub,28,Night,0.91,8.7,2.5,64.7
Coimbatore Sorting Hub,81,Morning,0.92,8.8,1.1,78.8
Chennai Extrusion Center,73,Afternoon,0.9,3.1,3.0,64.8
Coimbatore Sorting Hub,121,Morning,0.86,5.2,3.4,64.3
Coimbatore Sorting Hub,63,Morning,0.7,7.5,3.0,53.2
Chennai Extrusion Center,79,Night,1.0,3.7,1.8,81.3
Salem Compressed Scrap,147,Afternoon,0.88,3.9,1.7,60.3
Tiruppur Weaving Plant,29,Morning,0.88,4.8,2.6,69.9
Salem Compressed Scrap,89,Afternoon,0.87,5.6,2.4,69.1
Chennai Extrusion Center,69,Night,0.85,0.8,0.2,74.3
Tiruppur Weaving Plant,85,Afternoon,0.99,2.1,3.3,57.4
Coimbatore Sorting Hub,122,Night,0.77,3.7,0.3,67.6
Salem Compressed Scrap,56,Night,0.92,3.0,0.7,75.6
Chennai Extrusion Center,56,Afternoon,0.92,7.4,3.8,73.9
Tiruppur Weaving Plant,70,Afternoon,0.8,0.3,0.1,65.0
Tiruppur Weaving Plant,118,Night,0.98,2.6,1.7,79.8
Chennai Extrusion Center,78,Morning,0.84,4.8,1.7,65.3
Coimbatore Sorting Hub,13,Afternoon,0.92,5.0,1.7,73.0
Tiruppur Weaving Plant,109,Afternoon,0.72,2.3,0.5,62.9
Tiruppur Weaving Plant,45,Morning,0.72,0.6,1.1,55.0
Salem Compressed Scrap,144,Night,0.78,7.9,3.9,44.8
Tiruppur Weaving Plant,79,Morning,0.85,0.3,0.3,61.1
Coimbatore Sorting Hub,116,Morning,0.8,3.2,3.1,53.4
Salem Compressed Scrap,129,Afternoon,0.92,9.8,1.0,75.7
Chennai Extrusion Center,96,Afternoon,0.76,3.4,1.2,56.5
Tiruppur Weaving Plant,80,Afternoon,0.87,5.2,0.5,81.8
Coimbatore Sorting Hub,37,Afternoon,0.86,7.9,2.2,58.8
Coimbatore Sorting Hub,74,Afternoon,0.75,9.5,3.4,53.3
Coimbatore Sorting Hub,83,Afternoon,0.96,4.6,3.0,73.1
Coimbatore Sorting Hub,68,Afternoon,0.99,7.9,2.0,74.2
Salem Compressed Scrap,144,Morning,0.75,3.3,3.0,42.7
Tiruppur Weaving Plant,88,Afternoon,0.75,2.6,3.8,46.2
Salem Compressed Scrap,67,Afternoon,0.87,5.5,0.4,67.6
Coimbatore Sorting Hub,15,Night,0.9,8.2,1.5,67.3
Chennai Extrusion Center,60,Night,0.76,5.2,1.1,62.9
Tiruppur Weaving Plant,81,Night,0.89,2.0,3.6,65.6
Coimbatore Sorting Hub,51,Afternoon,0.94,3.2,3.4,62.5
Salem Compressed Scrap,138,Night,0.76,8.9,2.6,57.1
Chennai Extrusion Center,110,Afternoon,0.88,0.8,3.5,58.0
Salem Compressed Scrap,138,Night,0.85,1.2,2.9,64.9
Coimbatore Sorting Hub,13,Afternoon,0.99,6.6,0.5,81.5
Salem Compressed Scrap,34,Afternoon,0.76,3.8,3.9,48.3
Salem Compressed Scrap,18,Afternoon,0.86,7.1,1.3,76.4
Salem Compressed Scrap,140,Afternoon,0.75,7.1,3.3,49.7
Coimbatore Sorting Hub,43,Morning,0.92,1.9,2.5,76.6
Tiruppur Weaving Plant,78,Night,0.95,2.5,0.1,73.3
Tiruppur Weaving Plant,25,Afternoon,0.8,6.9,0.3,70.6
Salem Compressed Scrap,10,Night,0.78,6.4,2.8,54.0
Tiruppur Weaving Plant,56,Afternoon,0.81,0.7,3.1,61.0
Salem Compressed Scrap,48,Morning,0.94,6.6,1.0,74.5
Tiruppur Weaving Plant,143,Night,0.7,1.7,1.6,45.8
Tiruppur Weaving Plant,81,Afternoon,0.81,9.8,0.4,68.0
Salem Compressed Scrap,122,Morning,0.83,0.3,3.9,53.0
Coimbatore Sorting Hub,140,Afternoon,0.91,8.4,3.9,57.6
Coimbatore Sorting Hub,72,Morning,0.79,8.3,1.1,66.8
Salem Compressed Scrap,39,Morning,0.7,4.7,1.2,64.9
Chennai Extrusion Center,62,Night,0.77,7.3,2.4,54.4
Coimbatore Sorting Hub,129,Night,0.89,5.3,3.4,64.8
Salem Compressed Scrap,21,Night,0.78,7.9,2.3,51.9
Tiruppur Weaving Plant,146,Night,0.95,8.8,2.3,76.7
Tiruppur Weaving Plant,96,Night,0.72,9.1,1.9,54.0
Salem Compressed Scrap,102,Afternoon,0.88,6.3,2.4,61.2
Tiruppur Weaving Plant,141,Night,0.85,1.0,1.5,76.1
Coimbatore Sorting Hub,100,Night,1.0,2.7,1.6,76.6
Coimbatore Sorting Hub,70,Afternoon,0.71,1.4,1.1,48.7
Chennai Extrusion Center,93,Morning,0.85,0.1,0.0,72.1
Coimbatore Sorting Hub,145,Night,0.95,2.8,1.9,65.6
Coimbatore Sorting Hub,116,Afternoon,0.98,4.0,0.3,81.5
Tiruppur Weaving Plant,26,Morning,0.8,5.1,3.5,62.4
Chennai Extrusion Center,148,Morning,0.98,1.7,1.6,75.8
Chennai Extrusion Center,85,Morning,0.91,6.1,1.2,71.5
Tiruppur Weaving Plant,93,Afternoon,0.78,6.7,3.2,53.4
Salem Compressed Scrap,91,Morning,0.74,4.2,3.0,51.8
Chennai Extrusion Center,38,Morning,0.89,8.9,2.4,66.7
Coimbatore Sorting Hub,60,Afternoon,0.73,1.5,0.7,66.3
Tiruppur Weaving Plant,140,Afternoon,0.74,0.1,1.7,58.5
Chennai Extrusion Center,74,Night,0.87,0.4,0.5,62.1
Chennai Extrusion Center,47,Morning,0.91,4.3,2.7,69.1
Chennai Extrusion Center,82,Morning,0.96,5.9,0.9,74.7
Salem Compressed Scrap,88,Morning,0.83,3.2,2.3,49.3
Coimbatore Sorting Hub,66,Afternoon,0.91,6.9,1.5,71.5
Salem Compressed Scrap,65,Morning,0.8,1.5,0.1,62.4
Salem Compressed Scrap,135,Night,0.79,6.8,2.4,51.9
Salem Compressed Scrap,74,Night,0.91,1.4,1.9,64.9
Salem Compressed Scrap,97,Night,0.86,1.4,0.4,62.8
Coimbatore Sorting Hub,68,Morning,0.84,2.9,3.6,47.1
Tiruppur Weaving Plant,46,Afternoon,0.81,4.7,1.8,62.1
Tiruppur Weaving Plant,86,Night,0.99,3.9,1.5,78.6
Salem Compressed Scrap,31,Morning,0.75,5.5,2.2,58.0
Chennai Extrusion Center,140,Afternoon,0.95,7.1,0.7,82.4
Tiruppur Weaving Plant,136,Morning,0.99,5.6,1.4,74.1
Chennai Extrusion Center,120,Afternoon,0.85,4.0,4.0,54.9
Salem Compressed Scrap,91,Afternoon,0.87,6.2,0.8,70.1
Tiruppur Weaving Plant,110,Afternoon,0.77,9.6,3.6,50.4
Chennai Extrusion Center,63,Morning,0.84,0.4,3.0,53.0
Salem Compressed Scrap,29,Morning,0.96,9.4,0.6,83.0
Chennai Extrusion Center,57,Afternoon,0.88,3.8,1.1,73.5
Chennai Extrusion Center,91,Night,0.88,5.9,3.2,57.5
