material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Used Oil,Automotive,Authorized Oil Recycler,41.45,96,323,621.0,111.2,2.27,25740.45,4609.24,733.21,5342.45,20398.0,381.81,Excellent
Cotton Scrap,Textile,Paper,91.0,71,381,225.9,38.27,1.08,20556.9,3482.57,411.48,3894.05,16662.85,427.91,Excellent
Food Waste,Food,Biogas,93.43,80,394,78.0,10.33,2.05,7287.54,965.13,807.7,1772.83,5514.71,311.07,Excellent
Food Waste,Food,Biogas,92.35,94,203,82.2,9.4,1.32,7591.17,868.09,267.96,1136.05,6455.12,568.21,Excellent
Steel Slag,Steel,Construction,50.04,77,358,109.23,15.8,0.87,5465.87,790.63,311.46,1102.09,4363.78,395.95,Excellent
Cotton Scrap,Textile,Paper,28.86,91,83,243.9,33.6,2.09,7038.95,969.7,173.47,1143.17,5895.78,515.74,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,48.23,83,221,683.8,182.4,1.1,32979.67,8797.15,243.1,9040.25,23939.42,264.81,Excellent
Bagasse,Sugar,Paper,9.65,92,287,149.6,17.16,1.92,1443.64,165.59,551.04,716.63,727.01,101.45,Excellent
Cotton Scrap,Textile,Paper,45.98,72,235,226.8,38.03,2.49,10428.26,1748.62,585.15,2333.77,8094.49,346.84,Excellent
Cotton Scrap,Textile,Paper,16.86,87,159,240.3,34.53,0.82,4051.46,582.18,130.38,712.56,3338.9,468.58,Excellent
Used Oil,Automotive,Authorized Oil Recycler,83.53,88,347,603.0,117.6,2.14,50368.59,9823.13,742.58,10565.71,39802.88,376.72,Excellent
Bagasse,Sugar,Paper,94.88,90,410,148.5,17.4,1.54,14089.68,1650.91,631.4,2282.31,11807.37,517.34,Excellent
Used Oil,Automotive,Authorized Oil Recycler,20.39,92,351,612.0,114.4,1.75,12478.68,2332.62,614.25,2946.87,9531.81,323.46,Excellent
Food Waste,Food,Biogas,67.16,91,456,81.3,9.6,2.45,5460.11,644.74,1117.2,1761.94,3698.17,209.89,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,86.82,95,193,715.0,168.0,1.34,62076.3,14585.76,258.62,14844.38,47231.92,318.18,Excellent
Rice Husk,Agriculture,Biofuel,36.59,86,248,126.35,19.87,2.16,4623.15,727.04,535.68,1262.72,3360.43,266.13,Excellent
Fly Ash,Thermal Power,Cement,5.29,80,335,91.0,12.4,2.07,481.39,65.6,693.45,759.05,-277.66,-36.58,Loss
Plastic Scrap,Packaging,Plastic Recycling,71.94,85,177,291.5,40.0,2.26,20970.51,2877.6,400.02,3277.62,17692.89,539.81,Excellent
Bagasse,Sugar,Paper,34.85,99,10,153.45,16.32,1.27,5347.73,568.75,12.7,581.45,4766.28,819.72,Excellent
Bagasse,Sugar,Paper,11.5,82,291,144.1,18.36,1.81,1657.15,211.14,526.71,737.85,919.3,124.59,Excellent
Food Waste,Food,Biogas,7.74,96,499,82.8,9.27,2.08,640.87,71.75,1037.92,1109.67,-468.8,-42.25,Loss
Glass Waste,Glass,Glass Recycling,16.15,85,441,132.5,22.0,0.81,2139.88,355.3,357.21,712.51,1427.37,200.33,Excellent
Paper Sludge,Paper,Brick Manufacturing,20.05,75,24,95.62,14.93,1.73,1917.18,299.35,41.52,340.87,1576.31,462.44,Excellent
Glass Waste,Glass,Glass Recycling,18.29,97,100,138.5,20.24,2.04,2533.16,370.19,204.0,574.19,1958.97,341.17,Excellent
Plastic Scrap,Packaging,Plastic Recycling,85.71,76,405,281.6,42.4,0.97,24135.94,3634.1,392.85,4026.95,20108.99,499.36,Excellent
Steel Slag,Steel,Construction,30.87,72,62,107.1,16.3,2.16,3306.18,503.18,133.92,637.1,2669.08,418.94,Excellent
Food Waste,Food,Biogas,29.92,94,139,82.2,9.4,2.22,2459.42,281.25,308.58,589.83,1869.59,316.97,Excellent
Used Oil,Automotive,Authorized Oil Recycler,42.17,75,108,573.75,128.0,2.47,24195.04,5397.76,266.76,5664.52,18530.52,327.13,Excellent
Bagasse,Sugar,Paper,68.38,88,253,147.4,17.64,1.26,10079.21,1206.22,318.78,1525.0,8554.21,560.93,Excellent
Paper Sludge,Paper,Brick Manufacturing,22.15,90,193,101.25,13.53,1.36,2242.69,299.69,262.48,562.17,1680.52,298.93,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,66.45,75,68,663.0,192.0,1.7,44056.35,12758.4,115.6,12874.0,31182.35,242.21,Excellent
Plastic Scrap,Packaging,Plastic Recycling,77.3,74,330,279.4,42.93,0.87,21597.62,3318.49,287.1,3605.59,17992.03,499.0,Excellent
Steel Slag,Steel,Construction,54.15,92,469,115.6,14.3,2.18,6259.74,774.35,1022.42,1796.77,4462.97,248.39,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,90.42,95,331,1237.5,280.0,1.71,111894.75,25317.6,566.01,25883.61,86011.14,332.3,Excellent
Bagasse,Sugar,Paper,43.81,73,36,139.15,19.44,2.0,6096.16,851.67,72.0,923.67,5172.49,559.99,Excellent
Paper Sludge,Paper,Brick Manufacturing,10.07,87,107,100.12,13.81,1.21,1008.21,139.07,129.47,268.54,739.67,275.44,Excellent
Fly Ash,Thermal Power,Cement,5.07,85,464,92.75,12.0,1.09,470.24,60.84,505.76,566.6,-96.36,-17.01,Loss
Chemical Sludge,Chemical,Hazardous Treatment Facility,53.82,79,388,673.4,187.2,2.14,36242.39,10075.1,830.32,10905.42,25336.97,232.33,Excellent
Rice Husk,Agriculture,Biofuel,34.74,76,286,121.6,21.2,0.85,4224.38,736.49,243.1,979.59,3244.79,331.24,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,60.5,96,202,1242.0,278.0,2.32,75141.0,16819.0,468.64,17287.64,57853.36,334.65,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,17.53,93,225,1228.5,284.0,2.01,21535.61,4978.52,452.25,5430.77,16104.84,296.55,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,77.94,84,318,1188.0,302.0,2.48,92592.72,23537.88,788.64,24326.52,68266.2,280.62,Excellent
Steel Slag,Steel,Construction,94.02,70,261,106.25,16.5,1.33,9989.62,1551.33,347.13,1898.46,8091.16,426.2,Excellent
Used Oil,Automotive,Authorized Oil Recycler,95.82,81,132,587.25,123.2,1.08,56270.29,11805.02,142.56,11947.58,44322.71,370.98,Excellent
Steel Slag,Steel,Construction,18.54,71,105,106.67,16.4,2.12,1977.66,304.06,222.6,526.66,1451.0,275.51,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,8.62,84,315,1188.0,302.0,1.41,10240.56,2603.24,444.15,3047.39,7193.17,236.04,Excellent
Used Oil,Automotive,Authorized Oil Recycler,10.76,91,30,609.75,115.2,1.92,6560.91,1239.55,57.6,1297.15,5263.76,405.79,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,26.81,80,46,1170.0,310.0,1.35,31367.7,8311.1,62.1,8373.2,22994.5,274.62,Excellent
Paper Sludge,Paper,Brick Manufacturing,8.51,79,391,97.12,14.56,1.3,826.49,123.91,508.3,632.21,194.28,30.73,Moderate Profit
Food Waste,Food,Biogas,51.56,78,367,77.4,10.47,0.96,3990.74,539.83,352.32,892.15,3098.59,347.32,Excellent
Plastic Scrap,Packaging,Plastic Recycling,42.11,80,251,286.0,41.33,1.9,12043.46,1740.41,476.9,2217.31,9826.15,443.16,Excellent
Used Oil,Automotive,Authorized Oil Recycler,33.23,76,134,576.0,127.2,1.88,19140.48,4226.86,251.92,4478.78,14661.7,327.36,Excellent
Paper Sludge,Paper,Brick Manufacturing,94.18,72,208,94.5,15.21,1.98,8900.01,1432.48,411.84,1844.32,7055.69,382.56,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,57.31,75,75,663.0,192.0,2.02,37996.53,11003.52,151.5,11155.02,26841.51,240.62,Excellent
Fly Ash,Thermal Power,Cement,7.56,80,252,91.0,12.4,1.43,687.96,93.74,360.36,454.1,233.86,51.5,High Profit
Fly Ash,Thermal Power,Cement,68.33,95,272,96.25,11.2,1.12,6576.76,765.3,304.64,1069.94,5506.82,514.68,Excellent
Fly Ash,Thermal Power,Cement,26.13,96,469,96.6,11.12,1.59,2524.16,290.57,745.71,1036.28,1487.88,143.58,Excellent
Steel Slag,Steel,Construction,20.28,80,377,110.5,15.5,1.23,2240.94,314.34,463.71,778.05,1462.89,188.02,Excellent
Cotton Scrap,Textile,Paper,60.03,70,210,225.0,38.5,0.83,13506.75,2311.16,174.3,2485.46,11021.29,443.43,Excellent
Food Waste,Food,Biogas,20.81,70,439,75.0,11.0,2.22,1560.75,228.91,974.58,1203.49,357.26,29.69,Moderate Profit
Cotton Scrap,Textile,Paper,56.31,76,235,230.4,37.1,0.82,12973.82,2089.1,192.7,2281.8,10692.02,468.58,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,12.53,99,399,725.4,163.2,1.4,9089.26,2044.9,558.6,2603.5,6485.76,249.12,Excellent
Steel Slag,Steel,Construction,87.55,73,13,107.53,16.2,1.69,9414.25,1418.31,21.97,1440.28,7973.97,553.64,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,84.74,75,294,1147.5,320.0,1.97,97239.15,27116.8,579.18,27695.98,69543.17,251.09,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,5.96,96,107,717.6,166.8,2.42,4276.9,994.13,258.94,1253.07,3023.83,241.31,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,44.13,91,188,704.6,172.8,2.02,31094.0,7625.66,379.76,8005.42,23088.58,288.41,Excellent
Cotton Scrap,Textile,Paper,75.56,85,28,238.5,35.0,1.94,18021.06,2644.6,54.32,2698.92,15322.14,567.71,Excellent
Rice Husk,Agriculture,Biofuel,13.04,87,398,126.83,19.73,1.49,1653.86,257.28,593.02,850.3,803.56,94.5,Excellent
Plastic Scrap,Packaging,Plastic Recycling,7.36,71,190,276.1,43.73,2.44,2032.1,321.85,463.6,785.45,1246.65,158.72,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,24.26,96,293,1242.0,278.0,1.43,30130.92,6744.28,418.99,7163.27,22967.65,320.63,Excellent
Fly Ash,Thermal Power,Cement,10.23,73,485,88.55,12.96,1.77,905.87,132.58,858.45,991.03,-85.16,-8.59,Loss
Fly Ash,Thermal Power,Cement,31.62,70,298,87.5,13.2,1.4,2766.75,417.38,417.2,834.58,1932.17,231.51,Excellent
Plastic Scrap,Packaging,Plastic Recycling,50.36,73,252,278.3,43.2,2.28,14015.19,2175.55,574.56,2750.11,11265.08,409.62,Excellent
Bagasse,Sugar,Paper,16.54,76,109,140.8,19.08,1.7,2328.83,315.58,185.3,500.88,1827.95,364.95,Excellent
Fly Ash,Thermal Power,Cement,31.93,77,173,89.95,12.64,2.4,2872.1,403.6,415.2,818.8,2053.3,250.77,Excellent
Used Oil,Automotive,Authorized Oil Recycler,95.39,87,361,600.75,118.4,1.17,57305.54,11294.18,422.37,11716.55,45588.99,389.1,Excellent
Fly Ash,Thermal Power,Cement,23.1,98,403,97.3,10.96,1.76,2247.63,253.18,709.28,962.46,1285.17,133.53,Excellent
Cotton Scrap,Textile,Paper,23.87,77,105,231.3,36.87,1.04,5521.13,880.09,109.2,989.29,4531.84,458.09,Excellent
Fly Ash,Thermal Power,Cement,91.65,84,101,92.4,12.08,2.33,8468.46,1107.13,235.33,1342.46,7126.0,530.82,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,46.41,83,486,683.8,182.4,1.61,31735.16,8465.18,782.46,9247.64,22487.52,243.17,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,91.13,91,173,1219.5,288.0,2.18,111133.03,26245.44,377.14,26622.58,84510.45,317.44,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,25.91,70,365,1125.0,330.0,1.71,29148.75,8550.3,624.15,9174.45,19974.3,217.72,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,69.0,98,108,1251.0,274.0,0.86,86319.0,18906.0,92.88,18998.88,67320.12,354.34,Excellent
Paper Sludge,Paper,Brick Manufacturing,21.58,87,461,100.12,13.81,1.89,2160.59,298.02,871.29,1169.31,991.28,84.77,Excellent
Paper Sludge,Paper,Brick Manufacturing,78.97,78,274,96.75,14.65,1.78,7640.35,1156.91,487.72,1644.63,5995.72,364.56,Excellent
Cotton Scrap,Textile,Paper,18.25,73,420,227.7,37.8,1.43,4155.52,689.85,600.6,1290.45,2865.07,222.02,Excellent
Steel Slag,Steel,Construction,20.34,88,465,113.9,14.7,1.77,2316.73,299.0,823.05,1122.05,1194.68,106.47,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,30.14,86,457,691.6,178.8,1.62,20844.82,5389.03,740.34,6129.37,14715.45,240.08,Excellent
Glass Waste,Glass,Glass Recycling,1.67,71,133,125.5,24.05,1.36,209.58,40.16,180.88,221.04,-11.46,-5.18,Loss
Plastic Scrap,Packaging,Plastic Recycling,1.63,74,451,279.4,42.93,2.22,455.42,69.98,1001.22,1071.2,-615.78,-57.49,Loss
Chemical Sludge,Chemical,Hazardous Treatment Facility,73.51,71,477,652.6,196.8,2.25,47972.63,14466.77,1073.25,15540.02,32432.61,208.7,Excellent
Used Oil,Automotive,Authorized Oil Recycler,75.53,73,322,569.25,129.6,1.91,42995.45,9788.69,615.02,10403.71,32591.74,313.27,Excellent
Food Waste,Food,Biogas,46.83,97,380,83.1,9.2,1.61,3891.57,430.84,611.8,1042.64,2848.93,273.24,Excellent
Rice Husk,Agriculture,Biofuel,71.86,84,192,125.4,20.13,1.36,9011.24,1446.54,261.12,1707.66,7303.58,427.7,Excellent
Bagasse,Sugar,Paper,40.16,92,462,149.6,17.16,2.14,6007.94,689.15,988.68,1677.83,4330.11,258.08,Excellent
Fly Ash,Thermal Power,Cement,38.44,97,117,96.95,11.04,0.96,3726.76,424.38,112.32,536.7,3190.06,594.38,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,69.3,86,70,691.6,178.8,1.86,47927.88,12390.84,130.2,12521.04,35406.84,282.78,Excellent
Paper Sludge,Paper,Brick Manufacturing,74.79,72,366,94.5,15.21,1.53,7067.66,1137.56,559.98,1697.54,5370.12,316.35,Excellent
Fly Ash,Thermal Power,Cement,87.84,80,206,91.0,12.4,0.87,7993.44,1089.22,179.22,1268.44,6725.0,530.18,Excellent
Fly Ash,Thermal Power,Cement,27.54,75,458,89.25,12.8,1.34,2457.94,352.51,613.72,966.23,1491.71,154.38,Excellent
Paper Sludge,Paper,Brick Manufacturing,97.36,79,132,97.12,14.56,0.84,9455.6,1417.56,110.88,1528.44,7927.16,518.64,Excellent
Used Oil,Automotive,Authorized Oil Recycler,50.47,96,130,621.0,111.2,1.64,31341.87,5612.26,213.2,5825.46,25516.41,438.02,Excellent
Paper Sludge,Paper,Brick Manufacturing,31.27,82,214,98.25,14.28,1.52,3072.28,446.54,325.28,771.82,2300.46,298.06,Excellent
Rice Husk,Agriculture,Biofuel,78.31,85,401,125.88,20.0,2.12,9857.66,1566.2,850.12,2416.32,7441.34,307.96,Excellent
Glass Waste,Glass,Glass Recycling,39.88,71,287,125.5,24.05,2.24,5004.94,959.11,642.88,1601.99,3402.95,212.42,Excellent
Steel Slag,Steel,Construction,21.77,88,15,113.9,14.7,2.48,2479.6,320.02,37.2,357.22,2122.38,594.14,Excellent
Food Waste,Food,Biogas,77.72,94,187,82.2,9.4,2.31,6388.58,730.57,431.97,1162.54,5226.04,449.54,Excellent
Used Oil,Automotive,Authorized Oil Recycler,75.82,77,294,578.25,126.4,2.02,43842.91,9583.65,593.88,10177.53,33665.38,330.78,Excellent
Glass Waste,Glass,Glass Recycling,81.55,87,259,133.5,21.71,0.82,10886.92,1770.45,212.38,1982.83,8904.09,449.06,Excellent
Used Oil,Automotive,Authorized Oil Recycler,17.93,86,48,598.5,119.2,1.66,10731.1,2137.26,79.68,2216.94,8514.16,384.05,Excellent
Bagasse,Sugar,Paper,27.25,90,153,148.5,17.4,1.31,4046.62,474.15,200.43,674.58,3372.04,499.87,Excellent
Food Waste,Food,Biogas,40.84,77,140,77.1,10.53,2.31,3148.76,430.05,323.4,753.45,2395.31,317.91,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,41.05,71,424,652.6,196.8,2.27,26789.23,8078.64,962.48,9041.12,17748.11,196.3,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,15.18,92,106,707.2,171.6,1.23,10735.3,2604.89,130.38,2735.27,8000.03,292.48,Excellent
Paper Sludge,Paper,Brick Manufacturing,90.15,87,150,100.12,13.81,1.96,9025.82,1244.97,294.0,1538.97,7486.85,486.48,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,12.54,85,142,689.0,180.0,1.22,8640.06,2257.2,173.24,2430.44,6209.62,255.49,Excellent
Glass Waste,Glass,Glass Recycling,40.54,72,65,126.0,23.91,2.27,5108.04,969.31,147.55,1116.86,3991.18,357.36,Excellent
Used Oil,Automotive,Authorized Oil Recycler,93.82,82,173,589.5,122.4,1.78,55306.89,11483.57,307.94,11791.51,43515.38,369.04,Excellent
Glass Waste,Glass,Glass Recycling,62.82,77,418,128.5,23.17,2.21,8072.37,1455.54,923.78,2379.32,5693.05,239.27,Excellent
Cotton Scrap,Textile,Paper,58.55,82,84,235.8,35.7,1.32,13806.09,2090.24,110.88,2201.12,11604.97,527.23,Excellent
Glass Waste,Glass,Glass Recycling,66.32,77,473,128.5,23.17,2.02,8522.12,1536.63,955.46,2492.09,6030.03,241.97,Excellent
Used Oil,Automotive,Authorized Oil Recycler,62.77,85,449,596.25,120.0,2.03,37426.61,7532.4,911.47,8443.87,28982.74,343.24,Excellent
Cotton Scrap,Textile,Paper,23.29,81,475,234.9,35.93,2.13,5470.82,836.81,1011.75,1848.56,3622.26,195.95,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,12.41,76,105,1152.0,318.0,2.07,14296.32,3946.38,217.35,4163.73,10132.59,243.35,Excellent
Steel Slag,Steel,Construction,34.36,94,137,116.45,14.1,1.6,4001.22,484.48,219.2,703.68,3297.54,468.61,Excellent
Plastic Scrap,Packaging,Plastic Recycling,59.31,97,190,304.7,36.8,2.36,18071.76,2182.61,448.4,2631.01,15440.75,586.88,Excellent
