vehicle_id,type,capacity_kg,status,city
TN-60-HJ-6567,Flatbed Carrier,4000,Available,Bangalore
TN-36-DF-2120,Heavy Duty Dump,5000,Active,Coimbatore
TN-42-DV-5612,Flatbed Carrier,4000,Active,Tiruppur
TN-47-MO-7371,Electric Box Truck,3000,Available,Madurai
TN-24-HE-3371,Compact Logistics Van,1200,Active,Chennai
TN-45-DZ-3116,Flatbed Carrier,4000,Active,Chennai
TN-47-FH-7166,Compact Logistics Van,1200,Available,Coimbatore
TN-22-HR-1984,Compact Logistics Van,1200,Available,Madurai
TN-85-LD-4876,Flatbed Carrier,4000,Active,Chennai
TN-40-ZI-6109,Heavy Duty Dump,5000,Available,Tiruppur
