material,source_industry,destination_industry,quantity_tons,purity,hazard_level,hazardous,permit_required,authorized_destination,transport_authorized,transport_distance_km,missing_documents,pollution_category,required_documents,compliance_score,verdict
E-Waste,Electronics,Authorized E-Waste Recycler,167.04,74,High,Yes,Yes,Yes,No,252,1,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
E-Waste,Electronics,Unauthorized Facility,17.42,90,High,Yes,Yes,No,Yes,91,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Food Waste,Food,Unauthorized Facility,135.57,91,Low,No,No,No,Yes,150,0,Organic,Organic Waste Record,75,Pass
Paper Sludge,Paper,Brick Manufacturing,166.88,98,Low,No,No,Yes,Yes,187,1,Industrial,Transfer Record,90,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,149.95,90,High,Yes,Yes,Yes,No,156,0,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Plastic Scrap,Packaging,Plastic Recycling,172.47,93,Low,No,No,Yes,Yes,71,1,Plastic,Invoice,90,Pass
Steel Slag,Steel,Unauthorized Facility,197.4,75,Medium,No,No,No,Yes,22,0,Industrial,Transfer Record,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,79.69,90,High,Yes,Yes,Yes,Yes,131,1,Hazardous,Hazardous Waste Manifest; Transport Permit,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,109.75,89,High,Yes,Yes,Yes,Yes,151,3,Hazardous,Hazardous Waste Manifest; Transport Permit,55,Fail
Paper Sludge,Paper,Unauthorized Facility,50.4,99,Low,No,No,No,Yes,266,0,Industrial,Transfer Record,75,Pass
Fly Ash,Thermal Power,Unauthorized Facility,142.09,95,Low,No,No,No,Yes,180,1,Industrial,Transfer Record,65,Fail
Steel Slag,Steel,Construction,1.95,97,Medium,No,No,Yes,Yes,122,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,17.64,74,High,Yes,Yes,Yes,Yes,61,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Used Oil,Automotive,Authorized Oil Recycler,118.76,87,High,Yes,Yes,Yes,Yes,215,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,93.8,91,High,Yes,Yes,Yes,Yes,276,3,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,119.89,77,High,Yes,Yes,Yes,Yes,37,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Polyester Scrap,Textile,Unauthorized Facility,36.59,74,Low,No,No,No,Yes,35,0,Plastic,Invoice,75,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,68.26,97,High,Yes,Yes,Yes,No,199,3,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,35,Fail
Paper Sludge,Paper,Brick Manufacturing,112.74,96,Low,No,No,Yes,Yes,295,0,Industrial,Transfer Record,100,Pass
Steel Slag,Steel,Construction,27.53,87,Medium,No,No,Yes,Yes,247,1,Industrial,Transfer Record,90,Pass
Fly Ash,Thermal Power,Cement,65.39,78,Low,No,No,Yes,Yes,134,1,Industrial,Transfer Record,90,Pass
Bagasse,Sugar,Paper,133.77,79,Low,No,No,Yes,Yes,266,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Construction,138.17,71,Medium,No,No,Yes,Yes,291,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,163.21,97,Low,No,No,Yes,Yes,256,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,108.29,98,High,Yes,Yes,Yes,Yes,222,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Paper Sludge,Paper,Unauthorized Facility,115.68,93,Low,No,No,No,Yes,250,0,Industrial,Transfer Record,75,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,25.08,82,High,Yes,Yes,Yes,No,138,1,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,55,Fail
Used Oil,Automotive,Unauthorized Facility,134.42,88,High,Yes,Yes,No,Yes,262,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Plastic Scrap,Packaging,Plastic Recycling,41.22,73,Low,No,No,Yes,Yes,179,1,Plastic,Invoice,90,Pass
Steel Slag,Steel,Construction,3.7,97,Medium,No,No,Yes,Yes,79,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,104.72,89,High,Yes,Yes,Yes,No,230,0,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Polyester Scrap,Textile,Plastic Recycling,111.87,75,Low,No,No,Yes,Yes,284,0,Plastic,Invoice,100,Pass
Polyester Scrap,Textile,Plastic Recycling,174.59,96,Low,No,No,Yes,Yes,148,1,Plastic,Invoice,90,Pass
Fly Ash,Thermal Power,Unauthorized Facility,2.52,91,Low,No,No,No,Yes,31,0,Industrial,Transfer Record,75,Pass
Plastic Scrap,Packaging,Plastic Recycling,126.22,81,Low,No,No,Yes,Yes,117,0,Plastic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,12.36,81,Low,No,No,Yes,Yes,137,0,Non-Hazardous,Waste Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,90.89,98,High,Yes,Yes,Yes,No,30,0,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Bagasse,Sugar,Paper,57.5,94,Low,No,No,Yes,Yes,73,0,Organic,Invoice,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,115.36,89,High,Yes,Yes,Yes,Yes,99,2,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Plastic Scrap,Packaging,Plastic Recycling,46.51,79,Low,No,No,Yes,Yes,97,0,Plastic,Invoice,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,192.26,76,High,Yes,Yes,Yes,Yes,151,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Plastic Scrap,Packaging,Plastic Recycling,80.03,87,Low,No,No,Yes,Yes,7,0,Plastic,Invoice,100,Pass
Food Waste,Food,Biogas,65.6,91,Low,No,No,Yes,Yes,294,0,Organic,Organic Waste Record,100,Pass
Cotton Scrap,Textile,Unauthorized Facility,70.63,73,Low,No,No,No,Yes,234,0,Non-Hazardous,Waste Transfer Record,75,Pass
Chemical Sludge,Chemical,Unauthorized Facility,141.31,89,High,Yes,Yes,No,Yes,245,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Polyester Scrap,Textile,Plastic Recycling,1.46,84,Low,No,No,Yes,Yes,142,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,157.24,87,High,Yes,Yes,Yes,Yes,210,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Used Oil,Automotive,Authorized Oil Recycler,29.18,81,High,Yes,Yes,Yes,Yes,8,1,Hazardous,Hazardous Waste Manifest; Transport Permit,75,Pass
Paper Sludge,Paper,Brick Manufacturing,165.28,85,Low,No,No,Yes,Yes,227,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,71.04,95,Low,No,No,Yes,Yes,140,0,Organic,Invoice,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,19.57,95,Low,No,No,No,Yes,221,0,Organic,Invoice,75,Pass
Bagasse,Sugar,Unauthorized Facility,194.74,72,Low,No,No,No,Yes,120,0,Organic,Invoice,75,Pass
Bagasse,Sugar,Unauthorized Facility,182.66,86,Low,No,No,No,Yes,26,0,Organic,Invoice,75,Pass
Steel Slag,Steel,Construction,159.4,73,Medium,No,No,Yes,Yes,128,0,Industrial,Transfer Record,100,Pass
Steel Slag,Steel,Construction,162.06,97,Medium,No,No,Yes,Yes,213,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Unauthorized Facility,152.58,87,Low,No,No,No,Yes,283,0,Plastic,Invoice,75,Pass
Bagasse,Sugar,Unauthorized Facility,63.58,86,Low,No,No,No,Yes,25,0,Organic,Invoice,75,Pass
Paper Sludge,Paper,Unauthorized Facility,97.51,95,Low,No,No,No,Yes,73,0,Industrial,Transfer Record,75,Pass
Food Waste,Food,Biogas,15.96,87,Low,No,No,Yes,Yes,139,0,Organic,Organic Waste Record,100,Pass
Fly Ash,Thermal Power,Cement,130.82,98,Low,No,No,Yes,Yes,53,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,3.29,93,High,Yes,Yes,Yes,Yes,93,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Plastic Scrap,Packaging,Unauthorized Facility,135.49,82,Low,No,No,No,Yes,10,0,Plastic,Invoice,75,Pass
Cotton Scrap,Textile,Paper,77.4,74,Low,No,No,Yes,Yes,54,1,Non-Hazardous,Waste Transfer Record,90,Pass
Rice Husk,Agriculture,Biofuel,122.52,78,Low,No,No,Yes,Yes,48,0,Organic,Invoice,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,192.65,71,High,Yes,Yes,Yes,No,187,0,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,71.79,97,High,Yes,Yes,Yes,Yes,288,2,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Fly Ash,Thermal Power,Unauthorized Facility,194.46,88,Low,No,No,No,Yes,36,0,Industrial,Transfer Record,75,Pass
Polyester Scrap,Textile,Plastic Recycling,18.26,95,Low,No,No,Yes,Yes,99,1,Plastic,Invoice,90,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,97.71,95,High,Yes,Yes,Yes,Yes,143,2,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Steel Slag,Steel,Construction,13.58,85,Medium,No,No,Yes,Yes,27,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,49.27,73,High,Yes,Yes,Yes,Yes,78,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Food Waste,Food,Biogas,180.85,79,Low,No,No,Yes,Yes,11,0,Organic,Organic Waste Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,28.65,82,Low,No,No,Yes,Yes,171,1,Plastic,Invoice,90,Pass
Paper Sludge,Paper,Brick Manufacturing,167.24,72,Low,No,No,Yes,Yes,185,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,150.96,88,Low,No,No,Yes,Yes,160,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,22.62,89,High,Yes,Yes,Yes,Yes,192,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Bagasse,Sugar,Paper,47.12,73,Low,No,No,Yes,Yes,18,0,Organic,Invoice,100,Pass
Food Waste,Food,Biogas,151.06,80,Low,No,No,Yes,Yes,131,0,Organic,Organic Waste Record,100,Pass
Bagasse,Sugar,Unauthorized Facility,152.58,96,Low,No,No,No,Yes,147,0,Organic,Invoice,75,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,121.56,73,High,Yes,Yes,Yes,Yes,83,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Used Oil,Automotive,Unauthorized Facility,2.04,92,High,Yes,Yes,No,Yes,188,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Plastic Scrap,Packaging,Plastic Recycling,105.09,71,Low,No,No,Yes,Yes,203,0,Plastic,Invoice,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,56.54,71,High,Yes,Yes,Yes,Yes,109,2,Hazardous,Hazardous Waste Manifest; Transport Permit,65,Fail
Polyester Scrap,Textile,Plastic Recycling,114.32,94,Low,No,No,Yes,Yes,82,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,135.97,93,High,Yes,Yes,Yes,No,154,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Plastic Scrap,Packaging,Plastic Recycling,83.91,98,Low,No,No,Yes,Yes,291,0,Plastic,Invoice,100,Pass
Food Waste,Food,Unauthorized Facility,129.42,73,Low,No,No,No,Yes,186,0,Organic,Organic Waste Record,75,Pass
Steel Slag,Steel,Construction,91.12,76,Medium,No,No,Yes,Yes,125,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Unauthorized Facility,156.35,84,High,Yes,Yes,No,No,73,0,Hazardous,Hazardous Waste Manifest; Transport Permit,40,Fail
Polyester Scrap,Textile,Plastic Recycling,177.0,77,Low,No,No,Yes,Yes,145,0,Plastic,Invoice,100,Pass
Rice Husk,Agriculture,Biofuel,8.65,84,Low,No,No,Yes,Yes,121,0,Organic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,197.01,75,Low,No,No,Yes,Yes,239,0,Non-Hazardous,Waste Transfer Record,100,Pass
Steel Slag,Steel,Construction,176.11,78,Medium,No,No,Yes,Yes,53,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,68.66,97,Low,No,No,Yes,Yes,205,1,Organic,Invoice,90,Pass
Cotton Scrap,Textile,Paper,120.39,76,Low,No,No,Yes,Yes,281,0,Non-Hazardous,Waste Transfer Record,100,Pass
Bagasse,Sugar,Paper,18.12,87,Low,No,No,Yes,Yes,116,0,Organic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,185.73,94,Low,No,No,Yes,Yes,82,0,Non-Hazardous,Waste Transfer Record,100,Pass
Chemical Sludge,Chemical,Unauthorized Facility,92.99,71,High,Yes,Yes,No,Yes,95,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Steel Slag,Steel,Construction,86.7,76,Medium,No,No,Yes,Yes,34,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,29.07,73,High,Yes,Yes,Yes,Yes,59,3,Hazardous,Hazardous Waste Manifest; Transport Permit,55,Fail
Steel Slag,Steel,Unauthorized Facility,122.59,85,Medium,No,No,No,Yes,156,0,Industrial,Transfer Record,75,Pass
Fly Ash,Thermal Power,Cement,13.44,70,Low,No,No,Yes,Yes,238,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,76.82,80,Low,No,No,Yes,Yes,115,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,89.5,89,Low,No,No,Yes,Yes,217,0,Organic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,61.87,82,Low,No,No,Yes,Yes,284,0,Plastic,Invoice,100,Pass
E-Waste,Electronics,Unauthorized Facility,183.96,96,High,Yes,Yes,No,Yes,230,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Cotton Scrap,Textile,Unauthorized Facility,108.39,81,Low,No,No,No,Yes,299,0,Non-Hazardous,Waste Transfer Record,75,Pass
Steel Slag,Steel,Unauthorized Facility,1.84,98,Medium,No,No,No,Yes,156,0,Industrial,Transfer Record,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,109.63,99,High,Yes,Yes,Yes,Yes,127,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,104.07,90,High,Yes,Yes,Yes,Yes,47,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Food Waste,Food,Biogas,149.72,99,Low,No,No,Yes,Yes,291,1,Organic,Organic Waste Record,90,Pass
Polyester Scrap,Textile,Plastic Recycling,8.76,95,Low,No,No,Yes,Yes,126,0,Plastic,Invoice,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,87.82,92,Low,No,No,No,Yes,132,0,Organic,Invoice,75,Pass
Plastic Scrap,Packaging,Unauthorized Facility,39.5,97,Low,No,No,No,Yes,29,1,Plastic,Invoice,65,Fail
Used Oil,Automotive,Unauthorized Facility,90.49,88,High,Yes,Yes,No,Yes,174,3,Hazardous,Hazardous Waste Manifest; Transport Permit,30,Fail
Polyester Scrap,Textile,Unauthorized Facility,151.9,85,Low,No,No,No,Yes,249,0,Plastic,Invoice,75,Pass
Steel Slag,Steel,Construction,171.02,79,Medium,No,No,Yes,Yes,46,0,Industrial,Transfer Record,100,Pass
Cotton Scrap,Textile,Unauthorized Facility,176.02,78,Low,No,No,No,Yes,252,0,Non-Hazardous,Waste Transfer Record,75,Pass
Paper Sludge,Paper,Brick Manufacturing,134.99,93,Low,No,No,Yes,Yes,74,0,Industrial,Transfer Record,100,Pass
Bagasse,Sugar,Paper,78.03,84,Low,No,No,Yes,Yes,102,0,Organic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,64.35,83,High,Yes,Yes,Yes,Yes,206,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Plastic Scrap,Packaging,Plastic Recycling,126.0,83,Low,No,No,Yes,Yes,227,0,Plastic,Invoice,100,Pass
Bagasse,Sugar,Unauthorized Facility,44.69,89,Low,No,No,No,Yes,109,0,Organic,Invoice,75,Pass
Steel Slag,Steel,Construction,20.62,94,Medium,No,No,Yes,Yes,248,1,Industrial,Transfer Record,90,Pass
Steel Slag,Steel,Unauthorized Facility,2.07,94,Medium,No,No,No,Yes,66,0,Industrial,Transfer Record,75,Pass
Paper Sludge,Paper,Unauthorized Facility,9.38,88,Low,No,No,No,Yes,251,0,Industrial,Transfer Record,75,Pass
Cotton Scrap,Textile,Paper,5.02,71,Low,No,No,Yes,Yes,61,0,Non-Hazardous,Waste Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,151.4,79,High,Yes,Yes,Yes,Yes,141,2,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Fly Ash,Thermal Power,Cement,95.52,74,Low,No,No,Yes,Yes,273,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,92.56,78,Low,No,No,Yes,Yes,110,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,189.52,73,High,Yes,Yes,Yes,No,73,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
